span_id,has_prediction,chosen_rule_id,macro_f1,test_correct,hazard_exact,scope.actor_exact,scope.domain_exact,scope.context_exact,conditions_exact,exceptions_exact,requirements_exact,evidence_exact,evidence_signals_exact,hazard_f1,scope.actor_f1,scope.domain_f1,scope.context_f1,conditions_f1,exceptions_f1,requirements_f1,evidence_f1,evidence_signals_f1
Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0001,True,spans-passthrough-candidates/sent_0001-8e71b642,0.3958333333333333,False,False,False,False,True,False,True,False,True,False,0.0,0.0,0.0,1.0,0.062,1.0,0.5,1.0,0.0
Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0002,True,spans-passthrough-candidates/sent_0002-0d8442b2,0.4904601571268237,False,False,True,False,True,False,True,True,True,False,0.111,1.0,0.0,1.0,0.0,1.0,0.636,0.667,0.0
Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0003,True,spans-passthrough-candidates/sent_0003-40eb1007,0.41111111111111115,False,False,True,False,False,True,True,False,False,False,0.0,1.0,0.0,0.0,1.0,1.0,0.2,0.5,0.0
Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0001,True,spans-passthrough-candidates/sent_0001-706c7f56,0.5126984126984127,False,False,True,False,False,True,True,True,True,False,0.0,1.0,0.0,0.0,0.714,1.0,0.9,1.0,0.0
Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0002,True,spans-passthrough-candidates/sent_0002-add666fe,0.32702020202020204,False,False,True,False,False,False,True,True,False,False,0.0,1.0,0.0,0.0,0.125,1.0,0.818,0.0,0.0
Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0003,True,spans-passthrough-candidates/sent_0003-4eecac31,0.5033068783068784,False,False,True,False,False,True,True,False,True,False,0.125,1.0,0.0,0.0,0.833,1.0,0.571,1.0,0.0
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0001,True,spans-passthrough-candidates/sent_0001-e04cda39,0.47619047619047616,False,False,True,False,False,False,True,True,True,False,0.286,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0002,True,spans-passthrough-candidates/sent_0002-84822fdd,0.2808641975308642,False,False,False,False,False,False,True,False,True,False,0.111,0.0,0.0,0.0,0.0,1.0,0.417,1.0,0.0
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0003,True,spans-passthrough-candidates/sent_0003-444dbcc2,0.25555555555555554,False,False,False,False,True,False,True,False,False,False,0.0,0.0,0.0,1.0,0.0,1.0,0.3,0.0,0.0
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0004,True,spans-passthrough-candidates/sent_0004-d50a988a,0.4975308641975309,False,False,True,False,False,True,True,True,True,False,0.0,1.0,0.0,0.0,0.778,1.0,0.7,1.0,0.0
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0005,True,spans-passthrough-candidates/sent_0005-5122757e,0.4121212121212121,False,False,True,False,False,False,True,False,True,False,0.091,1.0,0.0,0.0,0.318,1.0,0.3,1.0,0.0
Microsoft/index/accountability-goals/goal-a4-data-governance-and-management/sent_0001,True,spans-passthrough-candidates/sent_0001-b5ea02d9,0.29193899782135074,False,False,False,False,False,False,True,False,True,False,0.333,0.0,0.0,0.0,0.0,1.0,0.294,1.0,0.0
