unit_id,span_id,kind,page,section,section_path,text,prev_sentence,next_sentence,window_text,pdf_name,doc_id
1,Microsoft/microsoft-responsible-ai-standard-v2/sent_0001,sentence,1,"Microsoft Responsible AI Standard, v2","Microsoft Responsible AI Standard, v2","Preview – Microsoft Responsible AI Standard v2 – Introduction
Microsoft
Responsible AI
Standard, v2
GENERAL REQUIREMENTS
FOR EXTERNAL RELEASE
June 2022",,,"[TARGET] Preview – Microsoft Responsible AI Standard v2 – Introduction
Microsoft
Responsible AI
Standard, v2
GENERAL REQUIREMENTS
FOR EXTERNAL RELEASE
June 2022",Microsoft,Microsoft
2,Microsoft/index/sent_0001,sentence,2,Index,Index,"Microsoft Responsible AI Standard v2
2
Index
About this release ....................................................................................................................................................................................................... 3
Accountability Goals .................................................................................................................................................................................................. 4
Transparency Goals .................................................................................................................................................................................................... 9
Fairness Goals ............................................................................................................................................................................................................. 13
Reliability & Safety Goals ....................................................................................................................................................................................... 21
Privacy & Security Goals ........................................................................................................................................................................................ 26
Inclusiveness Goal ..................................................................................................................................................................................................... 27",,,"[TARGET] Microsoft Responsible AI Standard v2
2
Index
About this release ....................................................................................................................................................................................................... 3
Accountability Goals .................................................................................................................................................................................................. 4
Transparency Goals .................................................................................................................................................................................................... 9
Fairness Goals ............................................................................................................................................................................................................. 13
Reliability & Safety Goals ....................................................................................................................................................................................... 21
Privacy & Security Goals ........................................................................................................................................................................................ 26
Inclusiveness Goal ..................................................................................................................................................................................................... 27",Microsoft,Microsoft
3,Microsoft/index/about-this-release/sent_0001,sentence,3,About this release,Index / About this release,"Microsoft Responsible AI Standard v2
About this release
When we embarked on our effort to operationalize Microsoft's six AI principles, we knew there was a policy
gap.",,Laws and norms had not caught up with AI's unique risks or society's needs.,"[TARGET] Microsoft Responsible AI Standard v2
About this release
When we embarked on our effort to operationalize Microsoft's six AI principles, we knew there was a policy
gap. [NEXT] Laws and norms had not caught up with AI's unique risks or society's needs.",Microsoft,Microsoft
4,Microsoft/index/about-this-release/sent_0002,sentence,3,About this release,Index / About this release,Laws and norms had not caught up with AI's unique risks or society's needs.,"Microsoft Responsible AI Standard v2
About this release
When we embarked on our effort to operationalize Microsoft's six AI principles, we knew there was a policy
gap.","Yet, our product development
teams needed concrete and actionable guidance as to what our principles meant and how they could uphold
them.","[PREV] Microsoft Responsible AI Standard v2
About this release
When we embarked on our effort to operationalize Microsoft's six AI principles, we knew there was a policy
gap. [TARGET] Laws and norms had not caught up with AI's unique risks or society's needs. [NEXT] Yet, our product development
teams needed concrete and actionable guidance as to what our principles meant and how they could uphold
them.",Microsoft,Microsoft
5,Microsoft/index/about-this-release/sent_0003,sentence,3,About this release,Index / About this release,"Yet, our product development
teams needed concrete and actionable guidance as to what our principles meant and how they could uphold
them.",Laws and norms had not caught up with AI's unique risks or society's needs.,"We leveraged the expertise on our research, policy, and engineering teams to develop guidance on how
to fill that gap.","[PREV] Laws and norms had not caught up with AI's unique risks or society's needs. [TARGET] Yet, our product development
teams needed concrete and actionable guidance as to what our principles meant and how they could uphold
them. [NEXT] We leveraged the expertise on our research, policy, and engineering teams to develop guidance on how
to fill that gap.",Microsoft,Microsoft
6,Microsoft/index/about-this-release/sent_0004,sentence,3,About this release,Index / About this release,"We leveraged the expertise on our research, policy, and engineering teams to develop guidance on how
to fill that gap.","Yet, our product development
teams needed concrete and actionable guidance as to what our principles meant and how they could uphold
them.","The Responsible AI Standard is the product of a multi-year effort to define product development requirements
for responsible AI.","[PREV] Yet, our product development
teams needed concrete and actionable guidance as to what our principles meant and how they could uphold
them. [TARGET] We leveraged the expertise on our research, policy, and engineering teams to develop guidance on how
to fill that gap. [NEXT] The Responsible AI Standard is the product of a multi-year effort to define product development requirements
for responsible AI.",Microsoft,Microsoft
7,Microsoft/index/about-this-release/sent_0005,sentence,3,About this release,Index / About this release,"The Responsible AI Standard is the product of a multi-year effort to define product development requirements
for responsible AI.","We leveraged the expertise on our research, policy, and engineering teams to develop guidance on how
to fill that gap.","We are making available this second version of the Responsible AI Standard to share what
we have learned, invite feedback from others, and contribute to the discussion about building better norms
and practices around AI.","[PREV] We leveraged the expertise on our research, policy, and engineering teams to develop guidance on how
to fill that gap. [TARGET] The Responsible AI Standard is the product of a multi-year effort to define product development requirements
for responsible AI. [NEXT] We are making available this second version of the Responsible AI Standard to share what
we have learned, invite feedback from others, and contribute to the discussion about building better norms
and practices around AI.",Microsoft,Microsoft
8,Microsoft/index/about-this-release/sent_0006,sentence,3,About this release,Index / About this release,"We are making available this second version of the Responsible AI Standard to share what
we have learned, invite feedback from others, and contribute to the discussion about building better norms
and practices around AI.","The Responsible AI Standard is the product of a multi-year effort to define product development requirements
for responsible AI.","While our Standard is an important step in Microsoft's responsible AI journey, it is just one step.","[PREV] The Responsible AI Standard is the product of a multi-year effort to define product development requirements
for responsible AI. [TARGET] We are making available this second version of the Responsible AI Standard to share what
we have learned, invite feedback from others, and contribute to the discussion about building better norms
and practices around AI. [NEXT] While our Standard is an important step in Microsoft's responsible AI journey, it is just one step.",Microsoft,Microsoft
9,Microsoft/index/about-this-release/sent_0007,sentence,3,About this release,Index / About this release,"While our Standard is an important step in Microsoft's responsible AI journey, it is just one step.","We are making available this second version of the Responsible AI Standard to share what
we have learned, invite feedback from others, and contribute to the discussion about building better norms
and practices around AI.","As we make
progress with implementation, we expect to encounter challenges that require us to pause, reflect, and adjust.","[PREV] We are making available this second version of the Responsible AI Standard to share what
we have learned, invite feedback from others, and contribute to the discussion about building better norms
and practices around AI. [TARGET] While our Standard is an important step in Microsoft's responsible AI journey, it is just one step. [NEXT] As we make
progress with implementation, we expect to encounter challenges that require us to pause, reflect, and adjust.",Microsoft,Microsoft
10,Microsoft/index/about-this-release/sent_0008,sentence,3,About this release,Index / About this release,"As we make
progress with implementation, we expect to encounter challenges that require us to pause, reflect, and adjust.","While our Standard is an important step in Microsoft's responsible AI journey, it is just one step.","Our Standard will remain a living document, evolving to address new research, technologies, laws, and
learnings from within and outside the company.","[PREV] While our Standard is an important step in Microsoft's responsible AI journey, it is just one step. [TARGET] As we make
progress with implementation, we expect to encounter challenges that require us to pause, reflect, and adjust. [NEXT] Our Standard will remain a living document, evolving to address new research, technologies, laws, and
learnings from within and outside the company.",Microsoft,Microsoft
