unit_id,span_id,kind,page,section,section_path,text,prev_sentence,next_sentence,window_text,pdf_name,doc_id
1,NIST.AI.100-1_removed/ai-rmf-core/sent_0001,sentence,1,AI RMF Core,AI RMF Core,"NIST AI 100-1
AI RMF 1.0
Part 2: Core and Profiles
5.",,"AI RMF Core
The AI RMF Core provides outcomes and actions that enable dialogue, understanding, and
activities to manage AI risks and responsibly develop trustworthy AI systems.","[TARGET] NIST AI 100-1
AI RMF 1.0
Part 2: Core and Profiles
5. [NEXT] AI RMF Core
The AI RMF Core provides outcomes and actions that enable dialogue, understanding, and
activities to manage AI risks and responsibly develop trustworthy AI systems.",NIST.AI.100-1_removed,NIST.AI.100-1_removed
2,NIST.AI.100-1_removed/ai-rmf-core/sent_0002,sentence,1,AI RMF Core,AI RMF Core,"AI RMF Core
The AI RMF Core provides outcomes and actions that enable dialogue, understanding, and
activities to manage AI risks and responsibly develop trustworthy AI systems.","NIST AI 100-1
AI RMF 1.0
Part 2: Core and Profiles
5.","As illustrated in Figure 5, the Core is composed of four functions: GOVERN, MAP, MEASURE,
and MANAGE.","[PREV] NIST AI 100-1
AI RMF 1.0
Part 2: Core and Profiles
5. [TARGET] AI RMF Core
The AI RMF Core provides outcomes and actions that enable dialogue, understanding, and
activities to manage AI risks and responsibly develop trustworthy AI systems. [NEXT] As illustrated in Figure 5, the Core is composed of four functions: GOVERN, MAP, MEASURE,
and MANAGE.",NIST.AI.100-1_removed,NIST.AI.100-1_removed
3,NIST.AI.100-1_removed/ai-rmf-core/sent_0003,sentence,1,AI RMF Core,AI RMF Core,"As illustrated in Figure 5, the Core is composed of four functions: GOVERN, MAP, MEASURE,
and MANAGE.","AI RMF Core
The AI RMF Core provides outcomes and actions that enable dialogue, understanding, and
activities to manage AI risks and responsibly develop trustworthy AI systems.",Each of these high-level functions is broken down into categories and subcategories.,"[PREV] AI RMF Core
The AI RMF Core provides outcomes and actions that enable dialogue, understanding, and
activities to manage AI risks and responsibly develop trustworthy AI systems. [TARGET] As illustrated in Figure 5, the Core is composed of four functions: GOVERN, MAP, MEASURE,
and MANAGE. [NEXT] Each of these high-level functions is broken down into categories and subcategories.",NIST.AI.100-1_removed,NIST.AI.100-1_removed
4,NIST.AI.100-1_removed/ai-rmf-core/sent_0004,sentence,1,AI RMF Core,AI RMF Core,Each of these high-level functions is broken down into categories and subcategories.,"As illustrated in Figure 5, the Core is composed of four functions: GOVERN, MAP, MEASURE,
and MANAGE.",Categories and subcategories are subdivided into specific actions and outcomes.,"[PREV] As illustrated in Figure 5, the Core is composed of four functions: GOVERN, MAP, MEASURE,
and MANAGE. [TARGET] Each of these high-level functions is broken down into categories and subcategories. [NEXT] Categories and subcategories are subdivided into specific actions and outcomes.",NIST.AI.100-1_removed,NIST.AI.100-1_removed
5,NIST.AI.100-1_removed/ai-rmf-core/sent_0005,sentence,1,AI RMF Core,AI RMF Core,Categories and subcategories are subdivided into specific actions and outcomes.,Each of these high-level functions is broken down into categories and subcategories.,"Actions do not constitute a checklist, nor are they necessarily an ordered set of steps.","[PREV] Each of these high-level functions is broken down into categories and subcategories. [TARGET] Categories and subcategories are subdivided into specific actions and outcomes. [NEXT] Actions do not constitute a checklist, nor are they necessarily an ordered set of steps.",NIST.AI.100-1_removed,NIST.AI.100-1_removed
6,NIST.AI.100-1_removed/ai-rmf-core/sent_0006,sentence,1,AI RMF Core,AI RMF Core,"Actions do not constitute a checklist, nor are they necessarily an ordered set of steps.",Categories and subcategories are subdivided into specific actions and outcomes.,Fig. 5.,"[PREV] Categories and subcategories are subdivided into specific actions and outcomes. [TARGET] Actions do not constitute a checklist, nor are they necessarily an ordered set of steps. [NEXT] Fig. 5.",NIST.AI.100-1_removed,NIST.AI.100-1_removed
7,NIST.AI.100-1_removed/ai-rmf-core/sent_0007,sentence,1,AI RMF Core,AI RMF Core,Fig. 5.,"Actions do not constitute a checklist, nor are they necessarily an ordered set of steps.","Functions organize AI risk management activities at their highest level to govern, map,
measure, and manage AI risks.","[PREV] Actions do not constitute a checklist, nor are they necessarily an ordered set of steps. [TARGET] Fig. 5. [NEXT] Functions organize AI risk management activities at their highest level to govern, map,
measure, and manage AI risks.",NIST.AI.100-1_removed,NIST.AI.100-1_removed
8,NIST.AI.100-1_removed/ai-rmf-core/sent_0008,sentence,1,AI RMF Core,AI RMF Core,"Functions organize AI risk management activities at their highest level to govern, map,
measure, and manage AI risks.",Fig. 5.,"Governance is designed to be a cross-cutting function to inform
and be infused throughout the other three functions.","[PREV] Fig. 5. [TARGET] Functions organize AI risk management activities at their highest level to govern, map,
measure, and manage AI risks. [NEXT] Governance is designed to be a cross-cutting function to inform
and be infused throughout the other three functions.",NIST.AI.100-1_removed,NIST.AI.100-1_removed
9,NIST.AI.100-1_removed/ai-rmf-core/sent_0009,sentence,1,AI RMF Core,AI RMF Core,"Governance is designed to be a cross-cutting function to inform
and be infused throughout the other three functions.","Functions organize AI risk management activities at their highest level to govern, map,
measure, and manage AI risks.","Risk management should be continuous, timely, and performed throughout the AI system
lifecycle dimensions.","[PREV] Functions organize AI risk management activities at their highest level to govern, map,
measure, and manage AI risks. [TARGET] Governance is designed to be a cross-cutting function to inform
and be infused throughout the other three functions. [NEXT] Risk management should be continuous, timely, and performed throughout the AI system
lifecycle dimensions.",NIST.AI.100-1_removed,NIST.AI.100-1_removed
10,NIST.AI.100-1_removed/ai-rmf-core/sent_0010,sentence,1,AI RMF Core,AI RMF Core,"Risk management should be continuous, timely, and performed throughout the AI system
lifecycle dimensions.","Governance is designed to be a cross-cutting function to inform
and be infused throughout the other three functions.","AI RMF Core functions should be carried out in a way that reflects
diverse and multidisciplinary perspectives, potentially including the views of AI actors outside the organization.","[PREV] Governance is designed to be a cross-cutting function to inform
and be infused throughout the other three functions. [TARGET] Risk management should be continuous, timely, and performed throughout the AI system
lifecycle dimensions. [NEXT] AI RMF Core functions should be carried out in a way that reflects
diverse and multidisciplinary perspectives, potentially including the views of AI actors outside the organization.",NIST.AI.100-1_removed,NIST.AI.100-1_removed
