sim	a_rule_id	a_req	b_rule_id	b_req
0.9690	spans-passthrough-candidates/sent_0002-0ff8014d	The provider shall not permit a use or disclosure of protected health information based on consent when an authorization under § 164.508 is required.	spans-passthrough-candidates/sent_0002-9113a4f1	The provider shall not permit a use or disclosure of protected health information based on consent when another condition must be met for such use or disclosure to be permissible under this subpart.
0.9655	spans-passthrough-candidates/sent_0013-5c26764b	org must not disclose protected health information to a plan sponsor as otherwise permitted by this paragraph unless the statement required by § 164.520(b)(1)(iii)(C) is included in the appropriate notice.	spans-passthrough-candidates/sent_0013-61f04c5f	org must not permit a health insurance issuer or HMO to disclose protected health information to a plan sponsor as otherwise permitted by this paragraph unless the statement required by § 164.520(b)(1)(iii)(C) is included in the appropriate notice.
0.9652	spans-passthrough-candidates/sent_0013-c43922b7	Entity and business associate must make reasonable efforts to limit protected health information to the minimum necessary for the purpose when using or disclosing PHI.	spans-passthrough-candidates/sent_0013-d185d267	Entity and business associate must make reasonable efforts to limit protected health information to the minimum necessary for the purpose when requesting PHI from another covered entity or business associate.
0.9615	spans-passthrough-candidates/sent_0004-69da010a	entity must not use protected health information without an authorization that is valid under this section.	spans-passthrough-candidates/sent_0004-c5433b74	entity must not disclose protected health information without an authorization that is valid under this section.
0.9479	spans-passthrough-candidates/sent_0011-a3126985	org must not use or disclose the protected health information for employment-related actions and decisions or in connection with any other benefit or employee benefit plan of the plan sponsor.	spans-passthrough-candidates/sent_0013-792c76c6	org must not disclose protected health information to the plan sponsor for the purpose of employment-related actions or decisions or in connection with any other benefit or employee benefit plan of the plan sponsor.
0.9469	spans-passthrough-candidates/sent_0005-08d296b3	Make available protected health information in accordance with § 164.524.	spans-passthrough-candidates/sent_0005-7fd81ac4	Make available protected health information for amendment and incorporate any amendments to protected health information in accordance with § 164.526.
0.9401	spans-passthrough-candidates/sent_0005-75cbcf46	business associate shall not use or disclose protected health information except as permitted or required by its business associate contract or other arrangement pursuant to §164.504(e) or as required by law.	spans-passthrough-candidates/sent_0004-01c2de75	The business associate shall not use or further disclose protected health information except as permitted or required by the contract or as required by law.
0.9393	spans-passthrough-candidates/sent_0012-64b52b9b	Do not treat reproductive health care provided by another person as lawful for purposes of using or disclosing protected health information when the actor has actual knowledge that the reproductive health care was not lawful under the circumstances in which it was provided.	spans-passthrough-candidates/sent_0012-72b91b45	Do not treat reproductive health care provided by another person as lawful for purposes of using or disclosing protected health information when the actor receives factual information from the requester that demonstrates a substantial factual basis that the reproductive health care was not lawful under the specific circumstances in which it was provided.
0.9367	spans-passthrough-candidates/sent_0017-03b28e49	The business associate must document the satisfactory assurances required by paragraph (e)(1) through a written contract or other written agreement or arrangement with the business associate.	spans-passthrough-candidates/sent_0017-021a33dd	The business associate must ensure that the written contract or other written agreement or arrangement meets the applicable requirements of § 164.504(e).
0.9366	spans-passthrough-candidates/sent_0003-91c60794	provider and business associate must not use or disclose protected health information potentially related to reproductive health care for purposes specified in § 164.512(d), (e), (f), or (g)(1) unless they have obtained a valid attestation under paragraph (b)(1) from the person requesting the use or disclosure and are complying with all applicable conditions of this part.	spans-passthrough-candidates/sent_0003-e1d4b33c	provider and business associate must not rely on an attestation that is defective under paragraph (b)(2) when using or disclosing protected health information potentially related to reproductive health care for purposes specified in § 164.512(d), (e), (f), or (g)(1).
0.9249	spans-passthrough-candidates/sent_0003-719bb69b	Take reasonable steps to cure the breach or end the violation.	spans-passthrough-candidates/sent_0003-0998a448	If such reasonable steps were unsuccessful, terminate the contract or arrangement.
0.9208	spans-passthrough-candidates/sent_0013-2d890537	The entity must document any signed authorization under this section.	spans-passthrough-candidates/sent_0013-7bc93f55	The entity must retain any signed authorization under this section as required by § 164.530(j).
0.9134	spans-passthrough-candidates/sent_0012-28da988c	org must ensure the plan documents describe those employees or classes of employees or other persons under the control of the plan sponsor to be given access to the protected health information to be disclosed.	spans-passthrough-candidates/sent_0012-f66b8b0a	org must ensure the plan documents restrict the access to and use by the employees and other persons described in the plan documents to the plan administration functions that the plan sponsor performs for the group health plan.
0.9105	spans-passthrough-candidates/sent_0010-99ea86fe	entity and business associate shall not use or disclose PHI to conduct a criminal, civil, or administrative investigation into any person for the mere act of seeking, obtaining, providing, or facilitating reproductive health care.	spans-passthrough-candidates/sent_0010-4e89d1cc	entity and business associate shall not use or disclose PHI to impose criminal, civil, or administrative liability on any person for the mere act of seeking, obtaining, providing, or facilitating reproductive health care.
0.9090	spans-passthrough-candidates/sent_0010-6ed377c7	provider must clearly differentiate between the conditioned and unconditioned components in any compound authorization created under this paragraph.	spans-passthrough-candidates/sent_0010-939db54a	provider must provide the individual with an opportunity to opt in to the research activities described in the unconditioned authorization.
0.9084	spans-passthrough-candidates/sent_0013-15bceb47	The entity must ensure a valid authorization contains a description of the information to be used or disclosed that identifies the information in a specific and meaningful fashion.	spans-passthrough-candidates/sent_0013-6d6b35f0	The entity must ensure a valid authorization contains the name or other specific identification of the person(s), or class of persons, authorized to make the requested use or disclosure.
0.8974	spans-passthrough-candidates/sent_0009-37a37d7d	Entity must not use or disclose PHI pursuant to an authorization that the covered entity knows has been revoked.	spans-passthrough-candidates/sent_0009-ff2752ad	Entity must not use or disclose PHI pursuant to an authorization when the covered entity knows that any material information in the authorization is false.
0.8900	spans-passthrough-candidates/sent_0010-99ea86fe	entity and business associate shall not use or disclose PHI to conduct a criminal, civil, or administrative investigation into any person for the mere act of seeking, obtaining, providing, or facilitating reproductive health care.	spans-passthrough-candidates/sent_0010-1a6f0405	entity and business associate shall not use or disclose PHI to identify any person for any purpose described in paragraphs (a)(5)(iii)(A)(1) or (2) of this section.
0.8863	spans-passthrough-candidates/sent_0011-82748cee	org must amend the group health plan's plan documents to establish the permitted and required uses and disclosures of protected health information by the plan sponsor and ensure such uses and disclosures are not inconsistent with this subpart.	spans-passthrough-candidates/sent_0011-4c41da50	org must not use or further disclose the protected health information other than as permitted or required by the plan documents or as required by law.
0.8860	spans-passthrough-candidates/sent_0009-8c426967	Entity must not use or disclose PHI pursuant to an authorization when the expiration date has passed or the expiration event has occurred.	spans-passthrough-candidates/sent_0009-37a37d7d	Entity must not use or disclose PHI pursuant to an authorization that the covered entity knows has been revoked.
0.8859	spans-passthrough-candidates/sent_0009-37a37d7d	Entity must not use or disclose PHI pursuant to an authorization that the covered entity knows has been revoked.	spans-passthrough-candidates/sent_0009-24d20160	Entity must not use or disclose PHI pursuant to an authorization that violates paragraph (b)(3) or (4) of this section.
0.8841	spans-passthrough-candidates/sent_0012-28da988c	org must ensure the plan documents describe those employees or classes of employees or other persons under the control of the plan sponsor to be given access to the protected health information to be disclosed.	spans-passthrough-candidates/sent_0012-b581123c	org must ensure the plan documents provide an effective mechanism for resolving any issues of noncompliance by the persons described in the plan documents with the plan document provisions required by this paragraph.
0.8818	spans-passthrough-candidates/sent_0009-a3b0ac50	Entity must not use or disclose PHI pursuant to an authorization that is not filled out completely as required by paragraph (c) of this section.	spans-passthrough-candidates/sent_0009-24d20160	Entity must not use or disclose PHI pursuant to an authorization that violates paragraph (b)(3) or (4) of this section.
0.8758	spans-passthrough-candidates/sent_0011-4c41da50	org must not use or further disclose the protected health information other than as permitted or required by the plan documents or as required by law.	spans-passthrough-candidates/sent_0012-f66b8b0a	org must ensure the plan documents restrict the access to and use by the employees and other persons described in the plan documents to the plan administration functions that the plan sponsor performs for the group health plan.
0.8755	spans-passthrough-candidates/sent_0011-82748cee	org must amend the group health plan's plan documents to establish the permitted and required uses and disclosures of protected health information by the plan sponsor and ensure such uses and disclosures are not inconsistent with this subpart.	spans-passthrough-candidates/sent_0012-f66b8b0a	org must ensure the plan documents restrict the access to and use by the employees and other persons described in the plan documents to the plan administration functions that the plan sponsor performs for the group health plan.
0.8747	spans-passthrough-candidates/sent_0006-66a61626	The provider must obtain an authorization for any disclosure of protected health information that is a sale of protected health information.	spans-passthrough-candidates/sent_0006-3b6e7bb2	The provider must state in the authorization that the disclosure will result in remuneration to the covered entity.
0.8736	spans-passthrough-candidates/sent_0004-69da010a	entity must not use protected health information without an authorization that is valid under this section.	spans-passthrough-candidates/sent_0009-24d20160	Entity must not use or disclose PHI pursuant to an authorization that violates paragraph (b)(3) or (4) of this section.
0.8728	spans-passthrough-candidates/sent_0010-d7c3c139	entity shall not combine authorizations under this section when the entity has conditioned provision of treatment, payment, enrollment in a health plan, or eligibility for benefits on the provision of one of the authorizations.	spans-passthrough-candidates/sent_0011-a136f19e	The entity must not condition the provision to an individual of treatment, payment, enrollment in the health plan, or eligibility for benefits on the provision of an authorization.
0.8711	spans-passthrough-candidates/sent_0023-770983bc	Entity must not use or disclose protected health information in a manner inconsistent with such notice.	spans-passthrough-candidates/sent_0004-c5433b74	entity must not disclose protected health information without an authorization that is valid under this section.
0.8693	spans-passthrough-candidates/sent_0009-24d20160	Entity must not use or disclose PHI pursuant to an authorization that violates paragraph (b)(3) or (4) of this section.	spans-passthrough-candidates/sent_0009-ff2752ad	Entity must not use or disclose PHI pursuant to an authorization when the covered entity knows that any material information in the authorization is false.
0.8688	spans-passthrough-candidates/sent_0012-28da988c	org must ensure the plan documents describe those employees or classes of employees or other persons under the control of the plan sponsor to be given access to the protected health information to be disclosed.	spans-passthrough-candidates/sent_0012-0ec05553	org must ensure that any employee or person who receives protected health information relating to payment under, health care operations of, or other matters pertaining to the group health plan in the ordinary course of business is included in that description.
0.8668	spans-passthrough-candidates/sent_0011-82748cee	org must amend the group health plan's plan documents to establish the permitted and required uses and disclosures of protected health information by the plan sponsor and ensure such uses and disclosures are not inconsistent with this subpart.	spans-passthrough-candidates/sent_0011-3873077e	org must report to the group health plan any use or disclosure of protected health information that is inconsistent with the permitted uses or disclosures of which the plan sponsor becomes aware.
0.8610	spans-passthrough-candidates/sent_0007-770adb35	org shall attempt in good faith to obtain satisfactory assurances as required by paragraph (e)(2) of this section and § 164.314(a)(1), if applicable.	spans-passthrough-candidates/sent_0007-6f1df103	If such attempt fails, org shall document the attempt and the reasons that such assurances cannot be obtained.
0.8610	spans-passthrough-candidates/sent_0011-82748cee	org must amend the group health plan's plan documents to establish the permitted and required uses and disclosures of protected health information by the plan sponsor and ensure such uses and disclosures are not inconsistent with this subpart.	spans-passthrough-candidates/sent_0011-ea854aae	org must not disclose protected health information to the plan sponsor except upon receipt of a certification by the plan sponsor that the plan documents have been amended to incorporate the required provisions and that the plan sponsor agrees to those provisions.
0.8606	spans-passthrough-candidates/sent_0011-4c41da50	org must not use or further disclose the protected health information other than as permitted or required by the plan documents or as required by law.	spans-passthrough-candidates/sent_0011-e74a3681	org must ensure that any agents to whom it provides protected health information agree to the same restrictions and conditions that apply to the plan sponsor with respect to such information.
