k,span_id,score,tp,fp,precision,recall
0,,1.0,0,0,1.0,0.0
1,Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0001,0.5698412698412699,1,0,1.0,0.014084507042253521
2,Microsoft/index/inclusiveness-goal/goal-i1-accessibility-standards-compliance/sent_0001,0.5277777777777778,2,0,1.0,0.028169014084507043
3,Microsoft/index/fairness-goals/goal-f2-allocation-of-resources-and-opportunities/sent_0006,0.5128205128205128,3,0,1.0,0.04225352112676056
4,Microsoft/index/accountability-goals/goal-a4-data-governance-and-management/sent_0001,0.509700176366843,4,0,1.0,0.056338028169014086
5,Microsoft/index/reliability-safety-goals/goal-rs2-failures-and-remediations/sent_0004,0.49876543209876545,5,0,1.0,0.07042253521126761
6,Microsoft/index/fairness-goals/goal-f2-allocation-of-resources-and-opportunities/sent_0007,0.48383838383838385,6,0,1.0,0.08450704225352113
7,Microsoft/index/fairness-goals/goal-f3-minimization-of-stereotyping-demeaning-and-erasing-o/sent_0004,0.4740740740740741,7,0,1.0,0.09859154929577464
8,Microsoft/index/reliability-safety-goals/goal-rs1-reliability-and-safety-guidance/sent_0001,0.4517704517704517,8,0,1.0,0.11267605633802817
9,Microsoft/index/fairness-goals/goal-f1-quality-of-service/sent_0008,0.4502923976608187,9,0,1.0,0.1267605633802817
10,Microsoft/index/fairness-goals/goal-f3-minimization-of-stereotyping-demeaning-and-erasing-o/sent_0002,0.44814814814814813,10,0,1.0,0.14084507042253522
11,Microsoft/index/reliability-safety-goals/goal-rs2-failures-and-remediations/sent_0001,0.43874643874643876,11,0,1.0,0.15492957746478872
12,Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0001,0.43732193732193736,12,0,1.0,0.16901408450704225
13,Microsoft/index/reliability-safety-goals/goal-rs3-ongoing-monitoring-feedback-and-evaluation/sent_0006,0.4351851851851852,13,0,1.0,0.18309859154929578
14,Microsoft/index/fairness-goals/goal-f2-allocation-of-resources-and-opportunities/sent_0005,0.4271604938271605,14,0,1.0,0.19718309859154928
15,Microsoft/index/fairness-goals/goal-f3-minimization-of-stereotyping-demeaning-and-erasing-o/sent_0001,0.42407407407407405,15,0,1.0,0.2112676056338028
16,Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0003,0.420959595959596,16,0,1.0,0.22535211267605634
17,Microsoft/index/fairness-goals/goal-f3-minimization-of-stereotyping-demeaning-and-erasing-o/sent_0003,0.4195906432748538,17,0,1.0,0.23943661971830985
18,Microsoft/index/transparency-goals/goal-t3-disclosure-of-ai-interaction/sent_0003,0.416005291005291,18,0,1.0,0.2535211267605634
19,Microsoft/index/transparency-goals/goal-t2-communication-to-stakeholders/sent_0001,0.4097222222222222,19,0,1.0,0.2676056338028169
20,Microsoft/index/fairness-goals/goal-f3-minimization-of-stereotyping-demeaning-and-erasing-o/sent_0005,0.40476190476190477,20,0,1.0,0.28169014084507044
21,Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0003,0.40404040404040403,21,0,1.0,0.29577464788732394
22,Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0003,0.40246354952237307,22,0,1.0,0.30985915492957744
23,Microsoft/index/reliability-safety-goals/goal-rs1-reliability-and-safety-guidance/sent_0006,0.39869281045751637,23,0,1.0,0.323943661971831
24,Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0004,0.39814814814814814,24,0,1.0,0.3380281690140845
25,Microsoft/index/reliability-safety-goals/goal-rs3-ongoing-monitoring-feedback-and-evaluation/sent_0003,0.39814814814814814,25,0,1.0,0.352112676056338
26,Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0004,0.39753086419753086,26,0,1.0,0.36619718309859156
27,Microsoft/index/reliability-safety-goals/goal-rs1-reliability-and-safety-guidance/sent_0005,0.3952991452991453,27,0,1.0,0.38028169014084506
28,Microsoft/index/accountability-goals/goal-a4-data-governance-and-management/sent_0002,0.39351851851851855,28,0,1.0,0.39436619718309857
29,Microsoft/index/reliability-safety-goals/goal-rs3-ongoing-monitoring-feedback-and-evaluation/sent_0001,0.3924162257495591,29,0,1.0,0.4084507042253521
30,Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0005,0.39123533471359556,30,0,1.0,0.4225352112676056
31,Microsoft/index/transparency-goals/goal-t2-communication-to-stakeholders/sent_0003,0.38617265087853325,31,0,1.0,0.43661971830985913
32,Microsoft/index/fairness-goals/goal-f1-quality-of-service/sent_0003,0.3859649122807018,32,0,1.0,0.4507042253521127
33,Microsoft/index/reliability-safety-goals/goal-rs1-reliability-and-safety-guidance/sent_0003,0.3796296296296296,33,0,1.0,0.4647887323943662
34,Microsoft/index/reliability-safety-goals/goal-rs2-failures-and-remediations/sent_0003,0.37445887445887444,34,0,1.0,0.4788732394366197
35,Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0003,0.37373737373737376,35,0,1.0,0.49295774647887325
36,Microsoft/index/fairness-goals/goal-f1-quality-of-service/sent_0007,0.37142857142857144,36,0,1.0,0.5070422535211268
37,Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0001,0.3686274509803921,37,0,1.0,0.5211267605633803
38,Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0001,0.3680555555555556,38,0,1.0,0.5352112676056338
39,Microsoft/index/reliability-safety-goals/goal-rs3-ongoing-monitoring-feedback-and-evaluation/sent_0002,0.3644179894179895,39,0,1.0,0.5492957746478874
40,Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0003,0.358974358974359,40,0,1.0,0.5633802816901409
41,Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0002,0.35555555555555557,41,0,1.0,0.5774647887323944
42,Microsoft/index/fairness-goals/goal-f2-allocation-of-resources-and-opportunities/sent_0002,0.35,42,0,1.0,0.5915492957746479
43,Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0002,0.3448773448773449,43,0,1.0,0.6056338028169014
44,Microsoft/index/transparency-goals/goal-t2-communication-to-stakeholders/sent_0002,0.34444444444444444,44,0,1.0,0.6197183098591549
45,Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0005,0.32539682539682535,45,0,1.0,0.6338028169014085
46,Microsoft/index/privacy-security-goals/goal-ps2-security-policy-compliance/sent_0001,0.3222222222222222,46,0,1.0,0.647887323943662
47,Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0006,0.32098765432098764,47,0,1.0,0.6619718309859155
48,Microsoft/index/fairness-goals/goal-f2-allocation-of-resources-and-opportunities/sent_0004,0.3115942028985507,48,0,1.0,0.676056338028169
49,Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0004,0.3055555555555556,49,0,1.0,0.6901408450704225
