k,span_id,score,tp,fp,precision,recall
0,,1.0,0,0,1.0,0.0
1,Microsoft/index/reliability-safety-goals/goal-rs2-failures-and-remediations/sent_0004,0.7777777777777778,1,0,1.0,0.014084507042253521
2,Microsoft/index/transparency-goals/goal-t2-communication-to-stakeholders/sent_0001,0.6552287581699345,2,0,1.0,0.028169014084507043
3,Microsoft/index/fairness-goals/goal-f2-allocation-of-resources-and-opportunities/sent_0006,0.6324786324786325,3,0,1.0,0.04225352112676056
4,Microsoft/index/fairness-goals/goal-f3-minimization-of-stereotyping-demeaning-and-erasing-o/sent_0003,0.6169082125603865,4,0,1.0,0.056338028169014086
5,Microsoft/index/reliability-safety-goals/goal-rs1-reliability-and-safety-guidance/sent_0001,0.6047619047619048,5,0,1.0,0.07042253521126761
6,Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0003,0.5333333333333333,6,0,1.0,0.08450704225352113
7,Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0001,0.5244107744107744,7,0,1.0,0.09859154929577464
8,Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0003,0.5236291486291487,8,0,1.0,0.11267605633802817
9,Microsoft/index/reliability-safety-goals/goal-rs3-ongoing-monitoring-feedback-and-evaluation/sent_0006,0.5185185185185186,9,0,1.0,0.1267605633802817
10,Microsoft/index/fairness-goals/goal-f1-quality-of-service/sent_0007,0.5185185185185185,10,0,1.0,0.14084507042253522
11,Microsoft/index/reliability-safety-goals/goal-rs3-ongoing-monitoring-feedback-and-evaluation/sent_0003,0.5092592592592593,11,0,1.0,0.15492957746478872
12,Microsoft/index/transparency-goals/goal-t2-communication-to-stakeholders/sent_0002,0.5074074074074074,12,0,1.0,0.16901408450704225
13,Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0001,0.5052910052910052,13,0,1.0,0.18309859154929578
14,Microsoft/index/fairness-goals/goal-f2-allocation-of-resources-and-opportunities/sent_0004,0.500561167227834,14,0,1.0,0.19718309859154928
15,Microsoft/index/fairness-goals/goal-f3-minimization-of-stereotyping-demeaning-and-erasing-o/sent_0005,0.48888888888888893,15,0,1.0,0.2112676056338028
16,Microsoft/index/fairness-goals/goal-f3-minimization-of-stereotyping-demeaning-and-erasing-o/sent_0004,0.48148148148148145,16,0,1.0,0.22535211267605634
17,Microsoft/index/transparency-goals/goal-t2-communication-to-stakeholders/sent_0003,0.47912992357436796,17,0,1.0,0.23943661971830985
18,Microsoft/index/fairness-goals/goal-f2-allocation-of-resources-and-opportunities/sent_0007,0.47619047619047616,18,0,1.0,0.2535211267605634
19,Microsoft/index/reliability-safety-goals/goal-rs2-failures-and-remediations/sent_0001,0.47435897435897434,19,0,1.0,0.2676056338028169
20,Microsoft/index/accountability-goals/goal-a4-data-governance-and-management/sent_0002,0.47272727272727266,20,0,1.0,0.28169014084507044
21,Microsoft/index/reliability-safety-goals/goal-rs3-ongoing-monitoring-feedback-and-evaluation/sent_0005,0.47016806722689075,21,0,1.0,0.29577464788732394
22,Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0001,0.46031746031746024,22,0,1.0,0.30985915492957744
23,Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0002,0.4420995670995671,23,0,1.0,0.323943661971831
24,Microsoft/index/privacy-security-goals/goal-ps2-security-policy-compliance/sent_0001,0.43333333333333335,24,0,1.0,0.3380281690140845
