span_id,has_prediction,chosen_rule_id,macro_f1,test_correct,hazard_exact,scope.actor_exact,scope.domain_exact,scope.context_exact,conditions_exact,exceptions_exact,requirements_exact,evidence_exact,evidence_signals_exact,hazard_f1,scope.actor_f1,scope.domain_f1,scope.context_f1,conditions_f1,exceptions_f1,requirements_f1,evidence_f1,evidence_signals_f1
Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0001,True,spans-passthrough-candidates/sent_0001-d74bfa6b,0.5092592592592592,True,False,False,False,True,False,True,False,True,True,0.0,0.0,0.0,1.0,0.083,1.0,0.5,1.0,1.0
Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0002,True,spans-passthrough-candidates/sent_0002-44edf2b4,0.47195767195767196,True,False,True,False,True,False,True,False,True,False,0.143,1.0,0.0,1.0,0.0,1.0,0.238,0.667,0.2
Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0003,False,,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0001,True,spans-passthrough-candidates/sent_0001-b52569e7,0.2916666666666667,True,False,True,False,False,False,True,False,False,False,0.0,1.0,0.0,0.0,0.0,1.0,0.375,0.0,0.25
Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0002,True,spans-passthrough-candidates/sent_0002-423b2d26,0.2787037037037037,True,False,True,False,False,False,True,False,False,False,0.0,1.0,0.0,0.0,0.125,1.0,0.133,0.0,0.25
Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0003,True,spans-passthrough-candidates/sent_0003-f3dc54d2,0.5954545454545455,True,False,True,False,False,True,True,True,True,False,0.2,1.0,0.0,0.0,1.0,1.0,0.909,1.0,0.25
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0001,True,spans-passthrough-candidates/sent_0001-851df325,0.5925925925925926,True,False,True,False,False,True,True,True,True,False,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.333
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0002,True,spans-passthrough-candidates/sent_0002-375562a8,0.2074074074074074,True,False,False,False,False,False,True,False,False,True,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.667
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0003,True,spans-passthrough-candidates/sent_0003-f481b21f,0.31590413943355117,True,False,False,False,False,True,True,False,False,True,0.0,0.0,0.0,0.0,1.0,1.0,0.176,0.0,0.667
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0004,True,spans-passthrough-candidates/sent_0004-f10146db,0.4864197530864198,True,False,False,False,False,True,True,True,True,True,0.0,0.0,0.0,0.0,0.778,1.0,0.6,1.0,1.0
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0005,True,spans-passthrough-candidates/sent_0005-fbf05b5c,0.30519713261648745,True,False,True,False,False,False,True,False,False,False,0.0,1.0,0.0,0.0,0.25,1.0,0.097,0.0,0.4
Microsoft/index/accountability-goals/goal-a4-data-governance-and-management/sent_0001,True,spans-passthrough-candidates/sent_0001-4b71369c,0.5345860566448802,True,False,True,False,False,True,True,False,True,False,0.125,1.0,0.0,0.0,1.0,1.0,0.353,1.0,0.333
Microsoft/index/accountability-goals/goal-a4-data-governance-and-management/sent_0002,True,spans-passthrough-candidates/sent_0002-1bbaedb5,0.2195767195767196,True,False,False,False,False,False,True,False,False,True,0.167,0.0,0.0,0.0,0.0,1.0,0.143,0.0,0.667
Microsoft/index/accountability-goals/goal-a4-data-governance-and-management/sent_0003,True,spans-passthrough-candidates/sent_0003-458aec19,0.19444444444444445,True,False,False,False,False,False,True,False,False,False,0.1,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.4
Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0001,True,spans-passthrough-candidates/sent_0001-d021c712,0.5523504273504273,True,False,True,False,False,True,True,True,True,False,0.125,1.0,0.0,0.0,1.0,1.0,0.846,0.667,0.333
Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0002,True,spans-passthrough-candidates/sent_0002-5a8e6c5d,0.37142857142857144,True,False,True,False,False,False,True,False,False,True,0.2,1.0,0.0,0.0,0.0,1.0,0.143,0.333,0.667
Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0003,True,spans-passthrough-candidates/sent_0003-06394537,0.4074074074074074,True,False,True,False,False,False,True,True,False,True,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.667
Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0004,True,spans-passthrough-candidates/sent_0004-ad9509e6,0.34382716049382717,True,False,False,False,False,False,True,False,True,False,0.111,0.0,0.0,0.0,0.0,1.0,0.583,1.0,0.4
Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0005,False,,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0001,True,spans-passthrough-candidates/sent_0001-95bad68b,0.0,True,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
