k,span_id,score,tp,fp,precision,recall
0,,1.0,0,0,1.0,0.0
1,AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0009,0.6909090909090909,1,0,1.0,0.047619047619047616
2,AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0006,0.494047619047619,2,0,1.0,0.09523809523809523
3,AI in health - WHO_removed/6-deployment-with-general-purpose-foundation-models-lmms/6-1-risks-to-be-addressed-when-deploying-a-health-care-servi/sent_0001,0.46090534979423864,3,0,1.0,0.14285714285714285
4,AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0001,0.445224171539961,4,0,1.0,0.19047619047619047
5,AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0022,0.3712121212121212,5,0,1.0,0.23809523809523808
6,AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0007,0.28373590982286634,6,0,1.0,0.2857142857142857
7,AI in health - WHO_removed/7-liability-for-lmms/sent_0004,0.2777777777777778,7,0,1.0,0.3333333333333333
8,AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0025,0.25,8,0,1.0,0.38095238095238093
9,AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0013,0.1783068783068783,9,0,1.0,0.42857142857142855
