span_id,has_prediction,chosen_rule_id,macro_f1,test_correct,hazard_f1,scope.actor_f1,scope.domain_f1,scope.context_f1,conditions_f1,exceptions_f1,requirements_f1,evidence_f1,evidence_signals_f1,hazard_exact,scope.actor_exact,scope.domain_exact,scope.context_exact,conditions_exact,exceptions_exact,requirements_exact,evidence_exact,evidence_signals_exact
EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0001,False,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False
EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0002,False,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False
EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0003,True,spans-passthrough-candidates/sent_0003-da9ef286,0.39814814814814814,True,0.0,0.0,0.0,1.0,0.5,1.0,0.583,0.0,0.5,False,False,False,True,False,True,False,False,False
EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0001,True,spans-passthrough-candidates/sent_0001-80339667,0.4747795414462081,True,0.4,0.0,0.0,1.0,0.0,1.0,0.444,1.0,0.429,False,False,False,True,False,True,False,True,False
EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0002,True,spans-passthrough-candidates/sent_0002-215d6421,0.35535230352303526,True,0.0,0.0,0.0,1.0,0.0,1.0,0.073,1.0,0.125,False,False,False,True,False,True,False,True,False
EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0003,True,spans-passthrough-candidates/sent_0003-99bde94a,0.522149600580973,True,0.111,1.0,0.0,1.0,0.0,1.0,0.088,1.0,0.5,False,True,False,True,False,True,False,True,False
EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0004,False,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False
EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0001,False,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False
EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0002,True,spans-passthrough-candidates/sent_0002-b116b378,0.47606837606837604,True,0.0,1.0,0.0,1.0,0.0,1.0,0.385,0.4,0.5,False,True,False,True,False,True,False,False,False
EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0003,True,spans-passthrough-candidates/sent_0003-440b7910,0.3994708994708995,True,0.429,1.0,0.0,0.0,0.333,1.0,0.5,0.0,0.333,False,True,False,False,False,True,False,False,False
EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0004,False,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False
EU_AI_2024_removed/article-12/sent_0001,True,spans-passthrough-candidates/sent_0001-a6525b3a,0.6256248118036736,True,0.111,1.0,0.0,1.0,0.3,1.0,0.22,1.0,1.0,False,True,False,True,False,True,False,True,True
EU_AI_2024_removed/article-12/sent_0002,True,spans-passthrough-candidates/sent_0002-b994ca1c,0.4166666666666667,True,0.0,1.0,0.0,1.0,0.0,1.0,0.25,0.0,0.5,False,True,False,True,False,True,False,False,False
EU_AI_2024_removed/article-12/sent_0003,True,spans-passthrough-candidates/sent_0003-2dcb5c3a,0.5,True,0.0,1.0,0.0,1.0,0.0,1.0,0.167,1.0,0.333,False,True,False,True,False,True,False,True,False
EU_AI_2024_removed/v-when-appropriate-its-performance-regarding-specific-person/sent_0001,False,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False
EU_AI_2024_removed/v-when-appropriate-its-performance-regarding-specific-person/sent_0002,True,spans-passthrough-candidates/sent_0002-0ec6ffe7,0.41007674341007677,True,0.0,1.0,0.0,0.0,0.222,1.0,0.135,1.0,0.333,False,True,False,False,False,True,False,True,False
EU_AI_2024_removed/the-output-of-the-high-risk-ai-system/sent_0001,False,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False
EU_AI_2024_removed/the-output-of-the-high-risk-ai-system/sent_0002,True,spans-passthrough-candidates/sent_0002-0e7ff839,0.2797385620915033,True,0.0,0.0,0.0,0.0,1.0,1.0,0.118,0.0,0.4,False,False,False,False,True,True,False,False,False
EU_AI_2024_removed/the-output-of-the-high-risk-ai-system/sent_0003,False,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False
EU_AI_2024_removed/the-output-of-the-high-risk-ai-system/sent_0004,False,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False
