k,span_id,score,tp,fp,precision,recall
0,,1.0,0,0,1.0,0.0
1,EU_AI_2024_removed/v-when-appropriate-its-performance-regarding-specific-person/sent_0002,0.5816422777373541,1,0,1.0,0.05
2,EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0004,0.5665692007797271,2,0,1.0,0.1
3,EU_AI_2024_removed/article-12/sent_0003,0.550191570881226,3,0,1.0,0.15
4,EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0003,0.5322506106819832,4,0,1.0,0.2
5,EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0001,0.5248015873015873,5,0,1.0,0.25
6,EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0002,0.5238095238095237,6,0,1.0,0.3
7,EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0002,0.48552575564069816,7,0,1.0,0.35
8,EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0001,0.47880983750548967,8,0,1.0,0.4
9,EU_AI_2024_removed/article-12/sent_0001,0.4760942760942761,9,0,1.0,0.45
10,EU_AI_2024_removed/the-output-of-the-high-risk-ai-system/sent_0002,0.44157088122605365,10,0,1.0,0.5
11,EU_AI_2024_removed/the-output-of-the-high-risk-ai-system/sent_0004,0.42962962962962964,11,0,1.0,0.55
12,EU_AI_2024_removed/the-output-of-the-high-risk-ai-system/sent_0003,0.42780461621041327,12,0,1.0,0.6
13,EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0003,0.41137566137566134,13,0,1.0,0.65
14,EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0002,0.404601571268238,14,0,1.0,0.7
15,EU_AI_2024_removed/article-12/sent_0002,0.4031746031746032,15,0,1.0,0.75
16,EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0004,0.3886549707602339,16,0,1.0,0.8
17,EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0003,0.38580246913580246,17,0,1.0,0.85
18,EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0001,0.31895424836601305,18,0,1.0,0.9
19,EU_AI_2024_removed/the-output-of-the-high-risk-ai-system/sent_0001,0.28689006466784245,19,0,1.0,0.95
20,EU_AI_2024_removed/v-when-appropriate-its-performance-regarding-specific-person/sent_0001,0.13589065255731925,20,0,1.0,1.0
