sim	a_rule_id	a_req	b_rule_id	b_req
0.9837	spans-passthrough-candidates/sent_0004-9179a011	provider must not use protected health information without an authorization that is valid under this section.	spans-passthrough-candidates/sent_0004-af803c77	provider must not disclose protected health information without an authorization that is valid under this section.
0.9575	spans-passthrough-candidates/sent_0011-f3bd3f53	entity shall not use or further disclose the protected health information other than as permitted or required by the plan documents or as required by law.	spans-passthrough-candidates/sent_0011-f9d6b505	entity shall not use or disclose the protected health information for employment-related actions and decisions or in connection with any other benefit or employee benefit plan of the plan sponsor.
0.9538	spans-passthrough-candidates/sent_0013-66b88db7	Entity must not permit a health insurance issuer or HMO to disclose protected health information to the plan sponsor.	spans-passthrough-candidates/sent_0013-2ec8872c	Entity must not permit a health insurance issuer or HMO to disclose protected health information to a plan sponsor.
0.9514	spans-passthrough-candidates/sent_0003-7a049993	Entity and business associate shall not use or disclose protected health information potentially related to reproductive health care for the purposes specified in § 164.512(d), (e), (f), or (g)(1) unless they obtain an attestation valid under paragraph (b)(1) and comply with all applicable conditions of this part.	spans-passthrough-candidates/sent_0003-a7abb587	Entity and business associate shall not use or disclose protected health information potentially related to reproductive health care for the purposes specified in § 164.512(d), (e), (f), or (g)(1) in reliance on an attestation that is defective under paragraph (b)(2).
0.9452	spans-passthrough-candidates/sent_0013-53562974	entity or business associate must make reasonable efforts to limit protected health information to the minimum necessary when using or disclosing protected health information.	spans-passthrough-candidates/sent_0013-f7783467	entity or business associate must make reasonable efforts to limit requests for protected health information to the minimum necessary when requesting protected health information from another covered entity or business associate.
0.9413	spans-passthrough-candidates/sent_0010-f798bb5b	Entity and business associate must not use or disclose protected health information to conduct a criminal, civil, or administrative investigation into any person for the mere act of seeking, obtaining, providing, or facilitating reproductive health care.	spans-passthrough-candidates/sent_0010-c86d27cc	Entity and business associate must not use or disclose protected health information to impose criminal, civil, or administrative liability on any person for the mere act of seeking, obtaining, providing, or facilitating reproductive health care.
0.9335	spans-passthrough-candidates/sent_0011-e9ca6ca8	entity shall make available protected health information in accordance with § 164.524.	spans-passthrough-candidates/sent_0011-bc6d1191	entity shall make available protected health information for amendment and incorporate any amendments to protected health information in accordance with § 164.526.
0.9245	spans-passthrough-candidates/sent_0019-f6fd0fc3	Treat that parent, guardian, or other person acting in loco parentis as a personal representative under this subchapter with respect to protected health information relevant to such personal representation, except as stated in the exceptions.	spans-passthrough-candidates/sent_0019-2ab1bf14	Do not treat a parent, guardian, or other person acting in loco parentis as the personal representative of an unemancipated minor with respect to protected health information pertaining to a health care service when any of the listed conditions apply.
0.9233	spans-passthrough-candidates/sent_0012-5d6092db	Entity or business associate must not treat reproductive health care provided by another person as presumed lawful when they have actual knowledge that the reproductive health care was not lawful under the circumstances in which it was provided.	spans-passthrough-candidates/sent_0012-5a05594d	Entity or business associate must not treat reproductive health care provided by another person as presumed lawful when they receive factual information from the requester that demonstrates a substantial factual basis that the reproductive health care was not lawful under the specific circumstances in which it was provided.
0.9104	spans-passthrough-candidates/sent_0011-f3bd3f53	entity shall not use or further disclose the protected health information other than as permitted or required by the plan documents or as required by law.	spans-passthrough-candidates/sent_0011-820bb039	entity shall ensure that any agents to whom it provides protected health information received from the group health plan agree to the same restrictions and conditions that apply to the plan sponsor with respect to such information.
0.9026	spans-passthrough-candidates/sent_0011-f3bd3f53	entity shall not use or further disclose the protected health information other than as permitted or required by the plan documents or as required by law.	spans-passthrough-candidates/sent_0013-1d83bccf	Entity must not disclose protected health information to the plan sponsor for the purpose of employment-related actions or decisions or in connection with any other benefit or employee benefit plan of the plan sponsor.
0.9011	spans-passthrough-candidates/sent_0006-4c4700fd	entity must obtain an authorization for any disclosure of protected health information that is a sale.	spans-passthrough-candidates/sent_0006-1b4e4551	entity must state in the authorization that the disclosure will result in remuneration to the covered entity.
0.8958	spans-passthrough-candidates/sent_0003-e858baf7	When the business associate knows of such a pattern of activity or practice, the business associate must take reasonable steps to cure the breach or end the violation, as applicable.	spans-passthrough-candidates/sent_0003-67e4b9eb	If those reasonable steps are unsuccessful, the business associate must terminate the contract or arrangement with the subcontractor, if feasible.
0.8852	spans-passthrough-candidates/sent_0012-4256bac3	The org must ensure plan documents describe the employees or classes of employees or other persons under the control of the plan sponsor to be given access to the protected health information to be disclosed and must include any employee or person who receives protected health information relating to payment, health care operations, or other matters pertaining to the group health plan in the ordinary course of business.	spans-passthrough-candidates/sent_0012-a30d662a	The org must ensure plan documents restrict the access to and use by such employees and other persons described in paragraph (f)(2)(iii)(A) to the plan administration functions that the plan sponsor performs for the group health plan.
0.8848	spans-passthrough-candidates/sent_0005-123935db	At termination of the contract, the business associate shall, if feasible, return or destroy all protected health information received from, or created or received by the business associate on behalf of, the covered entity that the business associate still maintains in any form and retain no copies of such information.	spans-passthrough-candidates/sent_0005-499d6bc7	If return or destruction of protected health information is not feasible at contract termination, the business associate shall extend the protections of the contract to the information and limit further uses and disclosures to those purposes that make the return or destruction of the information infeasible.
0.8793	spans-passthrough-candidates/sent_0003-06711cc0	When the organization knows of such a pattern of activity or practice, the organization must take reasonable steps to cure the breach or end the violation, as applicable.	spans-passthrough-candidates/sent_0003-821873b6	If those reasonable steps are unsuccessful, the organization must terminate the contract or arrangement, if feasible.
0.8790	spans-passthrough-candidates/sent_0013-a3441a2e	Ensure each authorization includes the name or other specific identification of the person(s), or class of persons, authorized to make the requested use or disclosure.	spans-passthrough-candidates/sent_0014-fb8e2722	The entity must include the name or other specific identification of the person(s) or class of persons to whom it may make the requested use or disclosure.
0.8680	spans-passthrough-candidates/sent_0005-96a5d61b	The business associate shall ensure that any subcontractors that create, receive, maintain, or transmit protected health information on behalf of the business associate agree to the same restrictions and conditions that apply to the business associate with respect to such information.	spans-passthrough-candidates/sent_0008-27921b7d	Business associate shall ensure that any contract or other arrangement with a subcontractor includes the requirements of §164.504(e)(2) through §164.504(e)(4) in the same manner those requirements apply to contracts or other arrangements between a covered entity and a business associate.
0.8628	spans-passthrough-candidates/sent_0011-418077bb	entity shall amend the group health plan's plan documents to include provisions that establish the permitted and required uses and disclosures of protected health information by the plan sponsor and ensure those uses and disclosures are not inconsistent with this subpart.	spans-passthrough-candidates/sent_0011-f3bd3f53	entity shall not use or further disclose the protected health information other than as permitted or required by the plan documents or as required by law.
0.8617	spans-passthrough-candidates/sent_0013-2617191a	Ensure each authorization contains a description of the information to be used or disclosed that identifies the information in a specific and meaningful fashion.	spans-passthrough-candidates/sent_0013-a3441a2e	Ensure each authorization includes the name or other specific identification of the person(s), or class of persons, authorized to make the requested use or disclosure.
0.8595	spans-passthrough-candidates/sent_0011-fad11f64	entity shall report to the group health plan any use or disclosure of the protected health information that is inconsistent with the uses or disclosures provided for and of which it becomes aware.	spans-passthrough-candidates/sent_0011-e9ca6ca8	entity shall make available protected health information in accordance with § 164.524.
0.8561	spans-passthrough-candidates/sent_0011-418077bb	entity shall amend the group health plan's plan documents to include provisions that establish the permitted and required uses and disclosures of protected health information by the plan sponsor and ensure those uses and disclosures are not inconsistent with this subpart.	spans-passthrough-candidates/sent_0011-42066003	entity shall disclose protected health information to the plan sponsor only upon receipt of a certification by the plan sponsor that the plan documents have been amended to incorporate the required provisions and that the plan sponsor agrees to comply with those provisions.
0.8533	spans-passthrough-candidates/sent_0012-92e717a2	The org must return or destroy all protected health information received from the group health plan that the sponsor still maintains in any form and retain no copies of such information when no longer needed for the purpose for which disclosure was made.	spans-passthrough-candidates/sent_0012-37d2effd	The org must limit further uses and disclosures of such protected health information to only those purposes that make return or destruction of the information infeasible.
0.8501	spans-passthrough-candidates/sent_0002-0ba7fbe7	entity must not treat consent under paragraph (b) as effective to permit a use or disclosure of protected health information when authorization, under § 164.508, is required.	spans-passthrough-candidates/sent_0002-fa1abc82	entity must provide the individual with a copy of the signed authorization when it seeks an authorization for a use or disclosure of protected health information.
