kept_rule_id	span_id
spans-passthrough-candidates/sent_0001-f6b4d0c1	AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-1-risks-to-be-addressed-when-providing-a-health-care-servi/sent_0001
spans-passthrough-candidates/sent_0001-b208f847	AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-1-risks-to-be-addressed-when-providing-a-health-care-servi/sent_0001
spans-passthrough-candidates/sent_0001-507c97c2	AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0001
spans-passthrough-candidates/sent_0001-4faf8524	AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0001
spans-passthrough-candidates/sent_0001-d0be93ea	AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0001
spans-passthrough-candidates/sent_0002-cfa0ca7e	AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0002
spans-passthrough-candidates/sent_0002-a0474130	AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0002
spans-passthrough-candidates/sent_0002-8f1ae890	AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0002
spans-passthrough-candidates/sent_0002-d426276c	AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0002
spans-passthrough-candidates/sent_0005-a1e140ed	AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0005
spans-passthrough-candidates/sent_0006-ba161111	AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0006
spans-passthrough-candidates/sent_0006-8d8f64a6	AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0006
spans-passthrough-candidates/sent_0007-2b0acd08	AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0007
spans-passthrough-candidates/sent_0007-487b5bbe	AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0007
spans-passthrough-candidates/sent_0009-608d9b45	AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0009
spans-passthrough-candidates/sent_0009-e4187f97	AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0009
spans-passthrough-candidates/sent_0012-9cc44b89	AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0012
spans-passthrough-candidates/sent_0012-7db6447a	AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0012
spans-passthrough-candidates/sent_0013-49481ab7	AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0013
spans-passthrough-candidates/sent_0013-915cf3d1	AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0013
spans-passthrough-candidates/sent_0013-915cf3d1	AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0026
spans-passthrough-candidates/sent_0013-5d67516b	AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0013
spans-passthrough-candidates/sent_0013-a09b5d98	AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0013
spans-passthrough-candidates/sent_0015-39905ecb	AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0015
spans-passthrough-candidates/sent_0018-6ad2ce48	AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0018
spans-passthrough-candidates/sent_0021-95e4a426	AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0021
spans-passthrough-candidates/sent_0021-1b25ba87	AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0021
spans-passthrough-candidates/sent_0022-ec5c8990	AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0022
spans-passthrough-candidates/sent_0022-1b1e333e	AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0022
spans-passthrough-candidates/sent_0024-bcb2dcd1	AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0024
