kept_rule_id	span_id
spans-passthrough-candidates/sent_0001-691446c7	Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0001
spans-passthrough-candidates/sent_0001-d74bfa6b	Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0001
spans-passthrough-candidates/sent_0002-44edf2b4	Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0002
spans-passthrough-candidates/sent_0002-b912908e	Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0002
spans-passthrough-candidates/sent_0003-cdb12948	Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0003
spans-passthrough-candidates/sent_0003-bef2340c	Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0003
spans-passthrough-candidates/sent_0003-f0cea312	Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0003
spans-passthrough-candidates/sent_0003-f2530360	Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0003
spans-passthrough-candidates/sent_0003-d026e6e8	Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0003
spans-passthrough-candidates/sent_0003-1e7a88de	Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0003
spans-passthrough-candidates/sent_0001-b52569e7	Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0001
spans-passthrough-candidates/sent_0001-9bee86b1	Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0001
spans-passthrough-candidates/sent_0001-b10e8489	Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0001
spans-passthrough-candidates/sent_0002-86d22431	Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0002
spans-passthrough-candidates/sent_0002-423b2d26	Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0002
spans-passthrough-candidates/sent_0002-423b2d26	Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0003
