unit_id,span_id,kind,page,section,section_path,text,prev_sentence,next_sentence,window_text,pdf_name,doc_id
1,NIST AI RMF profiles_removed/gv-6-2-003/sent_0001,sentence,1,GV-6.2-003,GV-6.2-003,"GV-6.2-003
Establish incident response plans for third-party GAI technologies: Align incident
response plans with impacts enumerated in MAP 5.1; Communicate third-party
GAI incident response plans to all relevant AI Actors; Define ownership of GAI
incident response functions; Rehearse third-party GAI incident response plans at
a regular cadence; Improve incident response plans based on retrospective
learning; Review incident response plans for alignment with relevant breach
reporting, data protection, data privacy, or other laws.",,"Data Privacy; Human-AI
Configuration; Information
Security; Value Chain and
Component Integration; Harmful
Bias and Homogenization
GV-6.2-004
Establish policies and procedures for continuous monitoring of third-party GAI
systems in deployment.","[TARGET] GV-6.2-003
Establish incident response plans for third-party GAI technologies: Align incident
response plans with impacts enumerated in MAP 5.1; Communicate third-party
GAI incident response plans to all relevant AI Actors; Define ownership of GAI
incident response functions; Rehearse third-party GAI incident response plans at
a regular cadence; Improve incident response plans based on retrospective
learning; Review incident response plans for alignment with relevant breach
reporting, data protection, data privacy, or other laws. [NEXT] Data Privacy; Human-AI
Configuration; Information
Security; Value Chain and
Component Integration; Harmful
Bias and Homogenization
GV-6.2-004
Establish policies and procedures for continuous monitoring of third-party GAI
systems in deployment.",NIST AI RMF profiles_removed,NIST AI RMF profiles_removed
2,NIST AI RMF profiles_removed/gv-6-2-003/sent_0002,sentence,1,GV-6.2-003,GV-6.2-003,"Data Privacy; Human-AI
Configuration; Information
Security; Value Chain and
Component Integration; Harmful
Bias and Homogenization
GV-6.2-004
Establish policies and procedures for continuous monitoring of third-party GAI
systems in deployment.","GV-6.2-003
Establish incident response plans for third-party GAI technologies: Align incident
response plans with impacts enumerated in MAP 5.1; Communicate third-party
GAI incident response plans to all relevant AI Actors; Define ownership of GAI
incident response functions; Rehearse third-party GAI incident response plans at
a regular cadence; Improve incident response plans based on retrospective
learning; Review incident response plans for alignment with relevant breach
reporting, data protection, data privacy, or other laws.","Value Chain and Component
Integration
GV-6.2-005
Establish policies and procedures that address GAI data redundancy, including
model weights and other system artifacts.","[PREV] GV-6.2-003
Establish incident response plans for third-party GAI technologies: Align incident
response plans with impacts enumerated in MAP 5.1; Communicate third-party
GAI incident response plans to all relevant AI Actors; Define ownership of GAI
incident response functions; Rehearse third-party GAI incident response plans at
a regular cadence; Improve incident response plans based on retrospective
learning; Review incident response plans for alignment with relevant breach
reporting, data protection, data privacy, or other laws. [TARGET] Data Privacy; Human-AI
Configuration; Information
Security; Value Chain and
Component Integration; Harmful
Bias and Homogenization
GV-6.2-004
Establish policies and procedures for continuous monitoring of third-party GAI
systems in deployment. [NEXT] Value Chain and Component
Integration
GV-6.2-005
Establish policies and procedures that address GAI data redundancy, including
model weights and other system artifacts.",NIST AI RMF profiles_removed,NIST AI RMF profiles_removed
3,NIST AI RMF profiles_removed/gv-6-2-003/sent_0003,sentence,1,GV-6.2-003,GV-6.2-003,"Value Chain and Component
Integration
GV-6.2-005
Establish policies and procedures that address GAI data redundancy, including
model weights and other system artifacts.","Data Privacy; Human-AI
Configuration; Information
Security; Value Chain and
Component Integration; Harmful
Bias and Homogenization
GV-6.2-004
Establish policies and procedures for continuous monitoring of third-party GAI
systems in deployment.","Harmful Bias and Homogenization
GV-6.2-006
Establish policies and procedures to test and manage risks related to rollover and
fallback technologies for GAI systems, acknowledging that rollover and fallback
may include manual processing.","[PREV] Data Privacy; Human-AI
Configuration; Information
Security; Value Chain and
Component Integration; Harmful
Bias and Homogenization
GV-6.2-004
Establish policies and procedures for continuous monitoring of third-party GAI
systems in deployment. [TARGET] Value Chain and Component
Integration
GV-6.2-005
Establish policies and procedures that address GAI data redundancy, including
model weights and other system artifacts. [NEXT] Harmful Bias and Homogenization
GV-6.2-006
Establish policies and procedures to test and manage risks related to rollover and
fallback technologies for GAI systems, acknowledging that rollover and fallback
may include manual processing.",NIST AI RMF profiles_removed,NIST AI RMF profiles_removed
4,NIST AI RMF profiles_removed/gv-6-2-003/sent_0004,sentence,1,GV-6.2-003,GV-6.2-003,"Harmful Bias and Homogenization
GV-6.2-006
Establish policies and procedures to test and manage risks related to rollover and
fallback technologies for GAI systems, acknowledging that rollover and fallback
may include manual processing.","Value Chain and Component
Integration
GV-6.2-005
Establish policies and procedures that address GAI data redundancy, including
model weights and other system artifacts.","Information Integrity
GV-6.2-007
Review vendor contracts and avoid arbitrary or capricious termination of critical
GAI technologies or vendor services and non-standard terms that may amplify or
defer liability in unexpected ways and/or contribute to unauthorized data
collection by vendors or third-parties (e.g., secondary data use).","[PREV] Value Chain and Component
Integration
GV-6.2-005
Establish policies and procedures that address GAI data redundancy, including
model weights and other system artifacts. [TARGET] Harmful Bias and Homogenization
GV-6.2-006
Establish policies and procedures to test and manage risks related to rollover and
fallback technologies for GAI systems, acknowledging that rollover and fallback
may include manual processing. [NEXT] Information Integrity
GV-6.2-007
Review vendor contracts and avoid arbitrary or capricious termination of critical
GAI technologies or vendor services and non-standard terms that may amplify or
defer liability in unexpected ways and/or contribute to unauthorized data
collection by vendors or third-parties (e.g., secondary data use).",NIST AI RMF profiles_removed,NIST AI RMF profiles_removed
5,NIST AI RMF profiles_removed/gv-6-2-003/sent_0005,sentence,1,GV-6.2-003,GV-6.2-003,"Information Integrity
GV-6.2-007
Review vendor contracts and avoid arbitrary or capricious termination of critical
GAI technologies or vendor services and non-standard terms that may amplify or
defer liability in unexpected ways and/or contribute to unauthorized data
collection by vendors or third-parties (e.g., secondary data use).","Harmful Bias and Homogenization
GV-6.2-006
Establish policies and procedures to test and manage risks related to rollover and
fallback technologies for GAI systems, acknowledging that rollover and fallback
may include manual processing.","Consider: Clear
assignment of liability and responsibility for incidents, GAI system changes over
time (e.g., fine-tuning, drift, decay); Request: Notification and disclosure for
serious incidents arising from third-party data and systems; Service Level
Agreements (SLAs) in vendor contracts that address incident response, response
times, and availability of critical support.","[PREV] Harmful Bias and Homogenization
GV-6.2-006
Establish policies and procedures to test and manage risks related to rollover and
fallback technologies for GAI systems, acknowledging that rollover and fallback
may include manual processing. [TARGET] Information Integrity
GV-6.2-007
Review vendor contracts and avoid arbitrary or capricious termination of critical
GAI technologies or vendor services and non-standard terms that may amplify or
defer liability in unexpected ways and/or contribute to unauthorized data
collection by vendors or third-parties (e.g., secondary data use). [NEXT] Consider: Clear
assignment of liability and responsibility for incidents, GAI system changes over
time (e.g., fine-tuning, drift, decay); Request: Notification and disclosure for
serious incidents arising from third-party data and systems; Service Level
Agreements (SLAs) in vendor contracts that address incident response, response
times, and availability of critical support.",NIST AI RMF profiles_removed,NIST AI RMF profiles_removed
6,NIST AI RMF profiles_removed/gv-6-2-003/sent_0006,sentence,1,GV-6.2-003,GV-6.2-003,"Consider: Clear
assignment of liability and responsibility for incidents, GAI system changes over
time (e.g., fine-tuning, drift, decay); Request: Notification and disclosure for
serious incidents arising from third-party data and systems; Service Level
Agreements (SLAs) in vendor contracts that address incident response, response
times, and availability of critical support.","Information Integrity
GV-6.2-007
Review vendor contracts and avoid arbitrary or capricious termination of critical
GAI technologies or vendor services and non-standard terms that may amplify or
defer liability in unexpected ways and/or contribute to unauthorized data
collection by vendors or third-parties (e.g., secondary data use).","Human-AI Configuration;
Information Security; Value Chain
and Component Integration
AI Actor Tasks: AI Deployment, Operation and Monitoring, TEVV, Third-party entities
MAP 1.1: Intended purposes, potentially beneficial uses, context specific laws, norms and expectations, and prospective settings in
which the AI system will be deployed are understood and documented.","[PREV] Information Integrity
GV-6.2-007
Review vendor contracts and avoid arbitrary or capricious termination of critical
GAI technologies or vendor services and non-standard terms that may amplify or
defer liability in unexpected ways and/or contribute to unauthorized data
collection by vendors or third-parties (e.g., secondary data use). [TARGET] Consider: Clear
assignment of liability and responsibility for incidents, GAI system changes over
time (e.g., fine-tuning, drift, decay); Request: Notification and disclosure for
serious incidents arising from third-party data and systems; Service Level
Agreements (SLAs) in vendor contracts that address incident response, response
times, and availability of critical support. [NEXT] Human-AI Configuration;
Information Security; Value Chain
and Component Integration
AI Actor Tasks: AI Deployment, Operation and Monitoring, TEVV, Third-party entities
MAP 1.1: Intended purposes, potentially beneficial uses, context specific laws, norms and expectations, and prospective settings in
which the AI system will be deployed are understood and documented.",NIST AI RMF profiles_removed,NIST AI RMF profiles_removed
7,NIST AI RMF profiles_removed/gv-6-2-003/sent_0007,sentence,1,GV-6.2-003,GV-6.2-003,"Human-AI Configuration;
Information Security; Value Chain
and Component Integration
AI Actor Tasks: AI Deployment, Operation and Monitoring, TEVV, Third-party entities
MAP 1.1: Intended purposes, potentially beneficial uses, context specific laws, norms and expectations, and prospective settings in
which the AI system will be deployed are understood and documented.","Consider: Clear
assignment of liability and responsibility for incidents, GAI system changes over
time (e.g., fine-tuning, drift, decay); Request: Notification and disclosure for
serious incidents arising from third-party data and systems; Service Level
Agreements (SLAs) in vendor contracts that address incident response, response
times, and availability of critical support.","Considerations include: the specific set or types of users
along with their expectations; potential positive and negative impacts of system uses to individuals, communities, organizations,
society, and the planet; assumptions and related limitations about AI system purposes, uses, and risks across the development or
product AI lifecycle; and related TEVV and system metrics.","[PREV] Consider: Clear
assignment of liability and responsibility for incidents, GAI system changes over
time (e.g., fine-tuning, drift, decay); Request: Notification and disclosure for
serious incidents arising from third-party data and systems; Service Level
Agreements (SLAs) in vendor contracts that address incident response, response
times, and availability of critical support. [TARGET] Human-AI Configuration;
Information Security; Value Chain
and Component Integration
AI Actor Tasks: AI Deployment, Operation and Monitoring, TEVV, Third-party entities
MAP 1.1: Intended purposes, potentially beneficial uses, context specific laws, norms and expectations, and prospective settings in
which the AI system will be deployed are understood and documented. [NEXT] Considerations include: the specific set or types of users
along with their expectations; potential positive and negative impacts of system uses to individuals, communities, organizations,
society, and the planet; assumptions and related limitations about AI system purposes, uses, and risks across the development or
product AI lifecycle; and related TEVV and system metrics.",NIST AI RMF profiles_removed,NIST AI RMF profiles_removed
8,NIST AI RMF profiles_removed/gv-6-2-003/sent_0008,sentence,1,GV-6.2-003,GV-6.2-003,"Considerations include: the specific set or types of users
along with their expectations; potential positive and negative impacts of system uses to individuals, communities, organizations,
society, and the planet; assumptions and related limitations about AI system purposes, uses, and risks across the development or
product AI lifecycle; and related TEVV and system metrics.","Human-AI Configuration;
Information Security; Value Chain
and Component Integration
AI Actor Tasks: AI Deployment, Operation and Monitoring, TEVV, Third-party entities
MAP 1.1: Intended purposes, potentially beneficial uses, context specific laws, norms and expectations, and prospective settings in
which the AI system will be deployed are understood and documented.","Action ID
Suggested Action
GAI Risks
MP-1.1-001
When identifying intended purposes, consider factors such as internal vs.
external use, narrow vs. broad application scope, fine-tuning, and varieties of
data sources (e.g., grounding, retrieval-augmented generation).","[PREV] Human-AI Configuration;
Information Security; Value Chain
and Component Integration
AI Actor Tasks: AI Deployment, Operation and Monitoring, TEVV, Third-party entities
MAP 1.1: Intended purposes, potentially beneficial uses, context specific laws, norms and expectations, and prospective settings in
which the AI system will be deployed are understood and documented. [TARGET] Considerations include: the specific set or types of users
along with their expectations; potential positive and negative impacts of system uses to individuals, communities, organizations,
society, and the planet; assumptions and related limitations about AI system purposes, uses, and risks across the development or
product AI lifecycle; and related TEVV and system metrics. [NEXT] Action ID
Suggested Action
GAI Risks
MP-1.1-001
When identifying intended purposes, consider factors such as internal vs.
external use, narrow vs. broad application scope, fine-tuning, and varieties of
data sources (e.g., grounding, retrieval-augmented generation).",NIST AI RMF profiles_removed,NIST AI RMF profiles_removed
9,NIST AI RMF profiles_removed/gv-6-2-003/sent_0009,sentence,1,GV-6.2-003,GV-6.2-003,"Action ID
Suggested Action
GAI Risks
MP-1.1-001
When identifying intended purposes, consider factors such as internal vs.
external use, narrow vs. broad application scope, fine-tuning, and varieties of
data sources (e.g., grounding, retrieval-augmented generation).","Considerations include: the specific set or types of users
along with their expectations; potential positive and negative impacts of system uses to individuals, communities, organizations,
society, and the planet; assumptions and related limitations about AI system purposes, uses, and risks across the development or
product AI lifecycle; and related TEVV and system metrics.","Data Privacy; Intellectual
Property","[PREV] Considerations include: the specific set or types of users
along with their expectations; potential positive and negative impacts of system uses to individuals, communities, organizations,
society, and the planet; assumptions and related limitations about AI system purposes, uses, and risks across the development or
product AI lifecycle; and related TEVV and system metrics. [TARGET] Action ID
Suggested Action
GAI Risks
MP-1.1-001
When identifying intended purposes, consider factors such as internal vs.
external use, narrow vs. broad application scope, fine-tuning, and varieties of
data sources (e.g., grounding, retrieval-augmented generation). [NEXT] Data Privacy; Intellectual
Property",NIST AI RMF profiles_removed,NIST AI RMF profiles_removed
10,NIST AI RMF profiles_removed/gv-6-2-003/sent_0010,sentence,1,GV-6.2-003,GV-6.2-003,"Data Privacy; Intellectual
Property","Action ID
Suggested Action
GAI Risks
MP-1.1-001
When identifying intended purposes, consider factors such as internal vs.
external use, narrow vs. broad application scope, fine-tuning, and varieties of
data sources (e.g., grounding, retrieval-augmented generation).",,"[PREV] Action ID
Suggested Action
GAI Risks
MP-1.1-001
When identifying intended purposes, consider factors such as internal vs.
external use, narrow vs. broad application scope, fine-tuning, and varieties of
data sources (e.g., grounding, retrieval-augmented generation). [TARGET] Data Privacy; Intellectual
Property",NIST AI RMF profiles_removed,NIST AI RMF profiles_removed
