sim	a_rule_id	a_req	b_rule_id	b_req
0.9766	spans-passthrough-candidates/sent_0002-63567c6c	The org shall define processes for operator and practitioner proficiency with AI system performance and trustworthiness and relevant technical standards and certifications.	spans-passthrough-candidates/sent_0002-48dd95a6	The org shall assess processes for operator and practitioner proficiency with AI system performance and trustworthiness and relevant technical standards and certifications.
0.9384	spans-passthrough-candidates/sent_0001-72f53a02	org shall determine and document the expected and acceptable GAI system context of use by assessing the intended operational environment and observed usage patterns.	spans-passthrough-candidates/sent_0001-5e265f65	org shall determine and document the expected and acceptable GAI system context of use by assessing potential positive and negative impacts to individuals, groups, communities, organizations, democratic institutions, and the physical environment, and by assessing social norms and expectations.
0.9237	spans-passthrough-candidates/sent_0002-63567c6c	The org shall define processes for operator and practitioner proficiency with AI system performance and trustworthiness and relevant technical standards and certifications.	spans-passthrough-candidates/sent_0002-5be58b63	The org shall document processes for operator and practitioner proficiency with AI system performance and trustworthiness and relevant technical standards and certifications.
0.9062	spans-passthrough-candidates/sent_0001-9b4d9fac	org shall plan regular engagements with AI Actors responsible for inputs to GAI systems, including third-party data and algorithms, to review and evaluate unanticipated impacts.	spans-passthrough-candidates/sent_0001-c118122e	org shall have practices and personnel in place and documented to support regular engagement with relevant AI Actors and to integrate feedback about positive, negative, and unanticipated impacts.
0.8890	spans-passthrough-candidates/sent_0001-2fd0e6c6	org shall apply established security measures to evaluate and document the likelihood and magnitude of backdoors in the AI system.	spans-passthrough-candidates/sent_0001-66738576	org shall apply established security measures to evaluate and document the likelihood and magnitude of reverse engineering risks to the AI system.
0.8841	spans-passthrough-candidates/sent_0001-3645f143	developer shall conduct appropriate diligence on training data use to assess privacy risks.	spans-passthrough-candidates/sent_0001-a3b24147	developer shall conduct appropriate diligence on training data use to assess intellectual property risks.
0.8837	spans-passthrough-candidates/sent_0001-3645f143	developer shall conduct appropriate diligence on training data use to assess privacy risks.	spans-passthrough-candidates/sent_0001-df426f0f	developer shall examine whether use of proprietary or sensitive training data is consistent with applicable laws.
0.8800	spans-passthrough-candidates/sent_0001-9f7b1d37	org shall determine and document the expected and acceptable GAI system context of use by assessing assumptions and limitations.	spans-passthrough-candidates/sent_0001-72f53a02	org shall determine and document the expected and acceptable GAI system context of use by assessing the intended operational environment and observed usage patterns.
0.8793	spans-passthrough-candidates/sent_0001-9f7b1d37	org shall determine and document the expected and acceptable GAI system context of use by assessing assumptions and limitations.	spans-passthrough-candidates/sent_0001-5e265f65	org shall determine and document the expected and acceptable GAI system context of use by assessing potential positive and negative impacts to individuals, groups, communities, organizations, democratic institutions, and the physical environment, and by assessing social norms and expectations.
0.8764	spans-passthrough-candidates/sent_0002-e40e2cd9	developer shall assess existence or levels of dangerous, violent, or hateful content in system training data.	spans-passthrough-candidates/sent_0002-450c05f6	developer shall assess existence or levels of extremism in system training data.
0.8722	spans-passthrough-candidates/sent_0001-6595d05f	org shall apply established security measures to evaluate and document the likelihood and magnitude of compromised dependencies affecting the AI system.	spans-passthrough-candidates/sent_0001-0ba05875	org shall apply established security measures to evaluate and document the likelihood and magnitude of data breaches related to the AI system.
0.8709	spans-passthrough-candidates/sent_0001-faa32460	org shall determine context-based measures to identify whether new impacts are present due to the GAI system, including regular engagements with downstream AI Actors to identify and quantify new contexts of unanticipated impacts of GAI systems.	spans-passthrough-candidates/sent_0001-9b4d9fac	org shall plan regular engagements with AI Actors responsible for inputs to GAI systems, including third-party data and algorithms, to review and evaluate unanticipated impacts.
0.8701	spans-passthrough-candidates/sent_0001-2fd0e6c6	org shall apply established security measures to evaluate and document the likelihood and magnitude of backdoors in the AI system.	spans-passthrough-candidates/sent_0001-0ba05875	org shall apply established security measures to evaluate and document the likelihood and magnitude of data breaches related to the AI system.
