k,span_id,score,tp,fp,precision,recall
0,,1.0,0,0,1.0,0.0
1,EU_AI_2024_removed/v-when-appropriate-its-performance-regarding-specific-person/sent_0002,0.5926779313876087,1,0,1.0,0.05
2,EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0002,0.5903363133248191,2,0,1.0,0.1
3,EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0001,0.5687830687830687,3,0,1.0,0.15
4,EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0003,0.5678286129266522,4,0,1.0,0.2
5,EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0004,0.5282407407407407,5,0,1.0,0.25
6,EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0001,0.5119047619047619,6,0,1.0,0.3
7,EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0002,0.4993894993894994,7,0,1.0,0.35
8,EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0002,0.49135802469135803,8,0,1.0,0.4
9,EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0004,0.455458089668616,9,0,1.0,0.45
10,EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0001,0.45185185185185184,10,0,1.0,0.5
11,EU_AI_2024_removed/the-output-of-the-high-risk-ai-system/sent_0003,0.43658810325476993,11,0,1.0,0.55
12,EU_AI_2024_removed/the-output-of-the-high-risk-ai-system/sent_0004,0.42962962962962964,12,0,1.0,0.6
13,EU_AI_2024_removed/article-12/sent_0003,0.41302681992337165,13,0,1.0,0.65
14,EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0003,0.40939153439153436,14,0,1.0,0.7
15,EU_AI_2024_removed/article-12/sent_0001,0.3757343550446999,15,0,1.0,0.75
16,EU_AI_2024_removed/the-output-of-the-high-risk-ai-system/sent_0002,0.363600159299084,16,0,1.0,0.8
17,EU_AI_2024_removed/the-output-of-the-high-risk-ai-system/sent_0001,0.289021164021164,17,0,1.0,0.85
18,EU_AI_2024_removed/article-12/sent_0002,0.2329749103942652,18,0,1.0,0.9
19,EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0003,0.18827160493827164,19,0,1.0,0.95
20,EU_AI_2024_removed/v-when-appropriate-its-performance-regarding-specific-person/sent_0001,0.11986792994544933,20,0,1.0,1.0
