kept_rule_id	span_id
spans-passthrough-candidates/sent_0001-051aaad4	EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0001
spans-passthrough-candidates/sent_0002-a268b98f	EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0002
spans-passthrough-candidates/sent_0002-3dae10ef	EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0002
spans-passthrough-candidates/sent_0002-80abef72	EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0002
spans-passthrough-candidates/sent_0002-804c7472	EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0002
spans-passthrough-candidates/sent_0002-eaff12b3	EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0002
spans-passthrough-candidates/sent_0002-628411df	EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0002
spans-passthrough-candidates/sent_0003-a5a06e22	EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0003
spans-passthrough-candidates/sent_0003-ae8457c4	EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0003
spans-passthrough-candidates/sent_0003-4a62316d	EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0003
spans-passthrough-candidates/sent_0003-53980801	EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0003
spans-passthrough-candidates/sent_0003-0c187feb	EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0003
spans-passthrough-candidates/sent_0001-f1369e50	EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0001
spans-passthrough-candidates/sent_0001-7f538651	EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0001
spans-passthrough-candidates/sent_0001-bce9c4a4	EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0001
spans-passthrough-candidates/sent_0002-c3c4502f	EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0002
spans-passthrough-candidates/sent_0002-6672d222	EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0002
spans-passthrough-candidates/sent_0002-2c8a99ba	EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0002
spans-passthrough-candidates/sent_0003-ab8dbddd	EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0003
spans-passthrough-candidates/sent_0003-91e2f015	EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0003
spans-passthrough-candidates/sent_0003-8a606923	EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0003
spans-passthrough-candidates/sent_0003-f73b67aa	EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0003
spans-passthrough-candidates/sent_0003-b9f66e60	EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0003
spans-passthrough-candidates/sent_0004-3a4ed50b	EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0004
spans-passthrough-candidates/sent_0004-a6efd9aa	EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0004
spans-passthrough-candidates/sent_0004-5e1310c7	EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0004
spans-passthrough-candidates/sent_0004-96fcaf11	EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0004
spans-passthrough-candidates/sent_0001-dee2ed0a	EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0001
spans-passthrough-candidates/sent_0001-21092f78	EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0001
spans-passthrough-candidates/sent_0001-a6f3bfb3	EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0001
spans-passthrough-candidates/sent_0001-a96e10da	EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0001
spans-passthrough-candidates/sent_0001-5009f171	EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0001
spans-passthrough-candidates/sent_0001-1a0f996c	EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0001
spans-passthrough-candidates/sent_0002-70fcc1c4	EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0002
spans-passthrough-candidates/sent_0002-d347da61	EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0002
spans-passthrough-candidates/sent_0002-7bdce7d4	EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0002
spans-passthrough-candidates/sent_0002-20b14c55	EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0002
spans-passthrough-candidates/sent_0002-7a1c5032	EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0002
spans-passthrough-candidates/sent_0003-40273bea	EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0003
spans-passthrough-candidates/sent_0004-00b5e218	EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0004
spans-passthrough-candidates/sent_0004-fa6727d1	EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0004
spans-passthrough-candidates/sent_0004-0a450dce	EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0004
spans-passthrough-candidates/sent_0001-7842af30	EU_AI_2024_removed/article-12/sent_0001
spans-passthrough-candidates/sent_0001-90cfcdf6	EU_AI_2024_removed/article-12/sent_0001
spans-passthrough-candidates/sent_0001-e99b1d0b	EU_AI_2024_removed/article-12/sent_0001
spans-passthrough-candidates/sent_0001-d0ef4098	EU_AI_2024_removed/article-12/sent_0001
spans-passthrough-candidates/sent_0001-4c3518c1	EU_AI_2024_removed/article-12/sent_0001
spans-passthrough-candidates/sent_0001-d8be5371	EU_AI_2024_removed/article-12/sent_0001
spans-passthrough-candidates/sent_0002-cf840997	EU_AI_2024_removed/article-12/sent_0002
spans-passthrough-candidates/sent_0002-0bbc9c00	EU_AI_2024_removed/article-12/sent_0002
spans-passthrough-candidates/sent_0002-9b0fc191	EU_AI_2024_removed/article-12/sent_0002
spans-passthrough-candidates/sent_0002-736fe5b2	EU_AI_2024_removed/article-12/sent_0002
spans-passthrough-candidates/sent_0003-06307431	EU_AI_2024_removed/article-12/sent_0003
spans-passthrough-candidates/sent_0003-eb988cf7	EU_AI_2024_removed/article-12/sent_0003
spans-passthrough-candidates/sent_0003-a1e56648	EU_AI_2024_removed/article-12/sent_0003
spans-passthrough-candidates/sent_0003-38c3babc	EU_AI_2024_removed/article-12/sent_0003
spans-passthrough-candidates/sent_0003-867b1373	EU_AI_2024_removed/article-12/sent_0003
spans-passthrough-candidates/sent_0001-27cd0659	EU_AI_2024_removed/v-when-appropriate-its-performance-regarding-specific-person/sent_0001
spans-passthrough-candidates/sent_0001-767fa926	EU_AI_2024_removed/v-when-appropriate-its-performance-regarding-specific-person/sent_0001
spans-passthrough-candidates/sent_0001-6f6dffba	EU_AI_2024_removed/v-when-appropriate-its-performance-regarding-specific-person/sent_0001
spans-passthrough-candidates/sent_0001-84898e86	EU_AI_2024_removed/v-when-appropriate-its-performance-regarding-specific-person/sent_0001
spans-passthrough-candidates/sent_0002-595e20d3	EU_AI_2024_removed/v-when-appropriate-its-performance-regarding-specific-person/sent_0002
