sim	a_rule_id	a_req	b_rule_id	b_req
0.9983	spans-passthrough-candidates/sent_0002-1fe261af	org shall evaluate all data sets to assess inclusiveness of identified demographic groups.	spans-passthrough-candidates/sent_0002-95ca4e08	org shall evaluate all data sets to assess inclusiveness of identified demographic groups.
0.9967	spans-passthrough-candidates/sent_0002-2b309523	org shall document the prioritized identified demographic groups using the Impact Assessment template.	spans-passthrough-candidates/sent_0002-dc582368	org shall document the prioritized identified demographic groups using the Impact Assessment template.
0.9746	spans-passthrough-candidates/sent_0005-e9667c62	org shall consult with its attorney to determine its approach to this.	spans-passthrough-candidates/sent_0005-96b5c60b	org consult with its attorney to determine its approach to this.
0.9729	spans-passthrough-candidates/sent_0003-d026e6e8	org shall update the Impact Assessment.	spans-passthrough-candidates/sent_0003-1e7a88de	org shall review the Impact Assessment.
0.9714	spans-passthrough-candidates/sent_0005-75f30380	developer shall follow the Guidelines for Human-AI Interaction when designing the system.	spans-passthrough-candidates/sent_0004-9dc0b88b	developer shall follow the Guidelines for Human-AI Interaction when designing the system.
0.9704	spans-passthrough-candidates/sent_0005-a01a1bd5	org shall develop a plan detailing how the gap will be managed until it can be closed.	spans-passthrough-candidates/sent_0005-a3451e5b	org shall develop a plan detailing how the gap will be managed until it can be closed.
0.9703	spans-passthrough-candidates/sent_0001-ac3114d8	Org shall identify the stakeholders who will use the outputs of the system to make decisions.	spans-passthrough-candidates/sent_0001-d7091beb	Org shall identify the stakeholders who are subject to decisions informed by the system.
0.9675	spans-passthrough-candidates/sent_0003-cdb12948	org shall update the Impact Assessment.	spans-passthrough-candidates/sent_0003-bef2340c	org shall review the Impact Assessment.
0.9642	spans-passthrough-candidates/sent_0005-eb783cfc	org shall consult with the reviewers named in the Impact Assessment.	spans-passthrough-candidates/sent_0005-801df192	org shall consult with the reviewers named in the Impact Assessment.
0.9608	spans-passthrough-candidates/sent_0003-f0cea312	org shall update the Impact Assessment.	spans-passthrough-candidates/sent_0003-f2530360	org shall review the Impact Assessment.
0.9593	spans-passthrough-candidates/sent_0006-5a483d10	The developer shall identify and document any justifiable factors (e.g., "background noise" for speech recognition systems or "image resolution" for facial recognition systems) that account for any inability to meet any target minimum performance level for any identified demographic group.	spans-passthrough-candidates/sent_0006-570502aa	The developer shall identify and document any justifiable factors (e.g., "background noise" for speech recognition systems or "image resolution" for facial recognition systems) that account for any remaining performance differences between identified demographic groups.
0.9577	spans-passthrough-candidates/sent_0004-ce3984f7	The developer shall reassess the system design, including the choice of training data, features, objective function, and training algorithm, to improve performance for any identified demographic group that does not meet any target minimum performance level.	spans-passthrough-candidates/sent_0004-7f27002a	The developer shall reassess the system design, including the choice of training data, features, objective function, and training algorithm, to minimize performance differences between identified demographic groups and pay particular attention to groups that exceed the target maximum.
0.9570	spans-passthrough-candidates/sent_0005-8d49bee6	org shall consult with the Office of Responsible AI.	spans-passthrough-candidates/sent_0005-7e2dd5f3	org shall consult with the Office of Responsible AI in the case of Sensitive Uses.
0.9537	spans-passthrough-candidates/sent_0007-47cee91b	Provider shall publish information for customers about any remaining differences between the rates at which resources and opportunities are allocated to identified demographic groups.	spans-passthrough-candidates/sent_0007-be33857f	Provider shall publish information for customers about any justifiable factors that account for differences in allocation rates between identified demographic groups.
0.9519	spans-passthrough-candidates/sent_0005-a01a1bd5	org shall develop a plan detailing how the gap will be managed until it can be closed.	spans-passthrough-candidates/sent_0005-9a129fab	org shall document the plan for how the gap will be managed until it can be closed.
0.9515	spans-passthrough-candidates/sent_0001-caa40d84	developer shall identify demographic groups, including marginalized groups, that may be at risk of experiencing worse quality of service.	spans-passthrough-candidates/sent_0001-0c84d4a8	developer shall prioritize the demographic groups identified as being at risk of experiencing worse quality of service.
0.9510	spans-passthrough-candidates/sent_0002-969eb78b	org shall document the evaluation and data collection process and its results.	spans-passthrough-candidates/sent_0002-ee94cd1d	org shall document the evaluation and data collection process and its results in the Impact Assessment.
0.9467	spans-passthrough-candidates/sent_0001-c16ae6bc	Developer shall identify and prioritize demographic groups, including marginalized groups, that may be at risk of being subject to stereotyping, demeaning, or erasing outputs of the system.	spans-passthrough-candidates/sent_0001-71939da4	Developer shall include groups defined by a combination of factors in the identification and prioritization of demographic groups at risk of stereotyping, demeaning, or erasing outputs.
0.9403	spans-passthrough-candidates/sent_0005-f9c33126	org shall revise documentation related to the intended use.	spans-passthrough-candidates/sent_0005-d028bc2b	org shall publish the revised documentation to customers.
0.9376	spans-passthrough-candidates/sent_0002-2cf034f8	developer shall define and document the model's proposed inputs and how well they represent the concepts they are intended to represent, including an analysis of the limitations of this representation.	spans-passthrough-candidates/sent_0002-b145d819	developer shall define and document the model's proposed output and how well it represents the concept it is intended to represent, including analysis of the limitations of this representation.
0.9375	spans-passthrough-candidates/sent_0002-381d4f30	developer shall determine the operational factors, including quality of system input, use, and operational context, that are critical to manage for reliable and safe use of the system in its deployed context.	spans-passthrough-candidates/sent_0002-62811c6e	developer shall document the operational factors determined, including quality of system input, use, and operational context, that are critical to manage for reliable and safe use in its deployed context.
0.9374	spans-passthrough-candidates/sent_0002-490820ce	Publish documentation for the system that enables stakeholders defined in T2.1 to understand the system.	spans-passthrough-candidates/sent_0002-42c2fa2b	Publish documentation that includes the system's capabilities.
0.9369	spans-passthrough-candidates/sent_0003-c5bd6cdc	org shall review and update documentation.	spans-passthrough-candidates/sent_0003-63c7c019	org shall review and update documentation.
0.9363	spans-passthrough-candidates/sent_0003-c53bd0b8	The org shall provide training and documentation for stakeholders accountable for system oversight.	spans-passthrough-candidates/sent_0003-8adbbf06	The org shall describe the documentation and training provided for those stakeholders.
