span_id,has_prediction,chosen_rule_id,macro_f1,test_correct,hazard_exact,scope.actor_exact,scope.domain_exact,scope.context_exact,conditions_exact,exceptions_exact,requirements_exact,evidence_exact,evidence_signals_exact,hazard_f1,scope.actor_f1,scope.domain_f1,scope.context_f1,conditions_f1,exceptions_f1,requirements_f1,evidence_f1,evidence_signals_f1
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0003,True,spans-passthrough-candidates/sent_0003-b146f634,0.2984126984126984,True,True,True,False,False,False,False,False,False,False,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.0,0.286
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0005,True,spans-passthrough-candidates/sent_0005-d5235543,0.3414462081128748,True,False,True,False,False,False,True,True,False,True,0.111,1.0,0.0,0.0,0.0,0.6,0.762,0.0,0.6
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0006,True,spans-passthrough-candidates/sent_0006-6d40e858,0.6030501089324618,True,False,True,False,False,True,False,True,True,True,0.333,1.0,0.0,0.0,1.0,0.294,1.0,1.0,0.8
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0008,False,,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0010,True,spans-passthrough-candidates/sent_0010-ad9026de,0.4493827160493827,True,False,True,False,False,False,True,False,True,False,0.1,1.0,0.0,0.0,0.167,1.0,0.444,1.0,0.333
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0011,False,,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0012,False,,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0013,False,,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0014,False,,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0015,False,,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0016,True,spans-passthrough-candidates/sent_0016-f8bbb280,0.20326797385620915,True,True,False,False,False,False,False,False,True,False,0.6,0.0,0.0,0.0,0.0,0.0,0.029,1.0,0.2
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0017,True,spans-passthrough-candidates/sent_0017-e331793c,0.37457912457912457,True,False,True,False,False,False,True,False,False,False,0.167,1.0,0.0,0.0,0.0,1.0,0.455,0.5,0.25
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0018,True,spans-passthrough-candidates/sent_0018-ddf8d4f1,0.41820987654320985,True,True,False,False,False,False,True,True,True,False,0.6,0.0,0.0,0.0,0.0,0.875,0.889,1.0,0.4
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0019,True,spans-passthrough-candidates/sent_0019-f6fd0fc3,0.18306878306878308,True,False,False,False,False,False,False,False,True,False,0.0,0.0,0.0,0.0,0.167,0.0,0.314,1.0,0.167
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0020,False,,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0021,False,,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0022,True,spans-passthrough-candidates/sent_0022-98f7a27d,0.38431372549019605,True,False,True,False,False,False,True,False,True,False,0.0,1.0,0.0,0.0,0.0,1.0,0.059,1.0,0.4
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0023,True,spans-passthrough-candidates/sent_0023-988963dc,0.3659423365305718,True,False,False,False,False,False,True,False,False,True,0.143,0.0,0.0,0.0,0.455,1.0,0.529,0.5,0.667
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0003,True,spans-passthrough-candidates/sent_0003-2e3299be,0.24747474747474746,True,False,True,False,False,False,True,False,False,False,0.0,1.0,0.0,0.0,0.0,1.0,0.061,0.0,0.167
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0004,True,spans-passthrough-candidates/sent_0004-b02707f4,0.3817460317460317,True,True,True,False,False,False,False,False,True,False,0.75,1.0,0.0,0.0,0.0,0.0,0.286,1.0,0.4
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0005,True,spans-passthrough-candidates/sent_0005-c0d0e2ac,0.4594202898550725,True,False,True,False,False,False,True,False,True,False,0.3,1.0,0.0,0.0,0.0,1.0,0.435,1.0,0.4
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0007,True,spans-passthrough-candidates/sent_0007-771e5364,0.2131578947368421,True,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.3,1.0,0.368,0.0,0.25
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0008,True,spans-passthrough-candidates/sent_0008-27921b7d,0.255050505050505,True,True,False,False,False,False,True,False,False,False,0.75,0.0,0.0,0.0,0.167,1.0,0.045,0.0,0.333
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0010,True,spans-passthrough-candidates/sent_0010-cbac0bc3,0.5559163059163059,True,False,True,False,False,True,True,False,True,False,0.182,1.0,0.0,0.0,1.0,1.0,0.571,1.0,0.25
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0011,True,spans-passthrough-candidates/sent_0011-fad11f64,0.28148148148148144,True,False,False,False,False,False,True,True,False,True,0.0,0.0,0.0,0.0,0.2,1.0,0.667,0.0,0.667
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0012,True,spans-passthrough-candidates/sent_0012-a30d662a,0.5243055555555556,True,False,True,False,False,True,True,False,True,False,0.125,1.0,0.0,0.0,1.0,1.0,0.094,1.0,0.5
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0013,True,spans-passthrough-candidates/sent_0013-66b88db7,0.11460195828011918,True,False,False,False,False,False,False,False,False,False,0.333,0.0,0.0,0.0,0.222,0.0,0.276,0.0,0.2
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-508-uses-and-disclosures-for-which-an-authorization-is-r/sent_0002,True,spans-passthrough-candidates/sent_0002-0ba7fbe7,0.4166666666666667,True,True,False,False,False,True,True,False,False,False,1.0,0.0,0.0,0.0,0.75,1.0,0.5,0.0,0.5
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-508-uses-and-disclosures-for-which-an-authorization-is-r/sent_0004,True,spans-passthrough-candidates/sent_0004-9179a011,0.34615384615384615,True,False,False,False,False,True,True,True,False,False,0.5,0.0,0.0,0.0,0.6,1.0,0.615,0.0,0.4
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-508-uses-and-disclosures-for-which-an-authorization-is-r/sent_0005,True,spans-passthrough-candidates/sent_0005-1e4b41dd,0.19299835966502632,True,False,False,False,False,False,False,True,False,False,0.111,0.0,0.0,0.0,0.0,0.308,0.818,0.0,0.5
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-508-uses-and-disclosures-for-which-an-authorization-is-r/sent_0006,True,spans-passthrough-candidates/sent_0006-4c4700fd,0.2697530864197531,True,False,False,False,False,False,True,False,False,False,0.111,0.0,0.0,0.0,0.167,1.0,0.4,0.5,0.25
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-508-uses-and-disclosures-for-which-an-authorization-is-r/sent_0009,False,,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
