span_id,text,scope.actor,scope.domain,scope.context,hazard,requirement,exceptions,conditions,is_testable,evidence_signals,evidence,rule_id
Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0001,"Microsoft Responsible AI Standard v2
4
Accountability Goals
Goal A1: Impact assessment
Microsoft AI systems are assessed using Impact Assessments. Applies to: All AI systems. Requirements
A1.1 Assess the impact of the system on people, organizations, and society by completing an Impact Assessment
early in the system's development, typically when defining the product vision and requirements. Document the
effort using the Impact Assessment template provided by the Office of Responsible AI.",org,null,dev,unassessed societal impact,"The org shall assess the impact of the AI system on people, organizations, and society by completing an Impact Assessment.",null,early in the system's development,TRUE,attest_check; repo_check,Impact Assessment,1
Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0001,"Microsoft Responsible AI Standard v2
4
Accountability Goals
Goal A1: Impact assessment
Microsoft AI systems are assessed using Impact Assessments. Applies to: All AI systems. Requirements
A1.1 Assess the impact of the system on people, organizations, and society by completing an Impact Assessment
early in the system's development, typically when defining the product vision and requirements. Document the
effort using the Impact Assessment template provided by the Office of Responsible AI.",org,null,dev,inadequate impact documentation,The org shall document the impact assessment effort using the provided Impact Assessment template.,null,when completing an Impact Assessment,TRUE,repo_check,Impact Assessment template,2
Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0002,"Tags: Impact Assessment. A1.2 Review the completed Impact Assessment with the reviewers identified according to your organization's
compliance process before development starts. Secure all required approvals from those reviewers. Tags: Impact Assessment.",org,null,dev,unidentified project risks,The org must review the completed Impact Assessment with reviewers identified by the organization's compliance process before development starts.,null,before development starts; after Impact Assessment is completed,TRUE,attest_check,Impact Assessment (review records),1
Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0002,"Tags: Impact Assessment. A1.2 Review the completed Impact Assessment with the reviewers identified according to your organization's
compliance process before development starts. Secure all required approvals from those reviewers. Tags: Impact Assessment.",org,null,dev,non-compliant development,The org must secure all required approvals from identified reviewers for the Impact Assessment.,null,after Impact Assessment review,TRUE,attest_check,Impact Assessment (approvals),2
Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0003,"A1.3 Update and review the Impact Assessment at least annually, when new intended uses are added, and before
advancing to a new release stage. Tags: Impact Assessment.",org,null,null,unmanaged model risk,"The org must update the Impact Assessment at least annually, when new intended uses are added, and before advancing to a new release stage.",null,at least annually; when new intended uses are added; before advancing to a new release stage,TRUE,attest_check; repo_check,Impact Assessment,1
Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0003,"A1.3 Update and review the Impact Assessment at least annually, when new intended uses are added, and before
advancing to a new release stage. Tags: Impact Assessment.",org,null,null,unmanaged model risk,"The org must review the Impact Assessment at least annually, when new intended uses are added, and before advancing to a new release stage.",null,at least annually; when new intended uses are added; before advancing to a new release stage,TRUE,attest_check,Impact Assessment (review records),2
Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0001,"Microsoft Responsible AI Standard v2
5
Goal A2: Oversight of significant adverse impacts
Microsoft AI systems are reviewed to identify systems that may have a significant adverse impact on people,
organizations, and society, and additional oversight and requirements are applied to those systems. Applies to: All AI systems. Requirements
A2.1 Review defined Restricted Uses to determine whether the system meets the definition of any Restricted Use. If it does, document this in the Impact Assessment, and follow the requirements for the Restricted Use.",org,,dev; eval,unidentified deployment of a restricted use system,The org must review defined Restricted Uses to determine whether the AI system meets the definition of any Restricted Use.,,,TRUE,attest_check,,1
Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0001,"Microsoft Responsible AI Standard v2
5
Goal A2: Oversight of significant adverse impacts
Microsoft AI systems are reviewed to identify systems that may have a significant adverse impact on people,
organizations, and society, and additional oversight and requirements are applied to those systems. Applies to: All AI systems. Requirements
A2.1 Review defined Restricted Uses to determine whether the system meets the definition of any Restricted Use. If it does, document this in the Impact Assessment, and follow the requirements for the Restricted Use.",org,,dev; eval,lack of oversight for restricted systems,The org must document in the Impact Assessment if the system meets the definition of a Restricted Use.,,if the system meets the definition of a Restricted Use,TRUE,attest_check,Impact Assessment,2
Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0002,"Tags: Impact Assessment. A2.2 Answer prompts in the Impact Assessment template to determine whether the system meets the definition of
a Sensitive Use. If it does, report it to the Office of Responsible AI, and follow any additional requirements resulting
from a Sensitive Uses review. Tags: Impact Assessment.",org,,eval,unidentified sensitive use case,The org must answer prompts in the Impact Assessment template to determine whether a system meets the definition of a Sensitive Use.,,,TRUE,attest_check,Impact Assessment template,1
Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0002,"Tags: Impact Assessment. A2.2 Answer prompts in the Impact Assessment template to determine whether the system meets the definition of
a Sensitive Use. If it does, report it to the Office of Responsible AI, and follow any additional requirements resulting
from a Sensitive Uses review. Tags: Impact Assessment.",org,,eval; regulated,failure to report a sensitive system,The org must report a system to the Office of Responsible AI if it meets the definition of a Sensitive Use.,,system meets the definition of a Sensitive Use,TRUE,attest_check,,2
