kept_rule_id	span_id
spans-passthrough-candidates/sent_0001-fc0ecaed	Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0001
spans-passthrough-candidates/sent_0001-61f5e6be	Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0001
spans-passthrough-candidates/sent_0002-8adaa8a5	Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0002
spans-passthrough-candidates/sent_0002-ec32d88a	Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0002
spans-passthrough-candidates/sent_0003-d026e6e8	Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0003
spans-passthrough-candidates/sent_0003-1e7a88de	Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0003
spans-passthrough-candidates/sent_0003-f0cea312	Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0003
spans-passthrough-candidates/sent_0003-f2530360	Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0003
spans-passthrough-candidates/sent_0003-cdb12948	Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0003
spans-passthrough-candidates/sent_0003-bef2340c	Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0003
spans-passthrough-candidates/sent_0001-56ffa40d	Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0001
spans-passthrough-candidates/sent_0001-d569e071	Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0001
spans-passthrough-candidates/sent_0001-65cf72c1	Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0001
spans-passthrough-candidates/sent_0002-ce4e7ed7	Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0002
spans-passthrough-candidates/sent_0002-aa97a7ba	Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0002
spans-passthrough-candidates/sent_0002-aa97a7ba	Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0003
spans-passthrough-candidates/sent_0002-a8f0ebe1	Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0002
spans-passthrough-candidates/sent_0003-1b5ab38d	Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0003
spans-passthrough-candidates/sent_0003-fe107895	Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0003
spans-passthrough-candidates/sent_0003-8f93e727	Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0003
spans-passthrough-candidates/sent_0001-f21068b9	Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0001
spans-passthrough-candidates/sent_0001-c482a623	Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0001
spans-passthrough-candidates/sent_0002-7aeb2056	Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0002
spans-passthrough-candidates/sent_0002-39fe24be	Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0002
spans-passthrough-candidates/sent_0002-3781afe9	Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0002
spans-passthrough-candidates/sent_0002-56de78bc	Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0002
spans-passthrough-candidates/sent_0002-56de78bc	Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0004
spans-passthrough-candidates/sent_0002-4ab95e75	Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0002
spans-passthrough-candidates/sent_0002-19e578b7	Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0002
spans-passthrough-candidates/sent_0002-19b5f739	Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0002
spans-passthrough-candidates/sent_0003-f142b5b8	Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0003
spans-passthrough-candidates/sent_0003-1e34b193	Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0003
spans-passthrough-candidates/sent_0003-1e34b193	Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0004
spans-passthrough-candidates/sent_0003-77b288f2	Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0003
spans-passthrough-candidates/sent_0003-77b288f2	Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0004
spans-passthrough-candidates/sent_0004-fb36833b	Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0004
spans-passthrough-candidates/sent_0004-c30f12fe	Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0004
spans-passthrough-candidates/sent_0004-9369fa36	Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0004
spans-passthrough-candidates/sent_0005-186582b9	Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0005
spans-passthrough-candidates/sent_0005-872d1598	Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0005
spans-passthrough-candidates/sent_0005-1336dfd5	Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0005
spans-passthrough-candidates/sent_0005-e5bd85da	Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0005
spans-passthrough-candidates/sent_0005-3bec9084	Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0005
spans-passthrough-candidates/sent_0005-c49750f9	Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0005
