span_id,text,rule_id,scope.actor,scope.domain,scope.context,hazard,requirement,exceptions,conditions,is_testable,evidence_signals,evidence
EU_AI_2024_removed/when-assessing-the-condition-under-paragraph-1-point-b-the-c/sent_0001,"2. When assessing the condition under paragraph 1, point (b), the Commission shall take into account the following
criteria:
(a) the intended purpose of the AI system;
(b) the extent to which an AI system has been used or is likely to be used;
(c) the nature and amount of the data processed and used by the AI system, in particular whether special categories of
personal data are processed;
(d) the extent to which the AI system acts autonomously and the possibility for a human to override a decision or
recommendations that may lead to potential harm;
(e) the extent to which the use of an AI system has already caused harm to health and safety, has had an adverse impact on
fundamental rights or has given rise to significant concerns in relation to the likelihood of such harm or adverse impact,
as demonstrated, for example, by reports or documented allegations submitted to national competent authorities or by
other reports, as appropriate;
(f) the potential extent of such harm or such adverse impact, in particular in terms of its intensity and its ability to affect
multiple persons or to disproportionately affect a particular group of persons;
(g) the extent to which persons who are potentially harmed or suffer an adverse impact are dependent on the outcome
produced with an AI system, in particular because for practical or legal reasons it is not reasonably possible to opt-out
from that outcome;
(h) the extent to which there is an imbalance of power, or the persons who are potentially harmed or suffer an adverse
impact are in a vulnerable position in relation to the deployer of an AI system, in particular due to status, authority,
knowledge, economic or social circumstances, or age;
(i) the extent to which the outcome produced involving an AI system is easily corrigible or reversible, taking into account
the technical solutions available to correct or reverse it, whereby outcomes having an adverse impact on health, safety or
fundamental rights, shall not be considered to be easily corrigible or reversible;
(j) the magnitude and likelihood of benefit of the deployment of the AI system for individuals, groups, or society at large,
including possible improvements in product safety;
(k) the extent to which existing Union law provides for:
(i) effective measures of redress in relation to the risks posed by an AI system, with the exclusion of claims for
damages;
(ii) effective measures to prevent or substantially minimise those risks.
3. The Commission is empowered to adopt delegated acts in accordance with Article 97 to amend the list in Annex III
by removing high-risk AI systems where both of the following conditions are fulfilled:
(a) the high-risk AI system concerned no longer poses any significant risks to fundamental rights, health or safety, taking
into account the criteria listed in paragraph 2;
(b) the deletion does not decrease the overall level of protection of health, safety and fundamental rights under Union law. SECTION 2
Requirements for high-risk AI systems
Article 8
Compliance with the requirements
OJ L, 12.7.2024
EN",-,,,,,,,,,,
EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0001,"2. Where a product contains an AI system, to which the requirements of this Regulation as well as requirements of the
Union harmonisation legislation listed in Section A of Annex I apply, providers shall be responsible for ensuring that their
product is fully compliant with all applicable requirements under applicable Union harmonisation legislation. In ensuring
the compliance of high-risk AI systems referred to in paragraph 1 with the requirements set out in this Section, and in order
to ensure consistency, avoid duplication and minimise additional burdens, providers shall have a choice of integrating, as
appropriate, the necessary testing and reporting processes, information and documentation they provide with regard to
their product into documentation and procedures that already exist and are required under the Union harmonisation
legislation listed in Section A of Annex I. Article 9
Risk management system
1.",1,"[""provider""]",[],"[""regulated""]",regulatory non-compliance,provider must ensure the product is fully compliant with all applicable requirements under Union harmonisation legislation when both this Regulation and the legislation listed in Section A of Annex I apply.,[],"[""product contains an AI system"", ""requirements of this Regulation apply"", ""Union harmonisation legislation in Section A of Annex I applies""]",TRUE,"[""attest_check"", ""config_check"", ""repo_check""]",[]
EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0002,"A risk management system shall be established, implemented, documented and maintained in relation to high-risk AI
systems.
2. The risk management system shall be understood as a continuous iterative process planned and run throughout the
entire lifecycle of a high-risk AI system, requiring regular systematic review and updating. It shall comprise the following
steps:
(a) the identification and analysis of the known and the reasonably foreseeable risks that the high-risk AI system can pose
to health, safety or fundamental rights when the high-risk AI system is used in accordance with its intended purpose;
(b) the estimation and evaluation of the risks that may emerge when the high-risk AI system is used in accordance with its
intended purpose, and under conditions of reasonably foreseeable misuse;
(c) the evaluation of other risks possibly arising, based on the analysis of data gathered from the post-market monitoring
system referred to in Article 72;
(d) the adoption of appropriate and targeted risk management measures designed to address the risks identified pursuant to
point (a).
3. The risks referred to in this Article shall concern only those which may be reasonably mitigated or eliminated through
the development or design of the high-risk AI system, or the provision of adequate technical information.
4.",1,"[""org""]",[],"[""high-risk"", ""regulated""]",absence of a risk management system,"org must establish, implement, document, and maintain a risk management system for each high-risk AI system.",[],"[""high-risk AI system""]",TRUE,"[""attest_check"", ""config_check"", ""repo_check""]","[""risk management system (documentation)""]"
EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0002,"A risk management system shall be established, implemented, documented and maintained in relation to high-risk AI
systems.
2. The risk management system shall be understood as a continuous iterative process planned and run throughout the
entire lifecycle of a high-risk AI system, requiring regular systematic review and updating. It shall comprise the following
steps:
(a) the identification and analysis of the known and the reasonably foreseeable risks that the high-risk AI system can pose
to health, safety or fundamental rights when the high-risk AI system is used in accordance with its intended purpose;
(b) the estimation and evaluation of the risks that may emerge when the high-risk AI system is used in accordance with its
intended purpose, and under conditions of reasonably foreseeable misuse;
(c) the evaluation of other risks possibly arising, based on the analysis of data gathered from the post-market monitoring
system referred to in Article 72;
(d) the adoption of appropriate and targeted risk management measures designed to address the risks identified pursuant to
point (a).
3. The risks referred to in this Article shall concern only those which may be reasonably mitigated or eliminated through
the development or design of the high-risk AI system, or the provision of adequate technical information.
4.",2,"[""org""]",[],"[""high-risk"", ""regulated""]",stale or ineffective risk controls,"org must run the risk management system as a continuous, iterative process with regular systematic review and updating across the entire lifecycle.",[],"[""entire lifecycle"", ""high-risk AI system""]",TRUE,"[""attest_check"", ""log_check""]","[""risk management system (documentation)""]"
EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0002,"A risk management system shall be established, implemented, documented and maintained in relation to high-risk AI
systems.
2. The risk management system shall be understood as a continuous iterative process planned and run throughout the
entire lifecycle of a high-risk AI system, requiring regular systematic review and updating. It shall comprise the following
steps:
(a) the identification and analysis of the known and the reasonably foreseeable risks that the high-risk AI system can pose
to health, safety or fundamental rights when the high-risk AI system is used in accordance with its intended purpose;
(b) the estimation and evaluation of the risks that may emerge when the high-risk AI system is used in accordance with its
intended purpose, and under conditions of reasonably foreseeable misuse;
(c) the evaluation of other risks possibly arising, based on the analysis of data gathered from the post-market monitoring
system referred to in Article 72;
(d) the adoption of appropriate and targeted risk management measures designed to address the risks identified pursuant to
point (a).
3. The risks referred to in this Article shall concern only those which may be reasonably mitigated or eliminated through
the development or design of the high-risk AI system, or the provision of adequate technical information.
4.",3,"[""org""]",[],"[""high-risk"", ""regulated""]","unidentified risks to health, safety, or fundamental rights","org must identify and analyze known and reasonably foreseeable risks to health, safety, or fundamental rights when the high-risk AI system is used in accordance with its intended purpose.",[],"[""high-risk AI system"", ""used in accordance with its intended purpose""]",TRUE,"[""attest_check"", ""data_check""]","[""risk management system (documentation)""]"
EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0002,"A risk management system shall be established, implemented, documented and maintained in relation to high-risk AI
systems.
2. The risk management system shall be understood as a continuous iterative process planned and run throughout the
entire lifecycle of a high-risk AI system, requiring regular systematic review and updating. It shall comprise the following
steps:
(a) the identification and analysis of the known and the reasonably foreseeable risks that the high-risk AI system can pose
to health, safety or fundamental rights when the high-risk AI system is used in accordance with its intended purpose;
(b) the estimation and evaluation of the risks that may emerge when the high-risk AI system is used in accordance with its
intended purpose, and under conditions of reasonably foreseeable misuse;
(c) the evaluation of other risks possibly arising, based on the analysis of data gathered from the post-market monitoring
system referred to in Article 72;
(d) the adoption of appropriate and targeted risk management measures designed to address the risks identified pursuant to
point (a).
3. The risks referred to in this Article shall concern only those which may be reasonably mitigated or eliminated through
the development or design of the high-risk AI system, or the provision of adequate technical information.
4.",4,"[""org""]",[],"[""high-risk"", ""regulated""]",unevaluated risks under intended use or foreseeable misuse,org must estimate and evaluate risks that may emerge when the high-risk AI system is used in accordance with its intended purpose and under conditions of reasonably foreseeable misuse.,[],"[""high-risk AI system"", ""used in accordance with its intended purpose"", ""reasonably foreseeable misuse""]",TRUE,"[""attest_check"", ""log_check"", ""data_check""]","[""risk management system (documentation)""]"
EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0002,"A risk management system shall be established, implemented, documented and maintained in relation to high-risk AI
systems.
2. The risk management system shall be understood as a continuous iterative process planned and run throughout the
entire lifecycle of a high-risk AI system, requiring regular systematic review and updating. It shall comprise the following
steps:
(a) the identification and analysis of the known and the reasonably foreseeable risks that the high-risk AI system can pose
to health, safety or fundamental rights when the high-risk AI system is used in accordance with its intended purpose;
(b) the estimation and evaluation of the risks that may emerge when the high-risk AI system is used in accordance with its
intended purpose, and under conditions of reasonably foreseeable misuse;
(c) the evaluation of other risks possibly arising, based on the analysis of data gathered from the post-market monitoring
system referred to in Article 72;
(d) the adoption of appropriate and targeted risk management measures designed to address the risks identified pursuant to
point (a).
3. The risks referred to in this Article shall concern only those which may be reasonably mitigated or eliminated through
the development or design of the high-risk AI system, or the provision of adequate technical information.
4.",5,"[""org""]",[],"[""high-risk"", ""regulated""]",missed emerging risks from post-market evidence,org must evaluate other possibly arising risks based on analysis of data gathered from the post-market monitoring system referred to in Article 72.,[],"[""high-risk AI system"", ""post-market monitoring system (Article 72)""]",TRUE,"[""data_check"", ""attest_check""]","[""post-market monitoring data""]"
EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0002,"A risk management system shall be established, implemented, documented and maintained in relation to high-risk AI
systems.
2. The risk management system shall be understood as a continuous iterative process planned and run throughout the
entire lifecycle of a high-risk AI system, requiring regular systematic review and updating. It shall comprise the following
steps:
(a) the identification and analysis of the known and the reasonably foreseeable risks that the high-risk AI system can pose
to health, safety or fundamental rights when the high-risk AI system is used in accordance with its intended purpose;
(b) the estimation and evaluation of the risks that may emerge when the high-risk AI system is used in accordance with its
intended purpose, and under conditions of reasonably foreseeable misuse;
(c) the evaluation of other risks possibly arising, based on the analysis of data gathered from the post-market monitoring
system referred to in Article 72;
(d) the adoption of appropriate and targeted risk management measures designed to address the risks identified pursuant to
point (a).
3. The risks referred to in this Article shall concern only those which may be reasonably mitigated or eliminated through
the development or design of the high-risk AI system, or the provision of adequate technical information.
4.",6,"[""org""]",[],"[""high-risk"", ""regulated""]",unmitigated identified risks,org must adopt appropriate and targeted risk management measures to address the risks identified pursuant to point (a).,[],"[""risks identified under point (a)"", ""high-risk AI system""]",TRUE,"[""attest_check"", ""config_check""]","[""risk management system (documentation)""]"
EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0003,"The risk management measures referred to in paragraph 2, point (d), shall give due consideration to the effects and
possible interaction resulting from the combined application of the requirements set out in this Section, with a view to
minimising risks more effectively while achieving an appropriate balance in implementing the measures to fulfil those
requirements.
5. The risk management measures referred to in paragraph 2, point (d), shall be such that the relevant residual risk
associated with each hazard, as well as the overall residual risk of the high-risk AI systems is judged to be acceptable. In identifying the most appropriate risk management measures, the following shall be ensured:
(a) elimination or reduction of risks identified and evaluated pursuant to paragraph 2 in as far as technically feasible
through adequate design and development of the high-risk AI system;
(b) where appropriate, implementation of adequate mitigation and control measures addressing risks that cannot be
eliminated;
(c) provision of information required pursuant to Article 13 and, where appropriate, training to deployers. EN
OJ L, 12.7.2024",1,"[""org""]",[],"[""high-risk"", ""regulated""]",compounded risks from combined requirements,org must give due consideration to the effects and possible interaction resulting from the combined application of the requirements set out in this Section when adopting risk management measures.,[],"[""adopting risk management measures (paragraph 2(d))"", ""combined application of requirements""]",TRUE,"[""attest_check"", ""config_check""]",[]
EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0003,"The risk management measures referred to in paragraph 2, point (d), shall give due consideration to the effects and
possible interaction resulting from the combined application of the requirements set out in this Section, with a view to
minimising risks more effectively while achieving an appropriate balance in implementing the measures to fulfil those
requirements.
5. The risk management measures referred to in paragraph 2, point (d), shall be such that the relevant residual risk
associated with each hazard, as well as the overall residual risk of the high-risk AI systems is judged to be acceptable. In identifying the most appropriate risk management measures, the following shall be ensured:
(a) elimination or reduction of risks identified and evaluated pursuant to paragraph 2 in as far as technically feasible
through adequate design and development of the high-risk AI system;
(b) where appropriate, implementation of adequate mitigation and control measures addressing risks that cannot be
eliminated;
(c) provision of information required pursuant to Article 13 and, where appropriate, training to deployers. EN
OJ L, 12.7.2024",2,"[""org""]",[],"[""high-risk"", ""regulated""]",unacceptable residual risk,"org must ensure that the residual risk associated with each hazard, as well as the overall residual risk of the high-risk AI system, is judged to be acceptable.",[],"[""high-risk AI system""]",TRUE,"[""attest_check"", ""config_check""]",[]
