span_id,text,rule_id,scope.actor,scope.domain,scope.context,hazard,requirement,exceptions,conditions,is_testable,evidence_signals,evidence
NIST AI RMF profiles_removed/gv-6-2-003/sent_0001,"GV-6.2-003
Establish incident response plans for third-party GAI technologies: Align incident
response plans with impacts enumerated in MAP 5.1; Communicate third-party
GAI incident response plans to all relevant AI Actors; Define ownership of GAI
incident response functions; Rehearse third-party GAI incident response plans at
a regular cadence; Improve incident response plans based on retrospective
learning; Review incident response plans for alignment with relevant breach
reporting, data protection, data privacy, or other laws. Data Privacy; Human-AI
Configuration; Information
Security; Value Chain and
Component Integration; Harmful
Bias and Homogenization
GV-6.2-004
Establish policies and procedures for continuous monitoring of third-party GAI
systems in deployment. Value Chain and Component
Integration
GV-6.2-005
Establish policies and procedures that address GAI data redundancy, including
model weights and other system artifacts. Harmful Bias and Homogenization
GV-6.2-006
Establish policies and procedures to test and manage risks related to rollover and
fallback technologies for GAI systems, acknowledging that rollover and fallback
may include manual processing.",-,,,,,,,,,,
NIST AI RMF profiles_removed/gv-6-2-003/sent_0002,"Information Integrity
GV-6.2-007
Review vendor contracts and avoid arbitrary or capricious termination of critical
GAI technologies or vendor services and non-standard terms that may amplify or
defer liability in unexpected ways and/or contribute to unauthorized data
collection by vendors or third-parties (e.g., secondary data use). Consider: Clear
assignment of liability and responsibility for incidents, GAI system changes over
time (e.g., fine-tuning, drift, decay); Request: Notification and disclosure for
serious incidents arising from third-party data and systems; Service Level
Agreements (SLAs) in vendor contracts that address incident response, response
times, and availability of critical support. Human-AI Configuration;
Information Security; Value Chain
and Component Integration
AI Actor Tasks: AI Deployment, Operation and Monitoring, TEVV, Third-party entities
MAP 1.1: Intended purposes, potentially beneficial uses, context specific laws, norms and expectations, and prospective settings in
which the AI system will be deployed are understood and documented. Considerations include: the specific set or types of users
along with their expectations; potential positive and negative impacts of system uses to individuals, communities, organizations,
society, and the planet; assumptions and related limitations about AI system purposes, uses, and risks across the development or
product AI lifecycle; and related TEVV and system metrics.",1,org,[],[],service disruption,org shall avoid contract terms that permit arbitrary or capricious termination of critical GAI technologies or vendor services.,[],"critical GAI technologies or vendor services, during contract review",TRUE,"config_check, attest_check",[]
NIST AI RMF profiles_removed/gv-6-2-003/sent_0002,"Information Integrity
GV-6.2-007
Review vendor contracts and avoid arbitrary or capricious termination of critical
GAI technologies or vendor services and non-standard terms that may amplify or
defer liability in unexpected ways and/or contribute to unauthorized data
collection by vendors or third-parties (e.g., secondary data use). Consider: Clear
assignment of liability and responsibility for incidents, GAI system changes over
time (e.g., fine-tuning, drift, decay); Request: Notification and disclosure for
serious incidents arising from third-party data and systems; Service Level
Agreements (SLAs) in vendor contracts that address incident response, response
times, and availability of critical support. Human-AI Configuration;
Information Security; Value Chain
and Component Integration
AI Actor Tasks: AI Deployment, Operation and Monitoring, TEVV, Third-party entities
MAP 1.1: Intended purposes, potentially beneficial uses, context specific laws, norms and expectations, and prospective settings in
which the AI system will be deployed are understood and documented. Considerations include: the specific set or types of users
along with their expectations; potential positive and negative impacts of system uses to individuals, communities, organizations,
society, and the planet; assumptions and related limitations about AI system purposes, uses, and risks across the development or
product AI lifecycle; and related TEVV and system metrics.",2,org,general,[],unauthorized data collection,"org shall avoid non-standard terms in vendor contracts that contribute to unauthorized data collection by vendors or third parties, including secondary data use.",[],"vendor or third-party contracts, secondary data use, during contract review",TRUE,"config_check, attest_check",[]
NIST AI RMF profiles_removed/gv-6-2-003/sent_0002,"Information Integrity
GV-6.2-007
Review vendor contracts and avoid arbitrary or capricious termination of critical
GAI technologies or vendor services and non-standard terms that may amplify or
defer liability in unexpected ways and/or contribute to unauthorized data
collection by vendors or third-parties (e.g., secondary data use). Consider: Clear
assignment of liability and responsibility for incidents, GAI system changes over
time (e.g., fine-tuning, drift, decay); Request: Notification and disclosure for
serious incidents arising from third-party data and systems; Service Level
Agreements (SLAs) in vendor contracts that address incident response, response
times, and availability of critical support. Human-AI Configuration;
Information Security; Value Chain
and Component Integration
AI Actor Tasks: AI Deployment, Operation and Monitoring, TEVV, Third-party entities
MAP 1.1: Intended purposes, potentially beneficial uses, context specific laws, norms and expectations, and prospective settings in
which the AI system will be deployed are understood and documented. Considerations include: the specific set or types of users
along with their expectations; potential positive and negative impacts of system uses to individuals, communities, organizations,
society, and the planet; assumptions and related limitations about AI system purposes, uses, and risks across the development or
product AI lifecycle; and related TEVV and system metrics.",3,org,[],[],unassigned liability for harm,org must include clear assignment of liability and responsibility for incidents and account for GAI system changes over time in vendor contracts.,[],"vendor contracts, GAI system changes over time (fine-tuning, drift, decay)",TRUE,"config_check, attest_check",[]
NIST AI RMF profiles_removed/gv-6-2-003/sent_0002,"Information Integrity
GV-6.2-007
Review vendor contracts and avoid arbitrary or capricious termination of critical
GAI technologies or vendor services and non-standard terms that may amplify or
defer liability in unexpected ways and/or contribute to unauthorized data
collection by vendors or third-parties (e.g., secondary data use). Consider: Clear
assignment of liability and responsibility for incidents, GAI system changes over
time (e.g., fine-tuning, drift, decay); Request: Notification and disclosure for
serious incidents arising from third-party data and systems; Service Level
Agreements (SLAs) in vendor contracts that address incident response, response
times, and availability of critical support. Human-AI Configuration;
Information Security; Value Chain
and Component Integration
AI Actor Tasks: AI Deployment, Operation and Monitoring, TEVV, Third-party entities
MAP 1.1: Intended purposes, potentially beneficial uses, context specific laws, norms and expectations, and prospective settings in
which the AI system will be deployed are understood and documented. Considerations include: the specific set or types of users
along with their expectations; potential positive and negative impacts of system uses to individuals, communities, organizations,
society, and the planet; assumptions and related limitations about AI system purposes, uses, and risks across the development or
product AI lifecycle; and related TEVV and system metrics.",4,org,[],[],lack of transparency for incidents,org must require notification and disclosure by vendors for serious incidents arising from third-party data and systems.,[],"serious incidents arising from third-party data and systems, in vendor relationship",TRUE,"attest_check, config_check",[]
NIST AI RMF profiles_removed/gv-6-2-003/sent_0002,"Information Integrity
GV-6.2-007
Review vendor contracts and avoid arbitrary or capricious termination of critical
GAI technologies or vendor services and non-standard terms that may amplify or
defer liability in unexpected ways and/or contribute to unauthorized data
collection by vendors or third-parties (e.g., secondary data use). Consider: Clear
assignment of liability and responsibility for incidents, GAI system changes over
time (e.g., fine-tuning, drift, decay); Request: Notification and disclosure for
serious incidents arising from third-party data and systems; Service Level
Agreements (SLAs) in vendor contracts that address incident response, response
times, and availability of critical support. Human-AI Configuration;
Information Security; Value Chain
and Component Integration
AI Actor Tasks: AI Deployment, Operation and Monitoring, TEVV, Third-party entities
MAP 1.1: Intended purposes, potentially beneficial uses, context specific laws, norms and expectations, and prospective settings in
which the AI system will be deployed are understood and documented. Considerations include: the specific set or types of users
along with their expectations; potential positive and negative impacts of system uses to individuals, communities, organizations,
society, and the planet; assumptions and related limitations about AI system purposes, uses, and risks across the development or
product AI lifecycle; and related TEVV and system metrics.",5,org,[],[],service unavailability,"org must include Service Level Agreements in vendor contracts that address incident response, response times, and availability of critical support.",[],"vendor contracts, critical support for GAI technologies",TRUE,"config_check, attest_check",[]
NIST AI RMF profiles_removed/gv-6-2-003/sent_0002,"Information Integrity
GV-6.2-007
Review vendor contracts and avoid arbitrary or capricious termination of critical
GAI technologies or vendor services and non-standard terms that may amplify or
defer liability in unexpected ways and/or contribute to unauthorized data
collection by vendors or third-parties (e.g., secondary data use). Consider: Clear
assignment of liability and responsibility for incidents, GAI system changes over
time (e.g., fine-tuning, drift, decay); Request: Notification and disclosure for
serious incidents arising from third-party data and systems; Service Level
Agreements (SLAs) in vendor contracts that address incident response, response
times, and availability of critical support. Human-AI Configuration;
Information Security; Value Chain
and Component Integration
AI Actor Tasks: AI Deployment, Operation and Monitoring, TEVV, Third-party entities
MAP 1.1: Intended purposes, potentially beneficial uses, context specific laws, norms and expectations, and prospective settings in
which the AI system will be deployed are understood and documented. Considerations include: the specific set or types of users
along with their expectations; potential positive and negative impacts of system uses to individuals, communities, organizations,
society, and the planet; assumptions and related limitations about AI system purposes, uses, and risks across the development or
product AI lifecycle; and related TEVV and system metrics.",1,org,[],[],service disruption,org shall avoid contract terms that permit arbitrary or capricious termination of critical GAI technologies or vendor services.,[],"critical GAI technologies or vendor services, during contract review",TRUE,"config_check, attest_check",[]
NIST AI RMF profiles_removed/gv-6-2-003/sent_0002,"Information Integrity
GV-6.2-007
Review vendor contracts and avoid arbitrary or capricious termination of critical
GAI technologies or vendor services and non-standard terms that may amplify or
defer liability in unexpected ways and/or contribute to unauthorized data
collection by vendors or third-parties (e.g., secondary data use). Consider: Clear
assignment of liability and responsibility for incidents, GAI system changes over
time (e.g., fine-tuning, drift, decay); Request: Notification and disclosure for
serious incidents arising from third-party data and systems; Service Level
Agreements (SLAs) in vendor contracts that address incident response, response
times, and availability of critical support. Human-AI Configuration;
Information Security; Value Chain
and Component Integration
AI Actor Tasks: AI Deployment, Operation and Monitoring, TEVV, Third-party entities
MAP 1.1: Intended purposes, potentially beneficial uses, context specific laws, norms and expectations, and prospective settings in
which the AI system will be deployed are understood and documented. Considerations include: the specific set or types of users
along with their expectations; potential positive and negative impacts of system uses to individuals, communities, organizations,
society, and the planet; assumptions and related limitations about AI system purposes, uses, and risks across the development or
product AI lifecycle; and related TEVV and system metrics.",2,org,general,[],unauthorized data collection,"org shall avoid non-standard terms in vendor contracts that contribute to unauthorized data collection by vendors or third parties, including secondary data use.",[],"vendor or third-party contracts, secondary data use, during contract review",TRUE,"config_check, attest_check",[]
NIST AI RMF profiles_removed/gv-6-2-003/sent_0002,"Information Integrity
GV-6.2-007
Review vendor contracts and avoid arbitrary or capricious termination of critical
GAI technologies or vendor services and non-standard terms that may amplify or
defer liability in unexpected ways and/or contribute to unauthorized data
collection by vendors or third-parties (e.g., secondary data use). Consider: Clear
assignment of liability and responsibility for incidents, GAI system changes over
time (e.g., fine-tuning, drift, decay); Request: Notification and disclosure for
serious incidents arising from third-party data and systems; Service Level
Agreements (SLAs) in vendor contracts that address incident response, response
times, and availability of critical support. Human-AI Configuration;
Information Security; Value Chain
and Component Integration
AI Actor Tasks: AI Deployment, Operation and Monitoring, TEVV, Third-party entities
MAP 1.1: Intended purposes, potentially beneficial uses, context specific laws, norms and expectations, and prospective settings in
which the AI system will be deployed are understood and documented. Considerations include: the specific set or types of users
along with their expectations; potential positive and negative impacts of system uses to individuals, communities, organizations,
society, and the planet; assumptions and related limitations about AI system purposes, uses, and risks across the development or
product AI lifecycle; and related TEVV and system metrics.",3,org,[],[],unassigned liability for harm,org must include clear assignment of liability and responsibility for incidents and account for GAI system changes over time in vendor contracts.,[],"vendor contracts, GAI system changes over time (fine-tuning, drift, decay)",TRUE,"config_check, attest_check",[]
NIST AI RMF profiles_removed/gv-6-2-003/sent_0002,"Information Integrity
GV-6.2-007
Review vendor contracts and avoid arbitrary or capricious termination of critical
GAI technologies or vendor services and non-standard terms that may amplify or
defer liability in unexpected ways and/or contribute to unauthorized data
collection by vendors or third-parties (e.g., secondary data use). Consider: Clear
assignment of liability and responsibility for incidents, GAI system changes over
time (e.g., fine-tuning, drift, decay); Request: Notification and disclosure for
serious incidents arising from third-party data and systems; Service Level
Agreements (SLAs) in vendor contracts that address incident response, response
times, and availability of critical support. Human-AI Configuration;
Information Security; Value Chain
and Component Integration
AI Actor Tasks: AI Deployment, Operation and Monitoring, TEVV, Third-party entities
MAP 1.1: Intended purposes, potentially beneficial uses, context specific laws, norms and expectations, and prospective settings in
which the AI system will be deployed are understood and documented. Considerations include: the specific set or types of users
along with their expectations; potential positive and negative impacts of system uses to individuals, communities, organizations,
society, and the planet; assumptions and related limitations about AI system purposes, uses, and risks across the development or
product AI lifecycle; and related TEVV and system metrics.",4,org,[],[],lack of transparency for incidents,org must require notification and disclosure by vendors for serious incidents arising from third-party data and systems.,[],"serious incidents arising from third-party data and systems, in vendor relationship",TRUE,"attest_check, config_check",[]
