span_id,has_prediction,chosen_rule_id,macro_f1,test_correct,hazard_exact,scope.actor_exact,scope.domain_exact,scope.context_exact,conditions_exact,exceptions_exact,requirements_exact,evidence_exact,evidence_signals_exact,hazard_f1,scope.actor_f1,scope.domain_f1,scope.context_f1,conditions_f1,exceptions_f1,requirements_f1,evidence_f1,evidence_signals_f1
NIST AI RMF profiles_removed/gv-6-2-003/sent_0002,True,spans-passthrough-candidates/sent_0002-2c96caa3,0.3481481481481482,True,False,True,False,False,False,True,True,False,False,0.0,1.0,0.0,0.0,0.0,1.0,0.933,0.0,0.2
NIST AI RMF profiles_removed/mp-1-1-002/sent_0001,True,spans-passthrough-candidates/sent_0001-0744eef1,0.26481481481481484,True,False,True,False,False,False,True,False,False,False,0.0,1.0,0.0,0.0,0.0,1.0,0.133,0.0,0.25
NIST AI RMF profiles_removed/mp-1-1-002/sent_0002,True,spans-passthrough-candidates/sent_0002-bb449cb1,0.3611111111111111,True,False,True,False,False,False,True,False,True,False,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.25
NIST AI RMF profiles_removed/map-2-1/sent_0001,True,spans-passthrough-candidates/sent_0001-eb36ecca,0.4051796157059315,True,False,False,False,False,False,True,True,True,False,0.429,0.0,0.0,0.0,0.0,1.0,0.789,1.0,0.429
NIST AI RMF profiles_removed/map-2-1/sent_0002,False,,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIST AI RMF profiles_removed/mp-2-3-002/sent_0001,True,spans-passthrough-candidates/sent_0001-a02ab640,0.3939153439153439,True,False,False,False,False,False,True,True,True,False,0.25,0.0,0.0,0.0,0.0,1.0,0.867,1.0,0.429
NIST AI RMF profiles_removed/mp-2-3-002/sent_0002,True,spans-passthrough-candidates/sent_0002-a99848c6,0.2759259259259259,True,False,False,False,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,1.0,0.083,1.0,0.4
NIST AI RMF profiles_removed/mp-2-3-002/sent_0003,True,spans-passthrough-candidates/sent_0003-df047f2a,0.32320261437908493,True,False,False,False,False,False,True,False,True,True,0.1,0.0,0.0,0.0,0.0,1.0,0.059,1.0,0.75
NIST AI RMF profiles_removed/map-4-1/sent_0001,False,,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIST AI RMF profiles_removed/map-4-1/sent_0002,True,spans-passthrough-candidates/sent_0002-d2fbbc91,0.40808080808080804,True,False,True,False,False,False,True,True,False,False,0.273,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.4
