sim	a_rule_id	a_req	b_rule_id	b_req
0.9772	spans-passthrough-candidates/sent_0004-fa6727d1	The deployer shall ensure that the technical documentation contains all the information set out in paragraph 1.	spans-passthrough-candidates/sent_0004-0a450dce	The deployer shall ensure that the technical documentation contains the information required under those legal acts.
0.9524	spans-passthrough-candidates/sent_0001-767fa926	deployer shall implement human oversight measures that aim to prevent or minimise risks to health when the high-risk AI system is used in accordance with its intended purpose or under conditions of reasonably foreseeable misuse.	spans-passthrough-candidates/sent_0001-6f6dffba	deployer shall implement human oversight measures that aim to prevent or minimise risks to safety when the high-risk AI system is used in accordance with its intended purpose or under conditions of reasonably foreseeable misuse.
0.9393	spans-passthrough-candidates/sent_0002-70fcc1c4	org shall draw up the technical documentation of a high-risk AI system before that system is placed on the market or put into service.	spans-passthrough-candidates/sent_0002-7bdce7d4	org shall draw up the technical documentation in a way that demonstrates that the high-risk AI system complies with the requirements set out in this Section.
0.9217	spans-passthrough-candidates/sent_0002-3a014ff2	Developer shall design and develop high-risk AI systems to achieve an appropriate level of accuracy.	spans-passthrough-candidates/sent_0002-5deddc14	Developer shall design and develop high-risk AI systems to achieve an appropriate level of robustness.
0.9202	spans-passthrough-candidates/sent_0001-5009f171	Provider shall document and demonstrate that bias detection and correction cannot be effectively fulfilled by processing other data, including synthetic or anonymised data, before processing special categories of personal data.	spans-passthrough-candidates/sent_0001-1a0f996c	Provider shall ensure that the records of processing activities pursuant to Regulations (EU) 2016/679 and (EU) 2018/1725 and Directive (EU) 2016/680 include the reasons why the processing of special categories of personal data was strictly necessary to detect and correct biases and why that objective could not be achieved by processing other data.
0.9192	spans-passthrough-candidates/sent_0001-767fa926	deployer shall implement human oversight measures that aim to prevent or minimise risks to health when the high-risk AI system is used in accordance with its intended purpose or under conditions of reasonably foreseeable misuse.	spans-passthrough-candidates/sent_0001-84898e86	deployer shall implement human oversight measures that aim to prevent or minimise risks to fundamental rights when the high-risk AI system is used in accordance with its intended purpose or under conditions of reasonably foreseeable misuse.
0.9178	spans-passthrough-candidates/sent_0001-dee2ed0a	Provider shall not transmit, transfer or otherwise permit access to the special categories of personal data by other parties.	spans-passthrough-candidates/sent_0001-21092f78	Provider shall implement measures to ensure the special categories of personal data are secured and protected with suitable safeguards, including strict access controls and documentation of access, to avoid misuse and ensure only authorised persons with appropriate confidentiality obligations have access.
0.9083	spans-passthrough-candidates/sent_0001-f1369e50	developer shall conduct testing of the high-risk AI system for the purpose of identifying the most appropriate and targeted risk management measures and produce test results that identify the selected measures.	spans-passthrough-candidates/sent_0001-bce9c4a4	developer shall test the high-risk AI system and produce test results demonstrating compliance with the requirements set out in this Section.
0.9082	spans-passthrough-candidates/sent_0002-3a014ff2	Developer shall design and develop high-risk AI systems to achieve an appropriate level of accuracy.	spans-passthrough-candidates/sent_0002-1ebb3cfd	Developer shall design and develop high-risk AI systems to achieve an appropriate level of cybersecurity.
0.9075	spans-passthrough-candidates/sent_0001-dee2ed0a	Provider shall not transmit, transfer or otherwise permit access to the special categories of personal data by other parties.	spans-passthrough-candidates/sent_0001-a6f3bfb3	Provider shall apply technical limitations on the re-use of the special categories of personal data and implement state-of-the-art security and privacy-preserving measures, including pseudonymisation.
