sim	a_rule_id	a_req	b_rule_id	b_req
0.9797	spans-passthrough-candidates/sent_0001-19592e42	developer shall include groups defined by a single factor among the identified and prioritized demographic groups.	spans-passthrough-candidates/sent_0001-4ee06cf3	developer shall include groups defined by a combination of factors among the identified and prioritized demographic groups.
0.9729	spans-passthrough-candidates/sent_0003-d026e6e8	org shall update the Impact Assessment.	spans-passthrough-candidates/sent_0003-1e7a88de	org shall review the Impact Assessment.
0.9723	spans-passthrough-candidates/sent_0001-af343ce6	org must identify and record stakeholders who will use the system outputs to make decisions.	spans-passthrough-candidates/sent_0001-c7bb45c5	org must identify and record stakeholders who are subject to decisions informed by the system.
0.9675	spans-passthrough-candidates/sent_0003-cdb12948	org shall update the Impact Assessment.	spans-passthrough-candidates/sent_0003-bef2340c	org shall review the Impact Assessment.
0.9632	spans-passthrough-candidates/sent_0003-41314154	The developer must define an acceptable error rate for the system when operating within these ranges.	spans-passthrough-candidates/sent_0003-a2f4c945	The developer must document the defined acceptable error rate for the system when operating within these ranges.
0.9629	spans-passthrough-candidates/sent_0005-9ea130b7	org shall develop a plan detailing how the gap will be managed until it can be closed.	spans-passthrough-candidates/sent_0005-50452236	org shall develop a plan detailing how the gap will be managed until it can be closed.
0.9608	spans-passthrough-candidates/sent_0003-f0cea312	org shall update the Impact Assessment.	spans-passthrough-candidates/sent_0003-f2530360	org shall review the Impact Assessment.
0.9597	spans-passthrough-candidates/sent_0002-12754d56	org shall evaluate all data sets to assess inclusiveness of identified demographic groups.	spans-passthrough-candidates/sent_0002-fa5e43cf	org shall evaluate all data sets to assess inclusiveness of the identified demographic groups.
0.9594	spans-passthrough-candidates/sent_0002-7b0f8cf4	org shall document the prioritized identified demographic groups using the Impact Assessment template.	spans-passthrough-candidates/sent_0002-946c3348	org shall document the prioritized identified demographic groups using the Impact Assessment template.
0.9540	spans-passthrough-candidates/sent_0005-bfac9e69	org shall consult with the Office of Responsible AI.	spans-passthrough-candidates/sent_0005-42d42bd1	org shall consult with the Office of Responsible AI.
0.9507	spans-passthrough-candidates/sent_0003-1fe14e8e	developer shall define methods for evaluating data to be used by the system against the requirements defined in A4.1.	spans-passthrough-candidates/sent_0003-45ba27cd	developer shall document the methods for evaluating data against the requirements defined in A4.1.
0.9495	spans-passthrough-candidates/sent_0002-7aeb2056	developer shall define and document for each model the model's proposed inputs and how well they represent the concepts they are intended to represent, including analysis of the limitations of this representation.	spans-passthrough-candidates/sent_0002-39fe24be	developer shall define and document for each model the model's proposed output and how well it represents the concept it is intended to represent, including analysis of the limitations of this representation.
