span_id,has_prediction,chosen_rule_id,macro_f1,test_correct,hazard_exact,scope.actor_exact,scope.domain_exact,scope.context_exact,conditions_exact,exceptions_exact,requirements_exact,evidence_exact,evidence_signals_exact,hazard_f1,scope.actor_f1,scope.domain_f1,scope.context_f1,conditions_f1,exceptions_f1,requirements_f1,evidence_f1,evidence_signals_f1
Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0001,True,spans-passthrough-candidates/sent_0001-54d231d7,0.39814814814814814,False,False,False,False,True,False,True,False,True,False,0.0,0.0,0.0,1.0,0.0,1.0,0.583,1.0,0.0
Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0002,True,spans-passthrough-candidates/sent_0002-4c35218f,0.36419753086419754,False,False,True,False,False,False,True,False,True,False,0.111,1.0,0.0,0.0,0.0,1.0,0.5,0.667,0.0
Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0003,True,spans-passthrough-candidates/sent_0003-ac48b4d6,0.5,False,False,True,False,False,True,True,True,False,False,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5,0.0
Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0001,True,spans-passthrough-candidates/sent_0001-683bc6fb,0.5285714285714286,False,False,True,False,False,True,True,True,True,False,0.143,1.0,0.0,0.0,0.714,1.0,0.9,1.0,0.0
Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0002,True,spans-passthrough-candidates/sent_0002-1c3bcb61,0.38139329805996475,False,False,True,False,False,False,True,False,True,False,0.0,1.0,0.0,0.0,0.111,1.0,0.571,0.75,0.0
Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0003,True,spans-passthrough-candidates/sent_0003-9d9fabfa,0.5021645021645021,False,False,True,False,False,False,True,True,True,False,0.182,1.0,0.0,0.0,0.429,1.0,0.909,1.0,0.0
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0001,True,spans-passthrough-candidates/sent_0001-4a85e0a0,0.5555555555555556,False,False,True,False,False,True,True,True,True,False,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0002,True,spans-passthrough-candidates/sent_0002-0fb9cc17,0.49329805996472664,False,False,True,False,False,False,True,True,True,False,0.111,1.0,0.0,0.0,0.429,1.0,0.9,1.0,0.0
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0003,True,spans-passthrough-candidates/sent_0003-2fc939d2,0.35353535353535354,False,False,False,False,True,True,True,False,False,False,0.0,0.0,0.0,1.0,1.0,1.0,0.182,0.0,0.0
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0004,True,spans-passthrough-candidates/sent_0004-d64f18e7,0.35030864197530864,False,False,False,False,False,True,True,False,True,False,0.0,0.0,0.0,0.0,0.778,1.0,0.375,1.0,0.0
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0005,True,spans-passthrough-candidates/sent_0005-69dcb35b,0.42991452991452994,False,False,True,False,False,False,True,True,True,False,0.0,1.0,0.0,0.0,0.269,1.0,0.6,1.0,0.0
Microsoft/index/accountability-goals/goal-a4-data-governance-and-management/sent_0001,True,spans-passthrough-candidates/sent_0001-ee7700d2,0.3848946986201888,False,False,True,False,False,False,True,False,True,False,0.111,1.0,0.0,0.0,0.0,1.0,0.353,1.0,0.0
Microsoft/index/accountability-goals/goal-a4-data-governance-and-management/sent_0002,True,spans-passthrough-candidates/sent_0002-568135d1,0.45566778900112237,False,False,False,False,True,False,True,False,True,False,0.0,0.0,0.0,1.0,0.556,1.0,0.545,1.0,0.0
Microsoft/index/accountability-goals/goal-a4-data-governance-and-management/sent_0003,True,spans-passthrough-candidates/sent_0003-0fe2f240,0.29814814814814816,False,False,False,False,False,True,True,False,False,False,0.1,0.0,0.0,0.0,1.0,1.0,0.583,0.0,0.0
Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0001,True,spans-passthrough-candidates/sent_0001-bd18efe5,0.42205942205942204,False,False,True,False,False,False,True,True,True,False,0.286,1.0,0.0,0.0,0.0,1.0,0.846,0.667,0.0
Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0002,True,spans-passthrough-candidates/sent_0002-9e218e81,0.31481481481481477,False,False,True,False,False,False,True,False,False,False,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.333,0.0
Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0003,True,spans-passthrough-candidates/sent_0003-cb068e1a,0.3950617283950617,False,False,True,False,False,True,True,False,False,False,0.167,1.0,0.0,0.0,1.0,1.0,0.389,0.0,0.0
Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0004,True,spans-passthrough-candidates/sent_0004-327d7a42,0.41203703703703703,False,False,False,False,False,True,True,False,True,False,0.125,0.0,0.0,0.0,1.0,1.0,0.583,1.0,0.0
Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0005,True,spans-passthrough-candidates/sent_0005-37080b0e,0.11965811965811965,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.077,0.0,0.0
Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0001,True,spans-passthrough-candidates/sent_0001-842781e3,0.12037037037037036,False,False,False,False,False,False,False,False,True,False,0.083,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0002,True,spans-passthrough-candidates/sent_0002-94559e3f,0.1688888888888889,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.52,0.0,0.0
Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0003,True,spans-passthrough-candidates/sent_0003-95c914ae,0.4222222222222222,False,False,True,False,True,False,True,True,False,False,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.0,0.0
Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0004,True,spans-passthrough-candidates/sent_0004-3056a06e,0.2740740740740741,False,False,False,False,False,True,True,True,False,False,0.0,0.0,0.0,0.0,0.8,1.0,0.667,0.0,0.0
Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0005,True,spans-passthrough-candidates/sent_0005-b9beb5c0,0.4729986197377502,False,False,True,False,False,True,True,True,False,False,0.143,1.0,0.0,0.0,1.0,1.0,0.739,0.375,0.0
Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0006,False,,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Microsoft/index/transparency-goals/goal-t2-communication-to-stakeholders/sent_0001,True,spans-passthrough-candidates/sent_0001-9e39dc8c,0.6226851851851852,False,False,True,False,False,True,True,True,True,True,0.167,1.0,0.0,0.0,0.75,1.0,0.688,1.0,1.0
Microsoft/index/transparency-goals/goal-t2-communication-to-stakeholders/sent_0002,True,spans-passthrough-candidates/sent_0002-eb9958bc,0.5343915343915344,False,False,True,False,False,True,True,True,True,False,0.143,1.0,0.0,0.0,0.8,1.0,0.867,1.0,0.0
Microsoft/index/transparency-goals/goal-t2-communication-to-stakeholders/sent_0003,True,spans-passthrough-candidates/sent_0003-8e43764e,0.37182280319535216,False,False,True,False,False,True,True,False,False,False,0.333,1.0,0.0,0.0,0.778,1.0,0.235,0.0,0.0
Microsoft/index/transparency-goals/goal-t3-disclosure-of-ai-interaction/sent_0001,True,spans-passthrough-candidates/sent_0001-cce4afdd,0.3333333333333333,False,False,True,False,False,False,False,True,True,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
