k,span_id,score,tp,fp,precision,recall
0,,1.0,0,0,1.0,0.0
1,Microsoft/index/reliability-safety-goals/goal-rs2-failures-and-remediations/sent_0004,0.7098765432098766,1,0,1.0,0.014084507042253521
2,Microsoft/index/fairness-goals/goal-f2-allocation-of-resources-and-opportunities/sent_0006,0.6324786324786325,2,0,1.0,0.028169014084507043
3,Microsoft/index/transparency-goals/goal-t2-communication-to-stakeholders/sent_0001,0.6296296296296297,3,0,1.0,0.04225352112676056
4,Microsoft/index/fairness-goals/goal-f3-minimization-of-stereotyping-demeaning-and-erasing-o/sent_0003,0.5752242926155969,4,0,1.0,0.056338028169014086
5,Microsoft/index/reliability-safety-goals/goal-rs1-reliability-and-safety-guidance/sent_0001,0.566137566137566,5,0,1.0,0.07042253521126761
6,Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0003,0.563973063973064,6,0,1.0,0.08450704225352113
7,Microsoft/index/fairness-goals/goal-f3-minimization-of-stereotyping-demeaning-and-erasing-o/sent_0005,0.5462962962962963,7,0,1.0,0.09859154929577464
8,Microsoft/index/reliability-safety-goals/goal-rs1-reliability-and-safety-guidance/sent_0004,0.5398860398860399,8,0,1.0,0.11267605633802817
9,Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0001,0.537037037037037,9,0,1.0,0.1267605633802817
10,Microsoft/index/transparency-goals/goal-t3-disclosure-of-ai-interaction/sent_0003,0.5324074074074073,10,0,1.0,0.14084507042253522
11,Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0001,0.5285714285714286,11,0,1.0,0.15492957746478872
12,Microsoft/index/fairness-goals/goal-f2-allocation-of-resources-and-opportunities/sent_0004,0.5240079365079365,12,0,1.0,0.16901408450704225
13,Microsoft/index/transparency-goals/goal-t2-communication-to-stakeholders/sent_0002,0.5232804232804232,13,0,1.0,0.18309859154929578
14,Microsoft/index/transparency-goals/goal-t3-disclosure-of-ai-interaction/sent_0001,0.5123456790123456,14,0,1.0,0.19718309859154928
15,Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0002,0.4939874939874939,15,0,1.0,0.2112676056338028
16,Microsoft/index/fairness-goals/goal-f2-allocation-of-resources-and-opportunities/sent_0007,0.49259259259259264,16,0,1.0,0.22535211267605634
17,Microsoft/index/transparency-goals/goal-t3-disclosure-of-ai-interaction/sent_0002,0.49118165784832457,17,0,1.0,0.23943661971830985
18,Microsoft/index/reliability-safety-goals/goal-rs1-reliability-and-safety-guidance/sent_0005,0.4891067538126362,18,0,1.0,0.2535211267605634
19,Microsoft/index/fairness-goals/goal-f3-minimization-of-stereotyping-demeaning-and-erasing-o/sent_0004,0.48148148148148145,19,0,1.0,0.2676056338028169
20,Microsoft/index/accountability-goals/goal-a4-data-governance-and-management/sent_0002,0.47530864197530864,20,0,1.0,0.28169014084507044
21,Microsoft/index/transparency-goals/goal-t2-communication-to-stakeholders/sent_0003,0.4736746550472041,21,0,1.0,0.29577464788732394
22,Microsoft/index/reliability-safety-goals/goal-rs3-ongoing-monitoring-feedback-and-evaluation/sent_0006,0.47001763668430335,22,0,1.0,0.30985915492957744
23,Microsoft/index/fairness-goals/goal-f3-minimization-of-stereotyping-demeaning-and-erasing-o/sent_0002,0.465079365079365,23,0,1.0,0.323943661971831
24,Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0001,0.462962962962963,24,0,1.0,0.3380281690140845
25,Microsoft/index/reliability-safety-goals/goal-rs1-reliability-and-safety-guidance/sent_0006,0.46111111111111114,25,0,1.0,0.352112676056338
26,Microsoft/index/fairness-goals/goal-f2-allocation-of-resources-and-opportunities/sent_0002,0.45202020202020204,26,0,1.0,0.36619718309859156
27,Microsoft/index/reliability-safety-goals/goal-rs2-failures-and-remediations/sent_0001,0.43475783475783475,27,0,1.0,0.38028169014084506
28,Microsoft/index/fairness-goals/goal-f3-minimization-of-stereotyping-demeaning-and-erasing-o/sent_0001,0.4312169312169312,28,0,1.0,0.39436619718309857
29,Microsoft/index/reliability-safety-goals/goal-rs3-ongoing-monitoring-feedback-and-evaluation/sent_0001,0.426984126984127,29,0,1.0,0.4084507042253521
30,Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0003,0.4222222222222222,30,0,1.0,0.4225352112676056
31,Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0005,0.4221685453569512,31,0,1.0,0.43661971830985913
32,Microsoft/index/fairness-goals/goal-f1-quality-of-service/sent_0004,0.41975308641975306,32,0,1.0,0.4507042253521127
33,Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0001,0.4132996632996633,33,0,1.0,0.4647887323943662
34,Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0005,0.4037037037037037,34,0,1.0,0.4788732394366197
35,Microsoft/index/fairness-goals/goal-f2-allocation-of-resources-and-opportunities/sent_0001,0.40096618357487923,35,0,1.0,0.49295774647887325
36,Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0002,0.39814814814814814,36,0,1.0,0.5070422535211268
37,Microsoft/index/fairness-goals/goal-f2-allocation-of-resources-and-opportunities/sent_0003,0.39703065134099613,37,0,1.0,0.5211267605633803
38,Microsoft/index/inclusiveness-goal/goal-i1-accessibility-standards-compliance/sent_0001,0.39316239316239315,38,0,1.0,0.5352112676056338
39,Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0003,0.39078822412155745,39,0,1.0,0.5492957746478874
40,Microsoft/index/reliability-safety-goals/goal-rs3-ongoing-monitoring-feedback-and-evaluation/sent_0005,0.3891430646332607,40,0,1.0,0.5633802816901409
41,Microsoft/index/reliability-safety-goals/goal-rs3-ongoing-monitoring-feedback-and-evaluation/sent_0003,0.3888888888888889,41,0,1.0,0.5774647887323944
42,Microsoft/index/accountability-goals/goal-a4-data-governance-and-management/sent_0001,0.3873456790123457,42,0,1.0,0.5915492957746479
43,Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0002,0.3840455840455841,43,0,1.0,0.6056338028169014
44,Microsoft/index/fairness-goals/goal-f2-allocation-of-resources-and-opportunities/sent_0005,0.37606837606837606,44,0,1.0,0.6197183098591549
45,Microsoft/index/reliability-safety-goals/goal-rs3-ongoing-monitoring-feedback-and-evaluation/sent_0002,0.37566137566137564,45,0,1.0,0.6338028169014085
46,Microsoft/index/fairness-goals/goal-f1-quality-of-service/sent_0007,0.3703703703703704,46,0,1.0,0.647887323943662
47,Microsoft/index/reliability-safety-goals/goal-rs2-failures-and-remediations/sent_0003,0.36868686868686873,47,0,1.0,0.6619718309859155
48,Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0002,0.36777777777777776,48,0,1.0,0.676056338028169
49,Microsoft/index/fairness-goals/goal-f1-quality-of-service/sent_0006,0.35683760683760685,49,0,1.0,0.6901408450704225
50,Microsoft/index/fairness-goals/goal-f1-quality-of-service/sent_0003,0.35233918128654973,50,0,1.0,0.704225352112676
51,Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0004,0.3521202361782072,51,0,1.0,0.7183098591549296
52,Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0002,0.33585858585858586,52,0,1.0,0.7323943661971831
53,Microsoft/index/fairness-goals/goal-f1-quality-of-service/sent_0002,0.3297619047619047,53,0,1.0,0.7464788732394366
54,Microsoft/index/fairness-goals/goal-f1-quality-of-service/sent_0001,0.31790123456790126,54,0,1.0,0.7605633802816901
55,Microsoft/index/accountability-goals/goal-a4-data-governance-and-management/sent_0003,0.31096681096681095,55,0,1.0,0.7746478873239436
56,Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0004,0.2962962962962963,56,0,1.0,0.7887323943661971
57,Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0004,0.2943969610636277,57,0,1.0,0.8028169014084507
58,Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0003,0.29292929292929293,58,0,1.0,0.8169014084507042
59,Microsoft/index/privacy-security-goals/goal-ps2-security-policy-compliance/sent_0001,0.2909090909090909,59,0,1.0,0.8309859154929577
60,Microsoft/index/reliability-safety-goals/goal-rs1-reliability-and-safety-guidance/sent_0003,0.26666666666666666,60,0,1.0,0.8450704225352113
61,Microsoft/index/reliability-safety-goals/goal-rs2-failures-and-remediations/sent_0002,0.2601410934744268,61,0,1.0,0.8591549295774648
62,Microsoft/index/reliability-safety-goals/goal-rs3-ongoing-monitoring-feedback-and-evaluation/sent_0004,0.25649873475960433,62,0,1.0,0.8732394366197183
63,Microsoft/index/transparency-goals/goal-t3-disclosure-of-ai-interaction/sent_0004,0.24603174603174605,63,0,1.0,0.8873239436619719
64,Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0005,0.23076923076923073,64,0,1.0,0.9014084507042254
65,Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0003,0.14923747276688454,65,0,1.0,0.9154929577464789
66,Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0001,0.12962962962962965,66,0,1.0,0.9295774647887324
67,Microsoft/index/reliability-safety-goals/goal-rs1-reliability-and-safety-guidance/sent_0007,0.12645502645502646,67,0,1.0,0.9436619718309859
68,Microsoft/index/reliability-and-safety-guidance/sent_0002,0.0,68,0,1.0,0.9577464788732394
