span_id,has_prediction,chosen_rule_id,macro_f1,test_correct,hazard_exact,scope.actor_exact,scope.domain_exact,scope.context_exact,conditions_exact,exceptions_exact,requirements_exact,evidence_exact,evidence_signals_exact,hazard_f1,scope.actor_f1,scope.domain_f1,scope.context_f1,conditions_f1,exceptions_f1,requirements_f1,evidence_f1,evidence_signals_f1
Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0001,True,spans-passthrough-candidates/sent_0001-d25d8b50,0.4873829873829874,False,False,True,False,True,False,True,False,True,False,0.167,1.0,0.0,1.0,0.077,1.0,0.143,1.0,0.0
Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0002,True,spans-passthrough-candidates/sent_0002-a52e8031,0.3859649122807018,False,False,True,False,True,False,True,False,False,False,0.0,1.0,0.0,1.0,0.0,1.0,0.474,0.0,0.0
Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0003,True,spans-passthrough-candidates/sent_0003-226c8788,0.4311490978157645,False,False,True,False,False,True,True,True,False,False,0.0,1.0,0.0,0.0,0.769,1.0,0.611,0.5,0.0
Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0001,True,spans-passthrough-candidates/sent_0001-84292333,0.4748677248677249,False,False,True,False,False,True,True,False,True,False,0.0,1.0,0.0,0.0,0.857,1.0,0.417,1.0,0.0
Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0002,True,spans-passthrough-candidates/sent_0002-b62f73f9,0.408179012345679,False,False,True,False,True,False,True,False,False,False,0.0,1.0,0.0,1.0,0.111,1.0,0.562,0.0,0.0
Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0003,True,spans-passthrough-candidates/sent_0003-22bf0342,0.43253968253968256,False,False,True,False,False,False,True,False,True,False,0.143,1.0,0.0,0.0,0.3,1.0,0.45,1.0,0.0
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0001,True,spans-passthrough-candidates/sent_0001-c1796241,0.5634920634920635,False,False,True,False,False,True,True,True,True,False,0.143,1.0,0.0,0.0,1.0,1.0,0.929,1.0,0.0
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0002,True,spans-passthrough-candidates/sent_0002-69643298,0.2608695652173913,False,False,True,False,False,False,True,False,False,False,0.0,1.0,0.0,0.0,0.0,1.0,0.348,0.0,0.0
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0003,True,spans-passthrough-candidates/sent_0003-57b9250c,0.4722222222222222,False,False,True,False,True,True,True,False,False,False,0.0,1.0,0.0,1.0,1.0,1.0,0.25,0.0,0.0
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0004,False,,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
