span_id,has_prediction,chosen_rule_id,macro_f1,test_correct,hazard_exact,scope.actor_exact,scope.domain_exact,scope.context_exact,conditions_exact,exceptions_exact,requirements_exact,evidence_exact,evidence_signals_exact,hazard_f1,scope.actor_f1,scope.domain_f1,scope.context_f1,conditions_f1,exceptions_f1,requirements_f1,evidence_f1,evidence_signals_f1
Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0001,True,spans-passthrough-candidates/sent_0001-eac89394,0.3686274509803921,False,False,True,False,False,False,True,False,True,False,0.2,1.0,0.0,0.0,0.0,1.0,0.118,1.0,0.0
Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0002,True,spans-passthrough-candidates/sent_0002-78a26608,0.2828282828282828,False,False,True,False,False,False,True,False,False,False,0.0,1.0,0.0,0.0,0.0,1.0,0.545,0.0,0.0
Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0003,True,spans-passthrough-candidates/sent_0003-9641796c,0.40246354952237307,False,False,True,False,False,True,True,False,False,False,0.0,1.0,0.0,0.0,0.769,1.0,0.353,0.5,0.0
Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0001,True,spans-passthrough-candidates/sent_0001-a99aa2c1,0.3680555555555556,False,False,True,False,False,False,True,False,True,False,0.0,1.0,0.0,0.0,0.0,1.0,0.312,1.0,0.0
Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0002,True,spans-passthrough-candidates/sent_0002-52f6e372,0.3448773448773449,False,False,True,False,False,False,True,True,False,False,0.286,1.0,0.0,0.0,0.0,1.0,0.818,0.0,0.0
Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0003,True,spans-passthrough-candidates/sent_0003-4a4c578e,0.420959595959596,False,False,True,False,False,False,True,False,True,False,0.125,1.0,0.0,0.0,0.3,1.0,0.364,1.0,0.0
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0001,True,spans-passthrough-candidates/sent_0001-a9d61635,0.5698412698412699,False,False,True,False,False,True,True,True,True,False,0.2,1.0,0.0,0.0,1.0,1.0,0.929,1.0,0.0
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0002,True,spans-passthrough-candidates/sent_0002-4907b821,0.35555555555555557,False,False,True,False,False,False,True,True,False,False,0.4,1.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0003,True,spans-passthrough-candidates/sent_0003-4508a34e,0.358974358974359,False,False,True,False,False,True,True,False,False,False,0.0,1.0,0.0,0.0,1.0,1.0,0.231,0.0,0.0
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0004,True,spans-passthrough-candidates/sent_0004-92fdd43c,0.39753086419753086,False,True,True,False,False,True,True,False,False,False,0.6,1.0,0.0,0.0,0.7,1.0,0.278,0.0,0.0
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0005,True,spans-passthrough-candidates/sent_0005-4fe283db,0.32539682539682535,False,False,True,False,False,False,True,False,False,False,0.143,1.0,0.0,0.0,0.286,1.0,0.5,0.0,0.0
Microsoft/index/accountability-goals/goal-a4-data-governance-and-management/sent_0001,True,spans-passthrough-candidates/sent_0001-c58469fa,0.509700176366843,False,False,True,False,False,True,True,False,True,False,0.111,1.0,0.0,0.0,1.0,1.0,0.476,1.0,0.0
Microsoft/index/accountability-goals/goal-a4-data-governance-and-management/sent_0002,True,spans-passthrough-candidates/sent_0002-ecea1204,0.39351851851851855,False,False,True,False,False,False,True,False,True,False,0.167,1.0,0.0,0.0,0.0,1.0,0.375,1.0,0.0
Microsoft/index/accountability-goals/goal-a4-data-governance-and-management/sent_0003,True,spans-passthrough-candidates/sent_0003-a0a97e16,0.19769119769119767,False,False,False,False,False,False,True,True,False,False,0.143,0.0,0.0,0.0,0.0,1.0,0.636,0.0,0.0
Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0001,True,spans-passthrough-candidates/sent_0001-2e30c219,0.43732193732193736,False,False,True,False,False,True,True,True,False,False,0.167,1.0,0.0,0.0,1.0,1.0,0.769,0.0,0.0
Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0002,True,spans-passthrough-candidates/sent_0002-8d0e2e09,0.25614035087719295,False,False,True,False,False,False,True,False,False,False,0.2,1.0,0.0,0.0,0.0,1.0,0.105,0.0,0.0
Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0003,True,spans-passthrough-candidates/sent_0003-67fd0351,0.40404040404040403,False,False,True,False,False,True,True,True,False,False,0.0,1.0,0.0,0.0,1.0,1.0,0.636,0.0,0.0
Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0004,True,spans-passthrough-candidates/sent_0004-77486ec6,0.39814814814814814,False,False,False,False,False,True,True,False,True,False,0.0,0.0,0.0,0.0,1.0,1.0,0.583,1.0,0.0
Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0005,True,spans-passthrough-candidates/sent_0005-9adacc67,0.2222222222222222,False,False,False,False,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0001,True,spans-passthrough-candidates/sent_0001-c06d301d,0.1111111111111111,False,False,False,False,False,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0002,True,spans-passthrough-candidates/sent_0002-aec8e058,0.28758169934640526,False,False,True,False,False,False,True,False,False,False,0.0,1.0,0.0,0.0,0.0,1.0,0.588,0.0,0.0
Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0003,True,spans-passthrough-candidates/sent_0003-b340798e,0.37373737373737376,False,False,True,False,False,False,True,False,True,False,0.0,1.0,0.0,0.0,0.0,1.0,0.364,1.0,0.0
Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0004,True,spans-passthrough-candidates/sent_0004-6cd31e6b,0.3055555555555556,False,False,True,False,False,False,True,True,False,False,0.0,1.0,0.0,0.0,0.0,1.0,0.75,0.0,0.0
Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0005,True,spans-passthrough-candidates/sent_0005-a58bf674,0.39123533471359556,False,False,True,False,False,True,True,False,False,False,0.143,1.0,0.0,0.0,0.9,1.0,0.478,0.0,0.0
Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0006,True,spans-passthrough-candidates/sent_0006-e7fe0953,0.32098765432098764,False,False,True,False,False,False,True,True,False,False,0.0,1.0,0.0,0.0,0.0,1.0,0.889,0.0,0.0
Microsoft/index/transparency-goals/goal-t2-communication-to-stakeholders/sent_0001,True,spans-passthrough-candidates/sent_0001-92947531,0.4097222222222222,False,False,True,False,False,False,True,True,False,True,0.0,1.0,0.0,0.0,0.0,1.0,0.688,0.0,1.0
Microsoft/index/transparency-goals/goal-t2-communication-to-stakeholders/sent_0002,True,spans-passthrough-candidates/sent_0002-dea30272,0.34444444444444444,False,False,True,False,False,True,True,False,False,False,0.167,1.0,0.0,0.0,0.8,1.0,0.133,0.0,0.0
Microsoft/index/transparency-goals/goal-t2-communication-to-stakeholders/sent_0003,True,spans-passthrough-candidates/sent_0003-89aa7078,0.38617265087853325,False,False,True,False,False,True,True,False,False,False,0.286,1.0,0.0,0.0,0.955,1.0,0.235,0.0,0.0
Microsoft/index/transparency-goals/goal-t3-disclosure-of-ai-interaction/sent_0001,True,spans-passthrough-candidates/sent_0001-3a1d5139,0.2692307692307693,False,False,True,False,False,False,False,True,False,False,0.5,1.0,0.0,0.0,0.0,0.0,0.923,0.0,0.0
Microsoft/index/transparency-goals/goal-t3-disclosure-of-ai-interaction/sent_0002,True,spans-passthrough-candidates/sent_0002-29b5956f,0.30065359477124187,False,False,False,False,False,False,True,True,True,False,0.0,0.0,0.0,0.0,0.0,1.0,0.706,1.0,0.0
Microsoft/index/transparency-goals/goal-t3-disclosure-of-ai-interaction/sent_0003,True,spans-passthrough-candidates/sent_0003-699f0d84,0.416005291005291,False,False,True,False,False,True,True,True,False,False,0.125,1.0,0.0,0.0,1.0,1.0,0.619,0.0,0.0
