span_id,has_prediction,chosen_rule_id,macro_f1,hazard_exact,scope.actor_exact,scope.domain_exact,scope.context_exact,conditions_exact,exceptions_exact,requirements_exact,evidence_exact,evidence_signals_exact,hazard_f1,scope.actor_f1,scope.domain_f1,scope.context_f1,conditions_f1,exceptions_f1,requirements_f1,evidence_f1,evidence_signals_f1
EU_AI_2024_removed/when-assessing-the-condition-under-paragraph-1-point-b-the-c/sent_0001,False,,0.0,,,,,,,,,,,,,,,,,,
EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0001,True,spans-passthrough-candidates/sent_0001-42555919,0.522516835016835,False,True,False,False,True,True,True,True,False,0.333,1.0,0.0,0.0,0.688,1.0,0.682,1.0,0.0
EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0002,True,spans-passthrough-candidates/sent_0002-8e351078,0.5247863247863248,False,True,False,True,False,True,True,False,False,0.5,1.0,0.0,1.0,0.3,1.0,0.923,0.0,0.0
EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0003,True,spans-passthrough-candidates/sent_0003-bbf732c6,0.38395061728395063,False,False,False,True,False,True,True,False,False,0.222,0.0,0.0,1.0,0.4,1.0,0.833,0.0,0.0
EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0001,True,spans-passthrough-candidates/sent_0001-15d40ad9,0.4715219421101774,False,False,False,True,False,True,False,True,False,0.286,0.0,0.0,1.0,0.0,1.0,0.529,1.0,0.429
EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0002,True,spans-passthrough-candidates/sent_0002-d9de2c4d,0.7014474244359302,False,True,True,True,False,True,True,True,False,0.2,1.0,1.0,1.0,0.389,1.0,0.724,1.0,0.0
EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0003,True,spans-passthrough-candidates/sent_0003-e3fa191f,0.5429829339143065,False,True,False,True,False,True,False,True,False,0.111,1.0,0.0,1.0,0.188,1.0,0.588,1.0,0.0
EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0004,True,spans-passthrough-candidates/sent_0004-08acb69f,0.5530376868096165,False,True,False,True,False,True,False,True,False,0.111,1.0,0.0,1.0,0.158,1.0,0.208,1.0,0.5
EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0001,True,spans-passthrough-candidates/sent_0001-007bcc1e,0.4477466977466978,False,True,False,True,False,True,False,False,False,0.25,1.0,0.0,1.0,0.128,1.0,0.152,0.0,0.5
EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0002,True,spans-passthrough-candidates/sent_0002-2ce437fb,0.5427350427350428,False,True,False,True,False,True,False,True,False,0.0,1.0,0.0,1.0,0.0,1.0,0.385,1.0,0.5
EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0003,True,spans-passthrough-candidates/sent_0003-f105bd17,0.44312169312169314,False,True,False,False,False,True,False,False,False,0.429,1.0,0.0,0.0,0.333,1.0,0.476,0.5,0.25
EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0004,True,spans-passthrough-candidates/sent_0004-797cb2cf,0.39337231968810915,False,False,False,False,False,True,False,True,False,0.4,0.0,0.0,0.0,0.474,1.0,0.333,1.0,0.333
