sim	a_rule_id	a_req	b_rule_id	b_req
0.9402	spans-passthrough-candidates/sent_0013-915cf3d1	org must obtain an independent third-party audit of the impact assessment before introduction of the AI technology.	spans-passthrough-candidates/sent_0026-23246f15	Ensure impact assessments are audited by an independent third party before introduction of an AI technology.
0.9322	spans-passthrough-candidates/sent_0013-915cf3d1	org must obtain an independent third-party audit of the impact assessment before introduction of the AI technology.	spans-passthrough-candidates/sent_0026-70886547	Ensure impact assessments are audited by an independent third party after introduction of an AI technology.
0.9285	spans-passthrough-candidates/sent_0022-ec5c8990	developer shall not conduct experiments of LMMs for clinical decision support outside an authorized clinical trial setting.	spans-passthrough-candidates/sent_0022-1b1e333e	developer shall conduct experimental uses of LMMs under appropriate controls designed to protect patients and to produce clinically relevant outcomes.
0.9136	spans-passthrough-candidates/sent_0024-bcb2dcd1	Entity must address the causes of any negative consequences of the technologies.	spans-passthrough-candidates/sent_0024-11e0cbcf	Entity must protect patients and their families from any current or future harm caused by the technologies.
0.8788	spans-passthrough-candidates/sent_0002-cfa0ca7e	developer and provider shall identify, evaluate and mitigate system-wide bias in the LMM prior to deployment when the LMM is to be used in health care.	spans-passthrough-candidates/sent_0002-8f1ae890	developer and provider shall identify and mitigate risks of manipulation and automation bias in the LMM prior to deployment when the LMM is to be used in health care.
0.8739	spans-passthrough-candidates/sent_0013-5d67516b	org must publish the results of the impact assessment while accounting for proprietary or sensitive information.	spans-passthrough-candidates/sent_0013-a09b5d98	org must make impact assessment results available to the public and to groups that may be affected.
0.8681	spans-passthrough-candidates/sent_0013-5d67516b	org must publish the results of the impact assessment while accounting for proprietary or sensitive information.	spans-passthrough-candidates/sent_0026-c723d553	Ensure impact assessments are published in the public domain.
0.8639	spans-passthrough-candidates/sent_0009-608d9b45	developer shall implement measures to prevent accidental or prompt-based disclosure of personal information.	spans-passthrough-candidates/sent_0009-e4187f97	developer shall prohibit their own employees from using such algorithms when personal information may be disclosed accidentally or through prompts.
0.8601	spans-passthrough-candidates/sent_0013-a09b5d98	org must make impact assessment results available to the public and to groups that may be affected.	spans-passthrough-candidates/sent_0026-c723d553	Ensure impact assessments are published in the public domain.
0.8593	spans-passthrough-candidates/sent_0013-49481ab7	org must conduct an impact assessment that addresses ethics, human rights, safety and data protection throughout the life cycle of the AI system.	spans-passthrough-candidates/sent_0013-915cf3d1	org must obtain an independent third-party audit of the impact assessment before introduction of the AI technology.
0.8367	spans-passthrough-candidates/sent_0001-f6b4d0c1	developer shall address the novel risks introduced by the use of general-purpose foundation models (LMMs) in the situations: when a user prompts an LMM to generate health-care related outputs, or when the developer permits a provider to integrate the LMM into a health-care related application, product or service.	spans-passthrough-candidates/sent_0001-4faf8524	developer shall address the risks associated with use of LMMs in health care.
