unit_id,span_id,kind,page,section,section_path,text,prev_sentence,next_sentence,window_text,pdf_name,doc_id
1,AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-1-risks-to-be-addressed-when-providing-a-health-care-servi/sent_0001,sentence,1,5.1 	Risks to be addressed when providing a health-care service or application with a general-purpose foundation model (LMM),5 	Provision with general-purpose foundation models (LMMs) / 5.1 	Risks to be addressed when providing a health-care service or application with a general-purpose foundation model (LMM),"45
5   Provision with general-purpose foundation models (LMMs)
5 Provision with general-purpose
foundation models (LMMs)
The uses of general-purpose foundation models depend on whether a user prompts an
LMM to generate health-care related outputs or a provider is permitted by the developer
to integrate the LMM into a health-care related application, product or service.",,"Either
case introduces novel risks that must be addressed by developers, providers or both.","[TARGET] 45
5   Provision with general-purpose foundation models (LMMs)
5 Provision with general-purpose
foundation models (LMMs)
The uses of general-purpose foundation models depend on whether a user prompts an
LMM to generate health-care related outputs or a provider is permitted by the developer
to integrate the LMM into a health-care related application, product or service. [NEXT] Either
case introduces novel risks that must be addressed by developers, providers or both.",AI in health - WHO_removed,AI in health - WHO_removed
2,AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-1-risks-to-be-addressed-when-providing-a-health-care-servi/sent_0002,sentence,1,5.1 	Risks to be addressed when providing a health-care service or application with a general-purpose foundation model (LMM),5 	Provision with general-purpose foundation models (LMMs) / 5.1 	Risks to be addressed when providing a health-care service or application with a general-purpose foundation model (LMM),"Either
case introduces novel risks that must be addressed by developers, providers or both.","45
5   Provision with general-purpose foundation models (LMMs)
5 Provision with general-purpose
foundation models (LMMs)
The uses of general-purpose foundation models depend on whether a user prompts an
LMM to generate health-care related outputs or a provider is permitted by the developer
to integrate the LMM into a health-care related application, product or service.","Governments are responsible for assessing and regulating uses of such technologies before
their deployment.
5.1
Risks to be addressed when providing a health-care
service or application with a general-purpose foundation
model (LMM)
There is likely to be disagreement about whether both general-purpose foundation models
and applications should be assessed and approved when they are used in a product for
health-care purposes or used directly by a user.","[PREV] 45
5   Provision with general-purpose foundation models (LMMs)
5 Provision with general-purpose
foundation models (LMMs)
The uses of general-purpose foundation models depend on whether a user prompts an
LMM to generate health-care related outputs or a provider is permitted by the developer
to integrate the LMM into a health-care related application, product or service. [TARGET] Either
case introduces novel risks that must be addressed by developers, providers or both. [NEXT] Governments are responsible for assessing and regulating uses of such technologies before
their deployment.
5.1
Risks to be addressed when providing a health-care
service or application with a general-purpose foundation
model (LMM)
There is likely to be disagreement about whether both general-purpose foundation models
and applications should be assessed and approved when they are used in a product for
health-care purposes or used directly by a user.",AI in health - WHO_removed,AI in health - WHO_removed
3,AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-1-risks-to-be-addressed-when-providing-a-health-care-servi/sent_0003,sentence,1,5.1 	Risks to be addressed when providing a health-care service or application with a general-purpose foundation model (LMM),5 	Provision with general-purpose foundation models (LMMs) / 5.1 	Risks to be addressed when providing a health-care service or application with a general-purpose foundation model (LMM),"Governments are responsible for assessing and regulating uses of such technologies before
their deployment.
5.1
Risks to be addressed when providing a health-care
service or application with a general-purpose foundation
model (LMM)
There is likely to be disagreement about whether both general-purpose foundation models
and applications should be assessed and approved when they are used in a product for
health-care purposes or used directly by a user.","Either
case introduces novel risks that must be addressed by developers, providers or both.","Several of the largest technology companies
have been quietly lobbying government officials (for example in the European Union) to
abandon an evaluation framework for LMMs and to focus oversight instead on applications
that might be used in ways that a government might consider ""risky"" (145).","[PREV] Either
case introduces novel risks that must be addressed by developers, providers or both. [TARGET] Governments are responsible for assessing and regulating uses of such technologies before
their deployment.
5.1
Risks to be addressed when providing a health-care
service or application with a general-purpose foundation
model (LMM)
There is likely to be disagreement about whether both general-purpose foundation models
and applications should be assessed and approved when they are used in a product for
health-care purposes or used directly by a user. [NEXT] Several of the largest technology companies
have been quietly lobbying government officials (for example in the European Union) to
abandon an evaluation framework for LMMs and to focus oversight instead on applications
that might be used in ways that a government might consider ""risky"" (145).",AI in health - WHO_removed,AI in health - WHO_removed
4,AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-1-risks-to-be-addressed-when-providing-a-health-care-servi/sent_0004,sentence,1,5.1 	Risks to be addressed when providing a health-care service or application with a general-purpose foundation model (LMM),5 	Provision with general-purpose foundation models (LMMs) / 5.1 	Risks to be addressed when providing a health-care service or application with a general-purpose foundation model (LMM),"Several of the largest technology companies
have been quietly lobbying government officials (for example in the European Union) to
abandon an evaluation framework for LMMs and to focus oversight instead on applications
that might be used in ways that a government might consider ""risky"" (145).","Governments are responsible for assessing and regulating uses of such technologies before
their deployment.
5.1
Risks to be addressed when providing a health-care
service or application with a general-purpose foundation
model (LMM)
There is likely to be disagreement about whether both general-purpose foundation models
and applications should be assessed and approved when they are used in a product for
health-care purposes or used directly by a user.","This would concern
both providers that generate and market health-care applications that include the foundation
model, and users, such as a provider or patient, who choose to use the LMM directly or
indirectly via an AI system.","[PREV] Governments are responsible for assessing and regulating uses of such technologies before
their deployment.
5.1
Risks to be addressed when providing a health-care
service or application with a general-purpose foundation
model (LMM)
There is likely to be disagreement about whether both general-purpose foundation models
and applications should be assessed and approved when they are used in a product for
health-care purposes or used directly by a user. [TARGET] Several of the largest technology companies
have been quietly lobbying government officials (for example in the European Union) to
abandon an evaluation framework for LMMs and to focus oversight instead on applications
that might be used in ways that a government might consider ""risky"" (145). [NEXT] This would concern
both providers that generate and market health-care applications that include the foundation
model, and users, such as a provider or patient, who choose to use the LMM directly or
indirectly via an AI system.",AI in health - WHO_removed,AI in health - WHO_removed
5,AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-1-risks-to-be-addressed-when-providing-a-health-care-servi/sent_0005,sentence,1,5.1 	Risks to be addressed when providing a health-care service or application with a general-purpose foundation model (LMM),5 	Provision with general-purpose foundation models (LMMs) / 5.1 	Risks to be addressed when providing a health-care service or application with a general-purpose foundation model (LMM),"This would concern
both providers that generate and market health-care applications that include the foundation
model, and users, such as a provider or patient, who choose to use the LMM directly or
indirectly via an AI system.","Several of the largest technology companies
have been quietly lobbying government officials (for example in the European Union) to
abandon an evaluation framework for LMMs and to focus oversight instead on applications
that might be used in ways that a government might consider ""risky"" (145).","The companies argue that oversight of the general-purpose
foundation model would ""completely shift the burden"" to developers and that others in the
value chain should also assume responsibility (145).","[PREV] Several of the largest technology companies
have been quietly lobbying government officials (for example in the European Union) to
abandon an evaluation framework for LMMs and to focus oversight instead on applications
that might be used in ways that a government might consider ""risky"" (145). [TARGET] This would concern
both providers that generate and market health-care applications that include the foundation
model, and users, such as a provider or patient, who choose to use the LMM directly or
indirectly via an AI system. [NEXT] The companies argue that oversight of the general-purpose
foundation model would ""completely shift the burden"" to developers and that others in the
value chain should also assume responsibility (145).",AI in health - WHO_removed,AI in health - WHO_removed
6,AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-1-risks-to-be-addressed-when-providing-a-health-care-servi/sent_0006,sentence,1,5.1 	Risks to be addressed when providing a health-care service or application with a general-purpose foundation model (LMM),5 	Provision with general-purpose foundation models (LMMs) / 5.1 	Risks to be addressed when providing a health-care service or application with a general-purpose foundation model (LMM),"The companies argue that oversight of the general-purpose
foundation model would ""completely shift the burden"" to developers and that others in the
value chain should also assume responsibility (145).","This would concern
both providers that generate and market health-care applications that include the foundation
model, and users, such as a provider or patient, who choose to use the LMM directly or
indirectly via an AI system.","While it may not be appropriate to hold the developer of a general-purpose foundation
model responsible for all uses of the LMM, it would also be inappropriate to place the burden
solely on providers, deployers or users, as they will not have been involved in development
of the model and may not understand the associated limitations and risks.","[PREV] This would concern
both providers that generate and market health-care applications that include the foundation
model, and users, such as a provider or patient, who choose to use the LMM directly or
indirectly via an AI system. [TARGET] The companies argue that oversight of the general-purpose
foundation model would ""completely shift the burden"" to developers and that others in the
value chain should also assume responsibility (145). [NEXT] While it may not be appropriate to hold the developer of a general-purpose foundation
model responsible for all uses of the LMM, it would also be inappropriate to place the burden
solely on providers, deployers or users, as they will not have been involved in development
of the model and may not understand the associated limitations and risks.",AI in health - WHO_removed,AI in health - WHO_removed
7,AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-1-risks-to-be-addressed-when-providing-a-health-care-servi/sent_0007,sentence,1,5.1 	Risks to be addressed when providing a health-care service or application with a general-purpose foundation model (LMM),5 	Provision with general-purpose foundation models (LMMs) / 5.1 	Risks to be addressed when providing a health-care service or application with a general-purpose foundation model (LMM),"While it may not be appropriate to hold the developer of a general-purpose foundation
model responsible for all uses of the LMM, it would also be inappropriate to place the burden
solely on providers, deployers or users, as they will not have been involved in development
of the model and may not understand the associated limitations and risks.","The companies argue that oversight of the general-purpose
foundation model would ""completely shift the burden"" to developers and that others in the
value chain should also assume responsibility (145).","This would allow
developers of general-purpose foundation models, despite their significant power, resources,
oversight and understanding of LMMs, to escape responsibility and would open a ""massive
hole"" in attempts to govern AI technologies for health (145).","[PREV] The companies argue that oversight of the general-purpose
foundation model would ""completely shift the burden"" to developers and that others in the
value chain should also assume responsibility (145). [TARGET] While it may not be appropriate to hold the developer of a general-purpose foundation
model responsible for all uses of the LMM, it would also be inappropriate to place the burden
solely on providers, deployers or users, as they will not have been involved in development
of the model and may not understand the associated limitations and risks. [NEXT] This would allow
developers of general-purpose foundation models, despite their significant power, resources,
oversight and understanding of LMMs, to escape responsibility and would open a ""massive
hole"" in attempts to govern AI technologies for health (145).",AI in health - WHO_removed,AI in health - WHO_removed
8,AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-1-risks-to-be-addressed-when-providing-a-health-care-servi/sent_0008,sentence,1,5.1 	Risks to be addressed when providing a health-care service or application with a general-purpose foundation model (LMM),5 	Provision with general-purpose foundation models (LMMs) / 5.1 	Risks to be addressed when providing a health-care service or application with a general-purpose foundation model (LMM),"This would allow
developers of general-purpose foundation models, despite their significant power, resources,
oversight and understanding of LMMs, to escape responsibility and would open a ""massive
hole"" in attempts to govern AI technologies for health (145).","While it may not be appropriate to hold the developer of a general-purpose foundation
model responsible for all uses of the LMM, it would also be inappropriate to place the burden
solely on providers, deployers or users, as they will not have been involved in development
of the model and may not understand the associated limitations and risks.",A developer may seek to avoid use of an LMM for a health-care purpose (or another use).,"[PREV] While it may not be appropriate to hold the developer of a general-purpose foundation
model responsible for all uses of the LMM, it would also be inappropriate to place the burden
solely on providers, deployers or users, as they will not have been involved in development
of the model and may not understand the associated limitations and risks. [TARGET] This would allow
developers of general-purpose foundation models, despite their significant power, resources,
oversight and understanding of LMMs, to escape responsibility and would open a ""massive
hole"" in attempts to govern AI technologies for health (145). [NEXT] A developer may seek to avoid use of an LMM for a health-care purpose (or another use).",AI in health - WHO_removed,AI in health - WHO_removed
9,AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-1-risks-to-be-addressed-when-providing-a-health-care-servi/sent_0009,sentence,1,5.1 	Risks to be addressed when providing a health-care service or application with a general-purpose foundation model (LMM),5 	Provision with general-purpose foundation models (LMMs) / 5.1 	Risks to be addressed when providing a health-care service or application with a general-purpose foundation model (LMM),A developer may seek to avoid use of an LMM for a health-care purpose (or another use).,"This would allow
developers of general-purpose foundation models, despite their significant power, resources,
oversight and understanding of LMMs, to escape responsibility and would open a ""massive
hole"" in attempts to govern AI technologies for health (145).","If
a developer does not wish an LMM to be used for health or medical purposes (especially in
clinical medicine), it could discourage such use either by preventing entities that develop","[PREV] This would allow
developers of general-purpose foundation models, despite their significant power, resources,
oversight and understanding of LMMs, to escape responsibility and would open a ""massive
hole"" in attempts to govern AI technologies for health (145). [TARGET] A developer may seek to avoid use of an LMM for a health-care purpose (or another use). [NEXT] If
a developer does not wish an LMM to be used for health or medical purposes (especially in
clinical medicine), it could discourage such use either by preventing entities that develop",AI in health - WHO_removed,AI in health - WHO_removed
10,AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-1-risks-to-be-addressed-when-providing-a-health-care-servi/sent_0010,sentence,1,5.1 	Risks to be addressed when providing a health-care service or application with a general-purpose foundation model (LMM),5 	Provision with general-purpose foundation models (LMMs) / 5.1 	Risks to be addressed when providing a health-care service or application with a general-purpose foundation model (LMM),"If
a developer does not wish an LMM to be used for health or medical purposes (especially in
clinical medicine), it could discourage such use either by preventing entities that develop",A developer may seek to avoid use of an LMM for a health-care purpose (or another use).,,"[PREV] A developer may seek to avoid use of an LMM for a health-care purpose (or another use). [TARGET] If
a developer does not wish an LMM to be used for health or medical purposes (especially in
clinical medicine), it could discourage such use either by preventing entities that develop",AI in health - WHO_removed,AI in health - WHO_removed
