k,span_id,score,tp,fp,precision,recall
0,,1.0,0,0,1.0,0.0
1,Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0003,0.5954545454545455,1,0,1.0,0.014084507042253521
2,Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0001,0.5925925925925926,2,0,1.0,0.028169014084507043
3,Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0003,0.5888888888888889,3,0,1.0,0.04225352112676056
4,Microsoft/index/fairness-goals/goal-f3-minimization-of-stereotyping-demeaning-and-erasing-o/sent_0004,0.587962962962963,4,0,1.0,0.056338028169014086
5,Microsoft/index/reliability-safety-goals/goal-rs1-reliability-and-safety-guidance/sent_0004,0.5851851851851851,5,0,1.0,0.07042253521126761
6,Microsoft/index/reliability-safety-goals/goal-rs1-reliability-and-safety-guidance/sent_0001,0.5714285714285714,6,0,1.0,0.08450704225352113
7,Microsoft/index/reliability-safety-goals/goal-rs1-reliability-and-safety-guidance/sent_0005,0.5594135802469136,7,0,1.0,0.09859154929577464
8,Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0001,0.5523504273504273,8,0,1.0,0.11267605633802817
9,Microsoft/index/transparency-goals/goal-t3-disclosure-of-ai-interaction/sent_0002,0.5490873648768386,9,0,1.0,0.1267605633802817
10,Microsoft/index/reliability-safety-goals/goal-rs2-failures-and-remediations/sent_0001,0.5363756613756614,10,0,1.0,0.14084507042253522
11,Microsoft/index/accountability-goals/goal-a4-data-governance-and-management/sent_0001,0.5345860566448802,11,0,1.0,0.15492957746478872
12,Microsoft/index/inclusiveness-goal/goal-i1-accessibility-standards-compliance/sent_0001,0.5277777777777778,12,0,1.0,0.16901408450704225
13,Microsoft/index/fairness-goals/goal-f3-minimization-of-stereotyping-demeaning-and-erasing-o/sent_0003,0.5221164021164021,13,0,1.0,0.18309859154929578
14,Microsoft/index/fairness-goals/goal-f2-allocation-of-resources-and-opportunities/sent_0006,0.5213675213675214,14,0,1.0,0.19718309859154928
15,Microsoft/index/fairness-goals/goal-f2-allocation-of-resources-and-opportunities/sent_0005,0.514957264957265,15,0,1.0,0.2112676056338028
16,Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0001,0.5092592592592592,16,0,1.0,0.22535211267605634
17,Microsoft/index/fairness-goals/goal-f3-minimization-of-stereotyping-demeaning-and-erasing-o/sent_0002,0.503968253968254,17,0,1.0,0.23943661971830985
18,Microsoft/index/transparency-goals/goal-t3-disclosure-of-ai-interaction/sent_0003,0.5,18,0,1.0,0.2535211267605634
19,Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0004,0.4864197530864198,19,0,1.0,0.2676056338028169
20,Microsoft/index/transparency-goals/goal-t2-communication-to-stakeholders/sent_0002,0.48148148148148157,20,0,1.0,0.28169014084507044
21,Microsoft/index/fairness-goals/goal-f2-allocation-of-resources-and-opportunities/sent_0004,0.47710758377425055,21,0,1.0,0.29577464788732394
22,Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0002,0.47195767195767196,22,0,1.0,0.30985915492957744
23,Microsoft/index/reliability-safety-goals/goal-rs3-ongoing-monitoring-feedback-and-evaluation/sent_0001,0.46859903381642515,23,0,1.0,0.323943661971831
24,Microsoft/index/reliability-safety-goals/goal-rs2-failures-and-remediations/sent_0003,0.46481481481481485,24,0,1.0,0.3380281690140845
25,Microsoft/index/reliability-safety-goals/goal-rs1-reliability-and-safety-guidance/sent_0006,0.46415152212253663,25,0,1.0,0.352112676056338
26,Microsoft/index/fairness-goals/goal-f2-allocation-of-resources-and-opportunities/sent_0001,0.45750581499373777,26,0,1.0,0.36619718309859156
27,Microsoft/index/reliability-safety-goals/goal-rs3-ongoing-monitoring-feedback-and-evaluation/sent_0006,0.4419006919006919,27,0,1.0,0.38028169014084506
28,Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0003,0.4074074074074074,28,0,1.0,0.39436619718309857
29,Microsoft/index/fairness-goals/goal-f3-minimization-of-stereotyping-demeaning-and-erasing-o/sent_0001,0.4052910052910053,29,0,1.0,0.4084507042253521
30,Microsoft/index/fairness-goals/goal-f2-allocation-of-resources-and-opportunities/sent_0007,0.39562289562289565,30,0,1.0,0.4225352112676056
31,Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0002,0.37142857142857144,31,0,1.0,0.43661971830985913
