k,span_id,score,tp,fp,precision,recall
0,,1.0,0,0,1.0,0.0
1,EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0001,0.5364057239057238,1,0,1.0,0.05
2,EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0002,0.5154094045025417,2,0,1.0,0.1
3,EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0002,0.5051724137931034,3,0,1.0,0.15
4,EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0001,0.49546880213546884,4,0,1.0,0.2
5,EU_AI_2024_removed/v-when-appropriate-its-performance-regarding-specific-person/sent_0002,0.4884707287933094,5,0,1.0,0.25
6,EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0002,0.47027972027972026,6,0,1.0,0.3
7,EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0004,0.4617283950617284,7,0,1.0,0.35
8,EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0003,0.45370370370370366,8,0,1.0,0.4
9,EU_AI_2024_removed/the-output-of-the-high-risk-ai-system/sent_0002,0.4492337164750958,9,0,1.0,0.45
10,EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0003,0.43783068783068785,10,0,1.0,0.5
11,EU_AI_2024_removed/article-12/sent_0003,0.4372549019607843,11,0,1.0,0.55
12,EU_AI_2024_removed/the-output-of-the-high-risk-ai-system/sent_0003,0.43658810325476993,12,0,1.0,0.6
13,EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0003,0.42207792207792205,13,0,1.0,0.65
14,EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0004,0.39722222222222225,14,0,1.0,0.7
15,EU_AI_2024_removed/article-12/sent_0002,0.3802469135802469,15,0,1.0,0.75
16,EU_AI_2024_removed/article-12/sent_0001,0.27905982905982907,16,0,1.0,0.8
17,EU_AI_2024_removed/the-output-of-the-high-risk-ai-system/sent_0001,0.2761610817166373,17,0,1.0,0.85
18,EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0001,0.24074074074074078,18,0,1.0,0.9
19,EU_AI_2024_removed/v-when-appropriate-its-performance-regarding-specific-person/sent_0001,0.22764227642276424,19,0,1.0,0.95
