sim	a_rule_id	a_req	b_rule_id	b_req
0.9482	spans-passthrough-candidates/sent_0001-007bcc1e	provider shall ensure that the special categories of personal data are subject to technical limitations on re-use and that state-of-the-art security and privacy-preserving measures, including pseudonymisation, are implemented.	spans-passthrough-candidates/sent_0001-8fd22e6d	provider shall implement measures to ensure that the special categories of personal data processed are secured and protected with suitable safeguards, including strict controls and documentation of access, and that only authorised persons with appropriate confidentiality obligations have access to those personal data to avoid misuse.
0.9266	spans-passthrough-candidates/sent_0001-b8e5df2f	developer shall enable logging capabilities to record events relevant for identifying situations that may result in the high-risk AI system presenting a risk or in a substantial modification.	spans-passthrough-candidates/sent_0001-9376311c	developer shall enable logging capabilities to record events relevant for monitoring the operation of high-risk AI systems referred to in Article 26(5).
0.9223	spans-passthrough-candidates/sent_0001-007bcc1e	provider shall ensure that the special categories of personal data are subject to technical limitations on re-use and that state-of-the-art security and privacy-preserving measures, including pseudonymisation, are implemented.	spans-passthrough-candidates/sent_0001-335fd6ec	provider shall not transmit, transfer or otherwise allow access to the special categories of personal data by other parties.
0.9218	spans-passthrough-candidates/sent_0002-3a014ff2	Developer shall design and develop high-risk AI systems to achieve an appropriate level of accuracy.	spans-passthrough-candidates/sent_0002-5deddc14	Developer shall design and develop high-risk AI systems to achieve an appropriate level of robustness.
0.9087	spans-passthrough-candidates/sent_0004-797cb2cf	Draw up a single set of technical documentation.	spans-passthrough-candidates/sent_0004-35e87ebc	Ensure the technical documentation contains all the information set out in paragraph 1.
0.9081	spans-passthrough-candidates/sent_0002-3a014ff2	Developer shall design and develop high-risk AI systems to achieve an appropriate level of accuracy.	spans-passthrough-candidates/sent_0002-1ebb3cfd	Developer shall design and develop high-risk AI systems to achieve an appropriate level of cybersecurity.
0.9079	spans-passthrough-candidates/sent_0003-0e497608	provider shall include in the instructions for use any known or foreseeable circumstance, related to the use of the high-risk AI system, "which may lead to risks to the health".	spans-passthrough-candidates/sent_0003-08643dfc	provider shall include in the instructions for use the characteristics, capabilities and limitations of performance of the high-risk AI system.
0.9077	spans-passthrough-candidates/sent_0001-2200653b	provider shall verify and document that bias detection and correction cannot be effectively fulfilled by processing other data, including synthetic or anonymised data.	spans-passthrough-candidates/sent_0001-396b879b	provider shall ensure that the records of processing activities pursuant to Regulations (EU) 2016/679 and (EU) 2018/1725 and Directive (EU) 2016/680 include the reasons why the processing of special categories of personal data was strictly necessary to detect and correct biases and why that objective could not be achieved by processing other data.
0.9045	spans-passthrough-candidates/sent_0002-3a014ff2	Developer shall design and develop high-risk AI systems to achieve an appropriate level of accuracy.	spans-passthrough-candidates/sent_0002-b6d603a4	Developer shall design and develop high-risk AI systems so that they perform consistently in accuracy, robustness, and cybersecurity throughout their lifecycle.
0.9030	spans-passthrough-candidates/sent_0003-0e497608	provider shall include in the instructions for use any known or foreseeable circumstance, related to the use of the high-risk AI system, "which may lead to risks to the health".	spans-passthrough-candidates/sent_0003-e3d926e3	provider shall include in the instructions for use the intended purpose of the high-risk AI system.
0.9013	spans-passthrough-candidates/sent_0002-0e8c2517	Provider shall provide the high-risk AI system to the deployer in such a way that natural persons assigned human oversight are enabled to properly understand the system's relevant capacities and limitations and to duly monitor its operation, including detecting and addressing anomalies, dysfunctions and unexpected performance.	spans-passthrough-candidates/sent_0002-564213b1	Provider shall provide the high-risk AI system to the deployer in such a way that natural persons assigned human oversight are enabled to remain aware of the tendency to automatically rely or over-rely on the output produced by the high-risk AI system (automation bias).
0.8993	spans-passthrough-candidates/sent_0001-9e763bba	Developer shall test high-risk AI systems for the purpose of identifying the most appropriate and targeted risk management measures.	spans-passthrough-candidates/sent_0001-15d40ad9	Developer shall test high-risk AI systems to verify they are in compliance with the requirements set out in this Section.
0.8991	spans-passthrough-candidates/sent_0004-797cb2cf	Draw up a single set of technical documentation.	spans-passthrough-candidates/sent_0004-6f15f2b8	Ensure the technical documentation contains the information required under those legal acts.
0.8985	spans-passthrough-candidates/sent_0001-9e763bba	Developer shall test high-risk AI systems for the purpose of identifying the most appropriate and targeted risk management measures.	spans-passthrough-candidates/sent_0001-47119b62	Developer shall test high-risk AI systems to verify they perform consistently for their intended purpose.
0.8973	spans-passthrough-candidates/sent_0001-47119b62	Developer shall test high-risk AI systems to verify they perform consistently for their intended purpose.	spans-passthrough-candidates/sent_0002-b6d603a4	Developer shall design and develop high-risk AI systems so that they perform consistently in accuracy, robustness, and cybersecurity throughout their lifecycle.
0.8956	spans-passthrough-candidates/sent_0001-30a4298d	developer shall implement technical capability to automatically record events (logs) over the lifetime of the high-risk AI system.	spans-passthrough-candidates/sent_0001-b8e5df2f	developer shall enable logging capabilities to record events relevant for identifying situations that may result in the high-risk AI system presenting a risk or in a substantial modification.
0.8944	spans-passthrough-candidates/sent_0001-47119b62	Developer shall test high-risk AI systems to verify they perform consistently for their intended purpose.	spans-passthrough-candidates/sent_0001-15d40ad9	Developer shall test high-risk AI systems to verify they are in compliance with the requirements set out in this Section.
0.8926	spans-passthrough-candidates/sent_0002-211aaa37	org shall identify and analyse the known and reasonably foreseeable risks that the high-risk AI system can pose to safety when the system is used in accordance with its intended purpose.	spans-passthrough-candidates/sent_0002-454ce848	org shall estimate and evaluate the risks that may emerge under intended use and under conditions of reasonably foreseeable misuse.
0.8917	spans-passthrough-candidates/sent_0004-3f2201cc	developer shall ensure that training, validation and testing data sets are relevant to the intended purpose.	spans-passthrough-candidates/sent_0004-3ca1ca83	developer shall ensure that training, validation and testing data sets are sufficiently representative in view of the intended purpose.
0.8882	spans-passthrough-candidates/sent_0003-b48ef94b	developer shall develop high-risk AI systems that continue to learn after being placed on the market or put into service to eliminate or reduce as far as possible the risk of possibly biased outputs influencing input for future operations.	spans-passthrough-candidates/sent_0003-d7a19027	developer shall ensure that any feedback loops in high-risk AI systems that continue to learn after being placed on the market or put into service are duly addressed with appropriate mitigation measures.
0.8873	spans-passthrough-candidates/sent_0001-2200653b	provider shall verify and document that bias detection and correction cannot be effectively fulfilled by processing other data, including synthetic or anonymised data.	spans-passthrough-candidates/sent_0001-335fd6ec	provider shall not transmit, transfer or otherwise allow access to the special categories of personal data by other parties.
0.8870	spans-passthrough-candidates/sent_0003-c6530ffa	The developer shall examine training, validation and testing data sets in view of possible biases that are likely to affect the health and safety of persons, have a negative impact on fundamental rights or lead to discrimination prohibited under Union law.	spans-passthrough-candidates/sent_0003-e3fa191f	The developer shall implement appropriate measures to detect, prevent and mitigate possible biases identified according to point (f).
0.8855	spans-passthrough-candidates/sent_0002-33a93b6b	Provider shall identify and build measures into the high-risk AI system when technically feasible before it is placed on the market or put into service.	spans-passthrough-candidates/sent_0002-39119645	Provider shall identify, before placing the high-risk AI system on the market or putting it into service, measures that are appropriate to be implemented by the deployer.
0.8823	spans-passthrough-candidates/sent_0001-2200653b	provider shall verify and document that bias detection and correction cannot be effectively fulfilled by processing other data, including synthetic or anonymised data.	spans-passthrough-candidates/sent_0001-0bc40bb0	provider shall delete the special categories of personal data once the bias has been corrected or the personal data has reached the end of its retention period, whichever comes first.
0.8820	spans-passthrough-candidates/sent_0001-2200653b	provider shall verify and document that bias detection and correction cannot be effectively fulfilled by processing other data, including synthetic or anonymised data.	spans-passthrough-candidates/sent_0001-8fd22e6d	provider shall implement measures to ensure that the special categories of personal data processed are secured and protected with suitable safeguards, including strict controls and documentation of access, and that only authorised persons with appropriate confidentiality obligations have access to those personal data to avoid misuse.
0.8812	spans-passthrough-candidates/sent_0001-2200653b	provider shall verify and document that bias detection and correction cannot be effectively fulfilled by processing other data, including synthetic or anonymised data.	spans-passthrough-candidates/sent_0001-007bcc1e	provider shall ensure that the special categories of personal data are subject to technical limitations on re-use and that state-of-the-art security and privacy-preserving measures, including pseudonymisation, are implemented.
0.8771	spans-passthrough-candidates/sent_0001-30a4298d	developer shall implement technical capability to automatically record events (logs) over the lifetime of the high-risk AI system.	spans-passthrough-candidates/sent_0001-9376311c	developer shall enable logging capabilities to record events relevant for monitoring the operation of high-risk AI systems referred to in Article 26(5).
0.8738	spans-passthrough-candidates/sent_0001-9e763bba	Developer shall test high-risk AI systems for the purpose of identifying the most appropriate and targeted risk management measures.	spans-passthrough-candidates/sent_0002-3a014ff2	Developer shall design and develop high-risk AI systems to achieve an appropriate level of accuracy.
0.8731	spans-passthrough-candidates/sent_0002-9d8029f0	The org shall prepare the technical documentation so that it demonstrates that the high-risk AI system complies with the requirements set out in this Section.	spans-passthrough-candidates/sent_0002-a715c612	The org shall prepare the technical documentation to provide national competent authorities and notified bodies with the necessary information in a clear and comprehensive form to assess the compliance of the AI system with those requirements.
0.8717	spans-passthrough-candidates/sent_0001-9e763bba	Developer shall test high-risk AI systems for the purpose of identifying the most appropriate and targeted risk management measures.	spans-passthrough-candidates/sent_0002-1ebb3cfd	Developer shall design and develop high-risk AI systems to achieve an appropriate level of cybersecurity.
0.8715	spans-passthrough-candidates/sent_0002-3a014ff2	Developer shall design and develop high-risk AI systems to achieve an appropriate level of accuracy.	spans-passthrough-candidates/sent_0002-0f453615	Developer shall design and develop high-risk AI systems to be as resilient as possible to errors, faults or inconsistencies within the system or its operating environment, including interactions with natural persons or other systems.
0.8701	spans-passthrough-candidates/sent_0002-6e7ec3ae	The org shall draw up the technical documentation of the high-risk AI system before the system is placed on the market or put into service.	spans-passthrough-candidates/sent_0002-a715c612	The org shall prepare the technical documentation to provide national competent authorities and notified bodies with the necessary information in a clear and comprehensive form to assess the compliance of the AI system with those requirements.
0.8700	spans-passthrough-candidates/sent_0001-007bcc1e	provider shall ensure that the special categories of personal data are subject to technical limitations on re-use and that state-of-the-art security and privacy-preserving measures, including pseudonymisation, are implemented.	spans-passthrough-candidates/sent_0001-0bc40bb0	provider shall delete the special categories of personal data once the bias has been corrected or the personal data has reached the end of its retention period, whichever comes first.
0.8678	spans-passthrough-candidates/sent_0001-9e763bba	Developer shall test high-risk AI systems for the purpose of identifying the most appropriate and targeted risk management measures.	spans-passthrough-candidates/sent_0002-5deddc14	Developer shall design and develop high-risk AI systems to achieve an appropriate level of robustness.
0.8639	spans-passthrough-candidates/sent_0001-47119b62	Developer shall test high-risk AI systems to verify they perform consistently for their intended purpose.	spans-passthrough-candidates/sent_0002-3a014ff2	Developer shall design and develop high-risk AI systems to achieve an appropriate level of accuracy.
0.8605	spans-passthrough-candidates/sent_0004-3ca1ca83	developer shall ensure that training, validation and testing data sets are sufficiently representative in view of the intended purpose.	spans-passthrough-candidates/sent_0004-7b3305e3	developer shall ensure that training, validation and testing data sets are, to the best extent possible, free of errors and complete in view of the intended purpose.
