k,span_id,score,tp,fp,precision,recall
0,,1.0,0,0,1.0,0.0
1,Microsoft/index/fairness-goals/goal-f2-allocation-of-resources-and-opportunities/sent_0006,0.5942028985507246,1,0,1.0,0.014084507042253521
2,Microsoft/index/transparency-goals/goal-t2-communication-to-stakeholders/sent_0002,0.5539094650205763,2,0,1.0,0.028169014084507043
3,Microsoft/index/inclusiveness-goal/goal-i1-accessibility-standards-compliance/sent_0001,0.5277777777777778,3,0,1.0,0.04225352112676056
4,Microsoft/index/fairness-goals/goal-f3-minimization-of-stereotyping-demeaning-and-erasing-o/sent_0001,0.5270655270655271,4,0,1.0,0.056338028169014086
5,Microsoft/index/fairness-goals/goal-f3-minimization-of-stereotyping-demeaning-and-erasing-o/sent_0003,0.5242165242165241,5,0,1.0,0.07042253521126761
6,Microsoft/index/accountability-goals/goal-a4-data-governance-and-management/sent_0001,0.5236928104575163,6,0,1.0,0.08450704225352113
7,Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0001,0.5189255189255189,7,0,1.0,0.09859154929577464
8,Microsoft/index/fairness-goals/goal-f3-minimization-of-stereotyping-demeaning-and-erasing-o/sent_0005,0.5087719298245614,8,0,1.0,0.11267605633802817
9,Microsoft/index/reliability-safety-goals/goal-rs1-reliability-and-safety-guidance/sent_0005,0.49082125603864735,9,0,1.0,0.1267605633802817
10,Microsoft/index/reliability-safety-goals/goal-rs3-ongoing-monitoring-feedback-and-evaluation/sent_0001,0.49023199023199027,10,0,1.0,0.14084507042253522
11,Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0001,0.47500000000000003,11,0,1.0,0.15492957746478872
12,Microsoft/index/reliability-safety-goals/goal-rs1-reliability-and-safety-guidance/sent_0006,0.46405228758169936,12,0,1.0,0.16901408450704225
13,Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0003,0.4594627594627594,13,0,1.0,0.18309859154929578
14,Microsoft/index/fairness-goals/goal-f1-quality-of-service/sent_0001,0.4377104377104377,14,0,1.0,0.19718309859154928
