sim	a_rule_id	a_req	b_rule_id	b_req
0.9795	spans-passthrough-candidates/sent_0001-89c4e472	developer shall include groups defined by a single factor in the identified and prioritized demographic groups.	spans-passthrough-candidates/sent_0001-a25f100e	developer shall include groups defined by a combination of factors in the identified and prioritized demographic groups.
0.9787	spans-passthrough-candidates/sent_0001-1129c05e	Include groups defined by a single factor in the identification and prioritization process.	spans-passthrough-candidates/sent_0001-e6658fd5	Include groups defined by a combination of factors in the identification and prioritization process.
0.9773	spans-passthrough-candidates/sent_0007-de813705	org shall determine how often ongoing evaluation should be conducted to continue supporting this Goal.	spans-passthrough-candidates/sent_0007-fad96d37	org shall document how often ongoing evaluation will be conducted to continue supporting this Goal.
0.9729	spans-passthrough-candidates/sent_0003-0db16863	The org must update the Impact Assessment before advancing to a new release stage.	spans-passthrough-candidates/sent_0003-d307efcb	The org must review the Impact Assessment before advancing to a new release stage.
0.9712	spans-passthrough-candidates/sent_0001-e2476063	org shall identify stakeholders who will use the outputs of the system to make decisions.	spans-passthrough-candidates/sent_0001-657b1438	org shall identify stakeholders who are subject to decisions informed by the system.
0.9669	spans-passthrough-candidates/sent_0005-becbbc0b	Document the plan describing how the gap will be managed until it can be closed.	spans-passthrough-candidates/sent_0005-8143c60e	org shall document the plan for managing the gap until it is closed.
0.9660	spans-passthrough-candidates/sent_0003-abba01e6	The org must update the Impact Assessment when new intended uses are added.	spans-passthrough-candidates/sent_0003-0c8a68ca	The org must review the Impact Assessment when new intended uses are added.
0.9630	spans-passthrough-candidates/sent_0003-50f01ae7	The org must update the Impact Assessment at least annually.	spans-passthrough-candidates/sent_0003-c26fbc02	The org must review the Impact Assessment at least annually.
0.9624	spans-passthrough-candidates/sent_0006-68aa2206	Developer shall identify and document any justifiable factors (e.g., "background noise" for speech recognition systems or "image resolution" for facial recognition systems) that account for any inability to meet any target minimum performance level for any identified demographic group.	spans-passthrough-candidates/sent_0006-48d3a4b4	Developer shall identify and document any justifiable factors (e.g., "background noise" for speech recognition systems or "image resolution" for facial recognition systems) that account for any remaining performance differences between identified demographic groups.
0.9615	spans-passthrough-candidates/sent_0002-271d1dfd	Developer shall define and document for each model the model's proposed inputs and analyze how well those inputs represent the concepts they are intended to represent, including the limitations of this representation.	spans-passthrough-candidates/sent_0002-3d69127a	Developer shall define and document for each model the model's proposed outputs and analyze how well those outputs represent the concepts they are intended to represent, including the limitations of this representation.
0.9505	spans-passthrough-candidates/sent_0004-fa9e60d6	developer shall reassess the system design, including the choice of training data, features, objective function, and training algorithm, to improve performance for any identified demographic group that does not meet any target minimum performance level.	spans-passthrough-candidates/sent_0004-36423cb9	developer shall reassess the system design, including the choice of training data, features, objective function, and training algorithm, to minimize performance differences between identified demographic groups, with particular attention to groups that exceed the target maximum.
0.9491	spans-passthrough-candidates/sent_0004-360ed1cc	developer shall document the pre-release results of the evaluations.	spans-passthrough-candidates/sent_0005-851bbd0e	developer shall document the pre-release results of the evaluation.
0.9431	spans-passthrough-candidates/sent_0004-360ed1cc	developer shall document the pre-release results of the evaluations.	spans-passthrough-candidates/sent_0004-16abd394	developer shall document the pre-release results of the evaluations.
0.9413	spans-passthrough-candidates/sent_0004-698f7f0a	developer shall determine and document how often ongoing evaluation should be conducted to continue supporting this Goal.	spans-passthrough-candidates/sent_0005-90de4bfa	developer shall determine and document how often ongoing evaluation should be conducted to continue supporting this goal.
0.9391	spans-passthrough-candidates/sent_0005-6959e799	org shall consult with its attorney to determine its approach, including how it will identify and document.	spans-passthrough-candidates/sent_0005-73293c1b	The org must consult with its attorney to determine its approach to this.
0.9383	spans-passthrough-candidates/sent_0002-e1de42f5	Document how the system design will support the two categories of stakeholders' understanding of the system's intended uses.	spans-passthrough-candidates/sent_0002-de4c1951	Document how the system design aids the two categories of stakeholders' ability to interpret relevant system responses.
0.9375	spans-passthrough-candidates/sent_0007-b3004c39	Org shall publish for customers any remaining differences between the rates at which resources and opportunities are allocated to identified demographic groups.	spans-passthrough-candidates/sent_0007-3b19b907	Org shall publish for customers any justifiable factors that account for the remaining differences in allocation rates between identified demographic groups.
0.9364	spans-passthrough-candidates/sent_0004-133f5a27	developer shall evaluate the system according to the defined Responsible Release Criteria.	spans-passthrough-candidates/sent_0004-30ca0346	Developer shall evaluate the system according to the defined Responsible Release Criteria.
