sim	a_rule_id	a_req	b_rule_id	b_req
0.9771	spans-passthrough-candidates/sent_0001-77c8ef83	developer shall develop testing techniques to identify GAI-produced content that might be indistinguishable from human-generated content.	spans-passthrough-candidates/sent_0001-54eae8d8	developer shall implement the testing techniques to detect GAI-produced content that might be indistinguishable from human-generated content.
0.9755	spans-passthrough-candidates/sent_0001-a5d78a01	The org shall establish approaches for mapping AI technology and legal risks of its components, including the use of third-party data or software.	spans-passthrough-candidates/sent_0001-375b2742	The org shall follow the established approaches for mapping AI technology and legal risks of its components.
0.9750	spans-passthrough-candidates/sent_0002-3918c185	org shall define processes for operator and practitioner proficiency with AI system performance and trustworthiness and relevant technical standards and certifications.	spans-passthrough-candidates/sent_0002-bf1fc04d	org shall assess processes for operator and practitioner proficiency with AI system performance and trustworthiness and relevant technical standards and certifications.
0.9745	spans-passthrough-candidates/sent_0002-3918c185	org shall define processes for operator and practitioner proficiency with AI system performance and trustworthiness and relevant technical standards and certifications.	spans-passthrough-candidates/sent_0002-405a21e5	org shall document processes for operator and practitioner proficiency with AI system performance and trustworthiness and relevant technical standards and certifications.
0.9511	spans-passthrough-candidates/sent_0001-eb36ecca	developer shall institute test and evaluation for data and content flows within the GAI system, covering original data sources, data transformations, and decision-making criteria.	spans-passthrough-candidates/sent_0001-281f3fb4	developer shall institute test and evaluation for data and content flows within the GAI system, covering original data sources, data transformations, and decision-making criteria.
0.9501	spans-passthrough-candidates/sent_0001-5843e1a4	deployer shall deploy fact-checking techniques to verify the accuracy and veracity of information generated by GAI systems.	spans-passthrough-candidates/sent_0001-0b9b6258	deployer shall document the fact-checking techniques used to verify the accuracy and veracity of information generated by GAI systems.
0.9153	spans-passthrough-candidates/sent_0001-a5d78a01	The org shall establish approaches for mapping AI technology and legal risks of its components, including the use of third-party data or software.	spans-passthrough-candidates/sent_0001-665ab19d	The org shall document the approaches and the identified risks, including risks of infringement of a third-party's intellectual property or other rights.
0.8962	spans-passthrough-candidates/sent_0001-ee82bdb9	developer must conduct and document due diligence on training data use to assess intellectual property risks.	spans-passthrough-candidates/sent_0002-a02eff23	developer must assess the existence or levels of intellectual property infringement in system training data.
0.8866	spans-passthrough-candidates/sent_0001-7bde8dbd	developer must conduct and document due diligence on training data use to assess privacy risks.	spans-passthrough-candidates/sent_0001-a0f7497a	developer must examine and document whether use of proprietary or sensitive training data is consistent with applicable laws.
0.8860	spans-passthrough-candidates/sent_0002-76b49c44	developer must assess the existence or levels of extremist content in system training data.	spans-passthrough-candidates/sent_0002-92de6188	developer must assess the existence or levels of violent content in system training data.
