span_id,has_prediction,chosen_rule_id,macro_f1,test_correct,hazard_exact,scope.actor_exact,scope.domain_exact,scope.context_exact,conditions_exact,exceptions_exact,requirements_exact,evidence_exact,evidence_signals_exact,hazard_f1,scope.actor_f1,scope.domain_f1,scope.context_f1,conditions_f1,exceptions_f1,requirements_f1,evidence_f1,evidence_signals_f1
Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0001,True,spans-passthrough-candidates/sent_0001-a733aa92,0.47500000000000003,False,False,True,False,True,False,True,True,False,False,0.4,1.0,0.0,1.0,0.0,1.0,0.875,0.0,0.0
Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0002,True,spans-passthrough-candidates/sent_0002-7a8bc55c,0.3939393939393939,False,False,True,False,True,False,True,False,False,False,0.0,1.0,0.0,1.0,0.0,1.0,0.545,0.0,0.0
Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0003,True,spans-passthrough-candidates/sent_0003-8690b0b8,0.3529411764705882,False,False,True,False,False,True,True,False,False,False,0.0,1.0,0.0,0.0,1.0,1.0,0.176,0.0,0.0
Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0001,True,spans-passthrough-candidates/sent_0001-42893167,0.396604938271605,False,False,True,False,False,False,True,False,True,False,0.0,1.0,0.0,0.0,0.125,1.0,0.444,1.0,0.0
Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0002,True,spans-passthrough-candidates/sent_0002-505dbe79,0.2930474333983106,False,False,True,False,False,False,True,False,False,False,0.0,1.0,0.0,0.0,0.111,1.0,0.526,0.0,0.0
Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0003,True,spans-passthrough-candidates/sent_0003-33e24475,0.4594627594627594,False,False,True,False,False,False,True,True,True,False,0.143,1.0,0.0,0.0,0.3,1.0,0.692,1.0,0.0
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0001,False,,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0002,True,spans-passthrough-candidates/sent_0002-572863aa,0.27222222222222225,False,False,True,False,False,False,True,False,False,False,0.2,1.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0003,True,spans-passthrough-candidates/sent_0003-c0fde617,0.3611111111111111,False,False,True,False,True,False,True,False,False,False,0.0,1.0,0.0,1.0,0.0,1.0,0.25,0.0,0.0
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0004,False,,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0005,True,spans-passthrough-candidates/sent_0005-8f67924d,0.3819047619047619,False,False,True,False,True,False,True,False,False,False,0.0,1.0,0.0,1.0,0.357,1.0,0.08,0.0,0.0
Microsoft/index/accountability-goals/goal-a4-data-governance-and-management/sent_0001,True,spans-passthrough-candidates/sent_0001-4eb67fac,0.5236928104575163,False,False,True,False,False,True,True,False,True,False,0.125,1.0,0.0,0.0,1.0,1.0,0.588,1.0,0.0
Microsoft/index/accountability-goals/goal-a4-data-governance-and-management/sent_0002,True,spans-passthrough-candidates/sent_0002-45fafdbb,0.3740740740740741,False,False,True,False,False,False,True,False,True,False,0.167,1.0,0.0,0.0,0.0,1.0,0.2,1.0,0.0
Microsoft/index/accountability-goals/goal-a4-data-governance-and-management/sent_0003,True,spans-passthrough-candidates/sent_0003-fc9d899a,0.18253968253968253,False,False,False,False,False,False,True,False,False,False,0.143,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0
Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0001,True,spans-passthrough-candidates/sent_0001-c6725628,0.5189255189255189,False,False,True,False,True,False,True,False,True,False,0.286,1.0,0.0,1.0,0.0,1.0,0.385,1.0,0.0
Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0002,True,spans-passthrough-candidates/sent_0002-c5bd3994,0.31746031746031744,False,False,True,False,False,False,True,False,False,False,0.0,1.0,0.0,0.0,0.0,1.0,0.524,0.333,0.0
Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0003,True,spans-passthrough-candidates/sent_0003-d24f4a89,0.2622222222222222,False,False,True,False,False,False,True,False,False,False,0.0,1.0,0.0,0.0,0.0,1.0,0.36,0.0,0.0
