sim	a_rule_id	a_req	b_rule_id	b_req
0.9221	spans-passthrough-candidates/sent_0002-0d4ec897	The developer shall design and develop high-risk AI systems to achieve an appropriate level of accuracy.	spans-passthrough-candidates/sent_0002-8e64a5e7	The developer shall design and develop high-risk AI systems to achieve an appropriate level of robustness.
0.9179	spans-passthrough-candidates/sent_0004-d9a18728	The deployer shall draw up a single set of technical documentation.	spans-passthrough-candidates/sent_0004-ab169b23	The deployer shall ensure the technical documentation contains all the information set out in paragraph 1 and the information required under those legal acts.
0.9144	spans-passthrough-candidates/sent_0001-7e00604f	Provider must only process special categories of personal data for bias detection and correction when that bias detection and correction cannot be effectively fulfilled by processing other data, including synthetic or anonymised data.	spans-passthrough-candidates/sent_0001-28416235	Provider must apply technical limitations on the re-use of the special categories of personal data and implement state-of-the-art security and privacy-preserving measures, including pseudonymisation.
0.9129	spans-passthrough-candidates/sent_0002-22a0a783	provider shall provide the high-risk AI system to the deployer in such a way that natural persons to whom human oversight is assigned are enabled to properly understand the relevant capacities and limitations of the high-risk AI system and be able to duly monitor its operation, including detecting and addressing anomalies, dysfunctions and unexpected performance.	spans-passthrough-candidates/sent_0002-f642fcdb	provider shall provide the high-risk AI system to the deployer in such a way that natural persons to whom human oversight is assigned are enabled to remain aware of the possible tendency to automatically rely or over-rely on the output produced by the high-risk AI system.
0.9111	spans-passthrough-candidates/sent_0001-7e00604f	Provider must only process special categories of personal data for bias detection and correction when that bias detection and correction cannot be effectively fulfilled by processing other data, including synthetic or anonymised data.	spans-passthrough-candidates/sent_0001-3e27df6a	Provider must ensure the special categories of personal data are not transmitted, transferred, or otherwise accessed by other parties.
0.9096	spans-passthrough-candidates/sent_0001-7e00604f	Provider must only process special categories of personal data for bias detection and correction when that bias detection and correction cannot be effectively fulfilled by processing other data, including synthetic or anonymised data.	spans-passthrough-candidates/sent_0001-013c7ce1	Provider must delete the special categories of personal data once the bias has been corrected or the personal data has reached the end of its retention period, whichever occurs first.
0.9074	spans-passthrough-candidates/sent_0001-7e00604f	Provider must only process special categories of personal data for bias detection and correction when that bias detection and correction cannot be effectively fulfilled by processing other data, including synthetic or anonymised data.	spans-passthrough-candidates/sent_0001-94db42cb	Provider must ensure the special categories of personal data are secured and protected with suitable safeguards, including strict controls and documentation of access, and that only authorised persons with appropriate confidentiality obligations have access.
0.9073	spans-passthrough-candidates/sent_0001-7e00604f	Provider must only process special categories of personal data for bias detection and correction when that bias detection and correction cannot be effectively fulfilled by processing other data, including synthetic or anonymised data.	spans-passthrough-candidates/sent_0001-204e7ad4	Provider must ensure that records of processing activities include the reasons why the processing of special categories of personal data was strictly necessary to detect and correct biases and why that objective could not be achieved by processing other data.
0.9048	spans-passthrough-candidates/sent_0003-2dcb5c3a	Provide in the instructions for use the intended purpose of the high-risk AI system.	spans-passthrough-candidates/sent_0003-f21bf226	Provide in the instructions for use any known or foreseeable circumstance related to the use of the high-risk AI system in accordance with its intended purpose or under conditions of reasonably foreseeable misuse which may lead to risks to health.
0.8994	spans-passthrough-candidates/sent_0003-57799ee3	Provide in the instructions for use the characteristics, capabilities and limitations of performance of the high-risk AI system.	spans-passthrough-candidates/sent_0003-2dcb5c3a	Provide in the instructions for use the intended purpose of the high-risk AI system.
