unit_id,span_id,kind,page,section,section_path,text,prev_sentence,next_sentence,window_text,pdf_name,doc_id,new_span_id,new_kind,new_page,match_type
1,EU_AI_2024_removed/when-assessing-the-condition-under-paragraph-1-point-b-the-c/sent_0001,sentence,1,"When assessing the condition under paragraph 1, point (b), the Commission shall take into account the following","When assessing the condition under paragraph 1, point (b), the Commission shall take into account the following",2,,"When assessing the condition under paragraph 1, point (b), the Commission shall take into account the following
criteria:
(a) the intended purpose of the AI system;
(b) the extent to which an AI system has been used or is likely to be used;
(c) the nature and amount of the data processed and used by the AI system, in particular whether special categories of
personal data are processed;
(d) the extent to which the AI system acts autonomously and the possibility for a human to override a decision or
recommendations that may lead to potential harm;
(e) the extent to which the use of an AI system has already caused harm to health and safety, has had an adverse impact on
fundamental rights or has given rise to significant concerns in relation to the likelihood of such harm or adverse impact,
as demonstrated, for example, by reports or documented allegations submitted to national competent authorities or by
other reports, as appropriate;
(f) the potential extent of such harm or such adverse impact, in particular in terms of its intensity and its ability to affect
multiple persons or to disproportionately affect a particular group of persons;
(g) the extent to which persons who are potentially harmed or suffer an adverse impact are dependent on the outcome
produced with an AI system, in particular because for practical or legal reasons it is not reasonably possible to opt-out
from that outcome;
(h) the extent to which there is an imbalance of power, or the persons who are potentially harmed or suffer an adverse
impact are in a vulnerable position in relation to the deployer of an AI system, in particular due to status, authority,
knowledge, economic or social circumstances, or age;
(i) the extent to which the outcome produced involving an AI system is easily corrigible or reversible, taking into account
the technical solutions available to correct or reverse it, whereby outcomes having an adverse impact on health, safety or
fundamental rights, shall not be considered to be easily corrigible or reversible;
(j) the magnitude and likelihood of benefit of the deployment of the AI system for individuals, groups, or society at large,
including possible improvements in product safety;
(k) the extent to which existing Union law provides for:
(i) effective measures of redress in relation to the risks posed by an AI system, with the exclusion of claims for
damages;
(ii) effective measures to prevent or substantially minimise those risks.
3.","[TARGET] 2. [NEXT] When assessing the condition under paragraph 1, point (b), the Commission shall take into account the following
criteria:
(a) the intended purpose of the AI system;
(b) the extent to which an AI system has been used or is likely to be used;
(c) the nature and amount of the data processed and used by the AI system, in particular whether special categories of
personal data are processed;
(d) the extent to which the AI system acts autonomously and the possibility for a human to override a decision or
recommendations that may lead to potential harm;
(e) the extent to which the use of an AI system has already caused harm to health and safety, has had an adverse impact on
fundamental rights or has given rise to significant concerns in relation to the likelihood of such harm or adverse impact,
as demonstrated, for example, by reports or documented allegations submitted to national competent authorities or by
other reports, as appropriate;
(f) the potential extent of such harm or such adverse impact, in particular in terms of its intensity and its ability to affect
multiple persons or to disproportionately affect a particular group of persons;
(g) the extent to which persons who are potentially harmed or suffer an adverse impact are dependent on the outcome
produced with an AI system, in particular because for practical or legal reasons it is not reasonably possible to opt-out
from that outcome;
(h) the extent to which there is an imbalance of power, or the persons who are potentially harmed or suffer an adverse
impact are in a vulnerable position in relation to the deployer of an AI system, in particular due to status, authority,
knowledge, economic or social circumstances, or age;
(i) the extent to which the outcome produced involving an AI system is easily corrigible or reversible, taking into account
the technical solutions available to correct or reverse it, whereby outcomes having an adverse impact on health, safety or
fundamental rights, shall not be considered to be easily corrigible or reversible;
(j) the magnitude and likelihood of benefit of the deployment of the AI system for individuals, groups, or society at large,
including possible improvements in product safety;
(k) the extent to which existing Union law provides for:
(i) effective measures of redress in relation to the risks posed by an AI system, with the exclusion of claims for
damages;
(ii) effective measures to prevent or substantially minimise those risks.
3.",EU_AI_2024_removed,EU_AI_2024_removed,EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0001,sentence,2,contains
2,EU_AI_2024_removed/when-assessing-the-condition-under-paragraph-1-point-b-the-c/sent_0002,sentence,1,"When assessing the condition under paragraph 1, point (b), the Commission shall take into account the following","When assessing the condition under paragraph 1, point (b), the Commission shall take into account the following","When assessing the condition under paragraph 1, point (b), the Commission shall take into account the following
criteria:
(a) the intended purpose of the AI system;
(b) the extent to which an AI system has been used or is likely to be used;
(c) the nature and amount of the data processed and used by the AI system, in particular whether special categories of
personal data are processed;
(d) the extent to which the AI system acts autonomously and the possibility for a human to override a decision or
recommendations that may lead to potential harm;
(e) the extent to which the use of an AI system has already caused harm to health and safety, has had an adverse impact on
fundamental rights or has given rise to significant concerns in relation to the likelihood of such harm or adverse impact,
as demonstrated, for example, by reports or documented allegations submitted to national competent authorities or by
other reports, as appropriate;
(f) the potential extent of such harm or such adverse impact, in particular in terms of its intensity and its ability to affect
multiple persons or to disproportionately affect a particular group of persons;
(g) the extent to which persons who are potentially harmed or suffer an adverse impact are dependent on the outcome
produced with an AI system, in particular because for practical or legal reasons it is not reasonably possible to opt-out
from that outcome;
(h) the extent to which there is an imbalance of power, or the persons who are potentially harmed or suffer an adverse
impact are in a vulnerable position in relation to the deployer of an AI system, in particular due to status, authority,
knowledge, economic or social circumstances, or age;
(i) the extent to which the outcome produced involving an AI system is easily corrigible or reversible, taking into account
the technical solutions available to correct or reverse it, whereby outcomes having an adverse impact on health, safety or
fundamental rights, shall not be considered to be easily corrigible or reversible;
(j) the magnitude and likelihood of benefit of the deployment of the AI system for individuals, groups, or society at large,
including possible improvements in product safety;
(k) the extent to which existing Union law provides for:
(i) effective measures of redress in relation to the risks posed by an AI system, with the exclusion of claims for
damages;
(ii) effective measures to prevent or substantially minimise those risks.
3.",2,"The Commission is empowered to adopt delegated acts in accordance with Article 97 to amend the list in Annex III
by removing high-risk AI systems where both of the following conditions are fulfilled:
(a) the high-risk AI system concerned no longer poses any significant risks to fundamental rights, health or safety, taking
into account the criteria listed in paragraph 2;
(b) the deletion does not decrease the overall level of protection of health, safety and fundamental rights under Union law.","[PREV] 2. [TARGET] When assessing the condition under paragraph 1, point (b), the Commission shall take into account the following
criteria:
(a) the intended purpose of the AI system;
(b) the extent to which an AI system has been used or is likely to be used;
(c) the nature and amount of the data processed and used by the AI system, in particular whether special categories of
personal data are processed;
(d) the extent to which the AI system acts autonomously and the possibility for a human to override a decision or
recommendations that may lead to potential harm;
(e) the extent to which the use of an AI system has already caused harm to health and safety, has had an adverse impact on
fundamental rights or has given rise to significant concerns in relation to the likelihood of such harm or adverse impact,
as demonstrated, for example, by reports or documented allegations submitted to national competent authorities or by
other reports, as appropriate;
(f) the potential extent of such harm or such adverse impact, in particular in terms of its intensity and its ability to affect
multiple persons or to disproportionately affect a particular group of persons;
(g) the extent to which persons who are potentially harmed or suffer an adverse impact are dependent on the outcome
produced with an AI system, in particular because for practical or legal reasons it is not reasonably possible to opt-out
from that outcome;
(h) the extent to which there is an imbalance of power, or the persons who are potentially harmed or suffer an adverse
impact are in a vulnerable position in relation to the deployer of an AI system, in particular due to status, authority,
knowledge, economic or social circumstances, or age;
(i) the extent to which the outcome produced involving an AI system is easily corrigible or reversible, taking into account
the technical solutions available to correct or reverse it, whereby outcomes having an adverse impact on health, safety or
fundamental rights, shall not be considered to be easily corrigible or reversible;
(j) the magnitude and likelihood of benefit of the deployment of the AI system for individuals, groups, or society at large,
including possible improvements in product safety;
(k) the extent to which existing Union law provides for:
(i) effective measures of redress in relation to the risks posed by an AI system, with the exclusion of claims for
damages;
(ii) effective measures to prevent or substantially minimise those risks.
3. [NEXT] The Commission is empowered to adopt delegated acts in accordance with Article 97 to amend the list in Annex III
by removing high-risk AI systems where both of the following conditions are fulfilled:
(a) the high-risk AI system concerned no longer poses any significant risks to fundamental rights, health or safety, taking
into account the criteria listed in paragraph 2;
(b) the deletion does not decrease the overall level of protection of health, safety and fundamental rights under Union law.",EU_AI_2024_removed,EU_AI_2024_removed,EU_AI_2024_removed/when-assessing-the-condition-under-paragraph-1-point-b-the-c/sent_0001,sentence,1,contains
3,EU_AI_2024_removed/when-assessing-the-condition-under-paragraph-1-point-b-the-c/sent_0003,sentence,1,"When assessing the condition under paragraph 1, point (b), the Commission shall take into account the following","When assessing the condition under paragraph 1, point (b), the Commission shall take into account the following","The Commission is empowered to adopt delegated acts in accordance with Article 97 to amend the list in Annex III
by removing high-risk AI systems where both of the following conditions are fulfilled:
(a) the high-risk AI system concerned no longer poses any significant risks to fundamental rights, health or safety, taking
into account the criteria listed in paragraph 2;
(b) the deletion does not decrease the overall level of protection of health, safety and fundamental rights under Union law.","When assessing the condition under paragraph 1, point (b), the Commission shall take into account the following
criteria:
(a) the intended purpose of the AI system;
(b) the extent to which an AI system has been used or is likely to be used;
(c) the nature and amount of the data processed and used by the AI system, in particular whether special categories of
personal data are processed;
(d) the extent to which the AI system acts autonomously and the possibility for a human to override a decision or
recommendations that may lead to potential harm;
(e) the extent to which the use of an AI system has already caused harm to health and safety, has had an adverse impact on
fundamental rights or has given rise to significant concerns in relation to the likelihood of such harm or adverse impact,
as demonstrated, for example, by reports or documented allegations submitted to national competent authorities or by
other reports, as appropriate;
(f) the potential extent of such harm or such adverse impact, in particular in terms of its intensity and its ability to affect
multiple persons or to disproportionately affect a particular group of persons;
(g) the extent to which persons who are potentially harmed or suffer an adverse impact are dependent on the outcome
produced with an AI system, in particular because for practical or legal reasons it is not reasonably possible to opt-out
from that outcome;
(h) the extent to which there is an imbalance of power, or the persons who are potentially harmed or suffer an adverse
impact are in a vulnerable position in relation to the deployer of an AI system, in particular due to status, authority,
knowledge, economic or social circumstances, or age;
(i) the extent to which the outcome produced involving an AI system is easily corrigible or reversible, taking into account
the technical solutions available to correct or reverse it, whereby outcomes having an adverse impact on health, safety or
fundamental rights, shall not be considered to be easily corrigible or reversible;
(j) the magnitude and likelihood of benefit of the deployment of the AI system for individuals, groups, or society at large,
including possible improvements in product safety;
(k) the extent to which existing Union law provides for:
(i) effective measures of redress in relation to the risks posed by an AI system, with the exclusion of claims for
damages;
(ii) effective measures to prevent or substantially minimise those risks.
3.","SECTION 2
Requirements for high-risk AI systems
Article 8
Compliance with the requirements
OJ L, 12.7.2024
EN","[PREV] When assessing the condition under paragraph 1, point (b), the Commission shall take into account the following
criteria:
(a) the intended purpose of the AI system;
(b) the extent to which an AI system has been used or is likely to be used;
(c) the nature and amount of the data processed and used by the AI system, in particular whether special categories of
personal data are processed;
(d) the extent to which the AI system acts autonomously and the possibility for a human to override a decision or
recommendations that may lead to potential harm;
(e) the extent to which the use of an AI system has already caused harm to health and safety, has had an adverse impact on
fundamental rights or has given rise to significant concerns in relation to the likelihood of such harm or adverse impact,
as demonstrated, for example, by reports or documented allegations submitted to national competent authorities or by
other reports, as appropriate;
(f) the potential extent of such harm or such adverse impact, in particular in terms of its intensity and its ability to affect
multiple persons or to disproportionately affect a particular group of persons;
(g) the extent to which persons who are potentially harmed or suffer an adverse impact are dependent on the outcome
produced with an AI system, in particular because for practical or legal reasons it is not reasonably possible to opt-out
from that outcome;
(h) the extent to which there is an imbalance of power, or the persons who are potentially harmed or suffer an adverse
impact are in a vulnerable position in relation to the deployer of an AI system, in particular due to status, authority,
knowledge, economic or social circumstances, or age;
(i) the extent to which the outcome produced involving an AI system is easily corrigible or reversible, taking into account
the technical solutions available to correct or reverse it, whereby outcomes having an adverse impact on health, safety or
fundamental rights, shall not be considered to be easily corrigible or reversible;
(j) the magnitude and likelihood of benefit of the deployment of the AI system for individuals, groups, or society at large,
including possible improvements in product safety;
(k) the extent to which existing Union law provides for:
(i) effective measures of redress in relation to the risks posed by an AI system, with the exclusion of claims for
damages;
(ii) effective measures to prevent or substantially minimise those risks.
3. [TARGET] The Commission is empowered to adopt delegated acts in accordance with Article 97 to amend the list in Annex III
by removing high-risk AI systems where both of the following conditions are fulfilled:
(a) the high-risk AI system concerned no longer poses any significant risks to fundamental rights, health or safety, taking
into account the criteria listed in paragraph 2;
(b) the deletion does not decrease the overall level of protection of health, safety and fundamental rights under Union law. [NEXT] SECTION 2
Requirements for high-risk AI systems
Article 8
Compliance with the requirements
OJ L, 12.7.2024
EN",EU_AI_2024_removed,EU_AI_2024_removed,EU_AI_2024_removed/when-assessing-the-condition-under-paragraph-1-point-b-the-c/sent_0001,sentence,1,contains
4,EU_AI_2024_removed/when-assessing-the-condition-under-paragraph-1-point-b-the-c/sent_0004,sentence,1,"When assessing the condition under paragraph 1, point (b), the Commission shall take into account the following","When assessing the condition under paragraph 1, point (b), the Commission shall take into account the following","SECTION 2
Requirements for high-risk AI systems
Article 8
Compliance with the requirements
OJ L, 12.7.2024
EN","The Commission is empowered to adopt delegated acts in accordance with Article 97 to amend the list in Annex III
by removing high-risk AI systems where both of the following conditions are fulfilled:
(a) the high-risk AI system concerned no longer poses any significant risks to fundamental rights, health or safety, taking
into account the criteria listed in paragraph 2;
(b) the deletion does not decrease the overall level of protection of health, safety and fundamental rights under Union law.",,"[PREV] The Commission is empowered to adopt delegated acts in accordance with Article 97 to amend the list in Annex III
by removing high-risk AI systems where both of the following conditions are fulfilled:
(a) the high-risk AI system concerned no longer poses any significant risks to fundamental rights, health or safety, taking
into account the criteria listed in paragraph 2;
(b) the deletion does not decrease the overall level of protection of health, safety and fundamental rights under Union law. [TARGET] SECTION 2
Requirements for high-risk AI systems
Article 8
Compliance with the requirements
OJ L, 12.7.2024
EN",EU_AI_2024_removed,EU_AI_2024_removed,EU_AI_2024_removed/when-assessing-the-condition-under-paragraph-1-point-b-the-c/sent_0001,sentence,1,contains
5,EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0001,sentence,2,"appropriate, the necessary testing and reporting processes, information and documentation they provide with regard to","appropriate, the necessary testing and reporting processes, information and documentation they provide with regard to",2,,"Where a product contains an AI system, to which the requirements of this Regulation as well as requirements of the
Union harmonisation legislation listed in Section A of Annex I apply, providers shall be responsible for ensuring that their
product is fully compliant with all applicable requirements under applicable Union harmonisation legislation.","[TARGET] 2. [NEXT] Where a product contains an AI system, to which the requirements of this Regulation as well as requirements of the
Union harmonisation legislation listed in Section A of Annex I apply, providers shall be responsible for ensuring that their
product is fully compliant with all applicable requirements under applicable Union harmonisation legislation.",EU_AI_2024_removed,EU_AI_2024_removed,EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0004,sentence,3,contains
6,EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0002,sentence,2,"appropriate, the necessary testing and reporting processes, information and documentation they provide with regard to","appropriate, the necessary testing and reporting processes, information and documentation they provide with regard to","Where a product contains an AI system, to which the requirements of this Regulation as well as requirements of the
Union harmonisation legislation listed in Section A of Annex I apply, providers shall be responsible for ensuring that their
product is fully compliant with all applicable requirements under applicable Union harmonisation legislation.",2,"In ensuring
the compliance of high-risk AI systems referred to in paragraph 1 with the requirements set out in this Section, and in order
to ensure consistency, avoid duplication and minimise additional burdens, providers shall have a choice of integrating, as
appropriate, the necessary testing and reporting processes, information and documentation they provide with regard to
their product into documentation and procedures that already exist and are required under the Union harmonisation
legislation listed in Section A of Annex I.","[PREV] 2. [TARGET] Where a product contains an AI system, to which the requirements of this Regulation as well as requirements of the
Union harmonisation legislation listed in Section A of Annex I apply, providers shall be responsible for ensuring that their
product is fully compliant with all applicable requirements under applicable Union harmonisation legislation. [NEXT] In ensuring
the compliance of high-risk AI systems referred to in paragraph 1 with the requirements set out in this Section, and in order
to ensure consistency, avoid duplication and minimise additional burdens, providers shall have a choice of integrating, as
appropriate, the necessary testing and reporting processes, information and documentation they provide with regard to
their product into documentation and procedures that already exist and are required under the Union harmonisation
legislation listed in Section A of Annex I.",EU_AI_2024_removed,EU_AI_2024_removed,EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0001,sentence,2,contains
7,EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0003,sentence,2,"appropriate, the necessary testing and reporting processes, information and documentation they provide with regard to","appropriate, the necessary testing and reporting processes, information and documentation they provide with regard to","In ensuring
the compliance of high-risk AI systems referred to in paragraph 1 with the requirements set out in this Section, and in order
to ensure consistency, avoid duplication and minimise additional burdens, providers shall have a choice of integrating, as
appropriate, the necessary testing and reporting processes, information and documentation they provide with regard to
their product into documentation and procedures that already exist and are required under the Union harmonisation
legislation listed in Section A of Annex I.","Where a product contains an AI system, to which the requirements of this Regulation as well as requirements of the
Union harmonisation legislation listed in Section A of Annex I apply, providers shall be responsible for ensuring that their
product is fully compliant with all applicable requirements under applicable Union harmonisation legislation.","Article 9
Risk management system
1.","[PREV] Where a product contains an AI system, to which the requirements of this Regulation as well as requirements of the
Union harmonisation legislation listed in Section A of Annex I apply, providers shall be responsible for ensuring that their
product is fully compliant with all applicable requirements under applicable Union harmonisation legislation. [TARGET] In ensuring
the compliance of high-risk AI systems referred to in paragraph 1 with the requirements set out in this Section, and in order
to ensure consistency, avoid duplication and minimise additional burdens, providers shall have a choice of integrating, as
appropriate, the necessary testing and reporting processes, information and documentation they provide with regard to
their product into documentation and procedures that already exist and are required under the Union harmonisation
legislation listed in Section A of Annex I. [NEXT] Article 9
Risk management system
1.",EU_AI_2024_removed,EU_AI_2024_removed,EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0001,sentence,2,contains
8,EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0004,sentence,2,"appropriate, the necessary testing and reporting processes, information and documentation they provide with regard to","appropriate, the necessary testing and reporting processes, information and documentation they provide with regard to","Article 9
Risk management system
1.","In ensuring
the compliance of high-risk AI systems referred to in paragraph 1 with the requirements set out in this Section, and in order
to ensure consistency, avoid duplication and minimise additional burdens, providers shall have a choice of integrating, as
appropriate, the necessary testing and reporting processes, information and documentation they provide with regard to
their product into documentation and procedures that already exist and are required under the Union harmonisation
legislation listed in Section A of Annex I.","A risk management system shall be established, implemented, documented and maintained in relation to high-risk AI
systems.
2.","[PREV] In ensuring
the compliance of high-risk AI systems referred to in paragraph 1 with the requirements set out in this Section, and in order
to ensure consistency, avoid duplication and minimise additional burdens, providers shall have a choice of integrating, as
appropriate, the necessary testing and reporting processes, information and documentation they provide with regard to
their product into documentation and procedures that already exist and are required under the Union harmonisation
legislation listed in Section A of Annex I. [TARGET] Article 9
Risk management system
1. [NEXT] A risk management system shall be established, implemented, documented and maintained in relation to high-risk AI
systems.
2.",EU_AI_2024_removed,EU_AI_2024_removed,EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0001,sentence,2,contains
9,EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0005,sentence,2,"appropriate, the necessary testing and reporting processes, information and documentation they provide with regard to","appropriate, the necessary testing and reporting processes, information and documentation they provide with regard to","A risk management system shall be established, implemented, documented and maintained in relation to high-risk AI
systems.
2.","Article 9
Risk management system
1.","The risk management system shall be understood as a continuous iterative process planned and run throughout the
entire lifecycle of a high-risk AI system, requiring regular systematic review and updating.","[PREV] Article 9
Risk management system
1. [TARGET] A risk management system shall be established, implemented, documented and maintained in relation to high-risk AI
systems.
2. [NEXT] The risk management system shall be understood as a continuous iterative process planned and run throughout the
entire lifecycle of a high-risk AI system, requiring regular systematic review and updating.",EU_AI_2024_removed,EU_AI_2024_removed,EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0002,sentence,2,contains
10,EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0006,sentence,2,"appropriate, the necessary testing and reporting processes, information and documentation they provide with regard to","appropriate, the necessary testing and reporting processes, information and documentation they provide with regard to","The risk management system shall be understood as a continuous iterative process planned and run throughout the
entire lifecycle of a high-risk AI system, requiring regular systematic review and updating.","A risk management system shall be established, implemented, documented and maintained in relation to high-risk AI
systems.
2.","It shall comprise the following
steps:
(a) the identification and analysis of the known and the reasonably foreseeable risks that the high-risk AI system can pose
to health, safety or fundamental rights when the high-risk AI system is used in accordance with its intended purpose;
(b) the estimation and evaluation of the risks that may emerge when the high-risk AI system is used in accordance with its
intended purpose, and under conditions of reasonably foreseeable misuse;
(c) the evaluation of other risks possibly arising, based on the analysis of data gathered from the post-market monitoring
system referred to in Article 72;
(d) the adoption of appropriate and targeted risk management measures designed to address the risks identified pursuant to
point (a).
3.","[PREV] A risk management system shall be established, implemented, documented and maintained in relation to high-risk AI
systems.
2. [TARGET] The risk management system shall be understood as a continuous iterative process planned and run throughout the
entire lifecycle of a high-risk AI system, requiring regular systematic review and updating. [NEXT] It shall comprise the following
steps:
(a) the identification and analysis of the known and the reasonably foreseeable risks that the high-risk AI system can pose
to health, safety or fundamental rights when the high-risk AI system is used in accordance with its intended purpose;
(b) the estimation and evaluation of the risks that may emerge when the high-risk AI system is used in accordance with its
intended purpose, and under conditions of reasonably foreseeable misuse;
(c) the evaluation of other risks possibly arising, based on the analysis of data gathered from the post-market monitoring
system referred to in Article 72;
(d) the adoption of appropriate and targeted risk management measures designed to address the risks identified pursuant to
point (a).
3.",EU_AI_2024_removed,EU_AI_2024_removed,EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0002,sentence,2,contains
