span_id,has_prediction,chosen_rule_id,macro_f1,test_correct,hazard_exact,scope.actor_exact,scope.domain_exact,scope.context_exact,conditions_exact,exceptions_exact,requirements_exact,evidence_exact,evidence_signals_exact,hazard_f1,scope.actor_f1,scope.domain_f1,scope.context_f1,conditions_f1,exceptions_f1,requirements_f1,evidence_f1,evidence_signals_f1
EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0001,True,spans-passthrough-candidates/sent_0001-d347fc51,0.5248015873015873,False,False,True,False,False,True,True,True,True,False,0.286,1.0,0.0,0.0,0.688,1.0,0.75,1.0,0.0
EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0002,True,spans-passthrough-candidates/sent_0002-ffc7e2c5,0.404601571268238,False,False,True,False,True,False,True,False,False,False,0.111,1.0,0.0,1.0,0.364,1.0,0.167,0.0,0.0
EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0003,True,spans-passthrough-candidates/sent_0003-a6f7d4af,0.38580246913580246,False,False,False,False,True,False,True,True,False,False,0.222,0.0,0.0,1.0,0.417,1.0,0.833,0.0,0.0
EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0001,True,spans-passthrough-candidates/sent_0001-ab36e698,0.31895424836601305,False,False,False,False,False,False,True,False,True,False,0.4,0.0,0.0,0.0,0.0,1.0,0.471,1.0,0.0
EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0002,True,spans-passthrough-candidates/sent_0002-7a3dbbf7,0.48552575564069816,False,False,True,False,False,False,True,True,True,False,0.222,1.0,0.0,0.0,0.389,1.0,0.759,1.0,0.0
EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0003,True,spans-passthrough-candidates/sent_0003-bbd8d06c,0.5322506106819832,False,False,True,False,True,False,True,False,True,False,0.091,1.0,0.0,1.0,0.111,1.0,0.588,1.0,0.0
EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0004,True,spans-passthrough-candidates/sent_0004-5b9e0691,0.3886549707602339,False,False,True,False,True,False,False,False,True,False,0.1,1.0,0.0,1.0,0.158,0.0,0.24,1.0,0.0
EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0001,True,spans-passthrough-candidates/sent_0001-cc628c45,0.47880983750548967,False,False,True,False,True,False,True,True,False,False,0.25,1.0,0.0,1.0,0.364,1.0,0.696,0.0,0.0
EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0002,True,spans-passthrough-candidates/sent_0002-480c2a20,0.5238095238095237,False,False,True,False,True,False,True,False,True,False,0.143,1.0,0.0,1.0,0.0,1.0,0.571,1.0,0.0
EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0003,True,spans-passthrough-candidates/sent_0003-b6c307b9,0.41137566137566134,False,False,True,False,False,False,True,False,True,False,0.143,1.0,0.0,0.0,0.333,1.0,0.476,0.75,0.0
EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0004,True,spans-passthrough-candidates/sent_0004-a32168cc,0.5665692007797271,False,False,True,False,True,False,True,False,True,False,0.333,1.0,0.0,1.0,0.45,1.0,0.316,1.0,0.0
EU_AI_2024_removed/article-12/sent_0001,True,spans-passthrough-candidates/sent_0001-dce934d1,0.4760942760942761,False,False,False,False,True,True,True,False,True,False,0.182,0.0,0.0,1.0,0.8,1.0,0.303,1.0,0.0
EU_AI_2024_removed/article-12/sent_0002,True,spans-passthrough-candidates/sent_0002-be25a8e9,0.4031746031746032,False,False,False,False,False,True,True,True,True,False,0.429,0.0,0.0,0.0,0.6,1.0,0.6,1.0,0.0
EU_AI_2024_removed/article-12/sent_0003,True,spans-passthrough-candidates/sent_0003-d48235d3,0.550191570881226,False,False,True,False,True,False,True,False,True,False,0.4,1.0,0.0,1.0,0.0,1.0,0.552,1.0,0.0
EU_AI_2024_removed/v-when-appropriate-its-performance-regarding-specific-person/sent_0001,True,spans-passthrough-candidates/sent_0001-123cdeb2,0.13589065255731925,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.179,1.0,0.044,0.0,0.0
EU_AI_2024_removed/v-when-appropriate-its-performance-regarding-specific-person/sent_0002,True,spans-passthrough-candidates/sent_0002-c441aead,0.5816422777373541,False,False,True,False,True,False,True,False,True,False,0.286,1.0,0.0,1.0,0.368,1.0,0.581,1.0,0.0
EU_AI_2024_removed/the-output-of-the-high-risk-ai-system/sent_0001,True,spans-passthrough-candidates/sent_0001-4c1eda68,0.28689006466784245,False,False,False,False,False,False,False,True,True,False,0.333,0.0,0.0,0.0,0.286,0.0,0.963,1.0,0.0
EU_AI_2024_removed/the-output-of-the-high-risk-ai-system/sent_0002,True,spans-passthrough-candidates/sent_0002-a769c724,0.44157088122605365,False,False,False,False,False,True,True,True,True,False,0.25,0.0,0.0,0.0,1.0,1.0,0.724,1.0,0.0
EU_AI_2024_removed/the-output-of-the-high-risk-ai-system/sent_0003,True,spans-passthrough-candidates/sent_0003-80f3c43b,0.42780461621041327,False,False,False,False,False,True,True,True,True,False,0.111,0.0,0.0,0.0,1.0,1.0,0.739,1.0,0.0
EU_AI_2024_removed/the-output-of-the-high-risk-ai-system/sent_0004,True,spans-passthrough-candidates/sent_0004-3a77b1ba,0.42962962962962964,False,False,False,False,False,True,True,True,True,False,0.0,0.0,0.0,0.0,1.0,1.0,0.867,1.0,0.0
