span_id,has_prediction,chosen_rule_id,macro_f1,test_correct,hazard_exact,scope.actor_exact,scope.domain_exact,scope.context_exact,conditions_exact,exceptions_exact,requirements_exact,evidence_exact,evidence_signals_exact,hazard_f1,scope.actor_f1,scope.domain_f1,scope.context_f1,conditions_f1,exceptions_f1,requirements_f1,evidence_f1,evidence_signals_f1
Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0001,True,spans-passthrough-candidates/sent_0001-efdbd2ed,0.5244107744107744,False,False,True,False,True,False,True,True,True,False,0.0,1.0,0.0,1.0,0.083,1.0,0.636,1.0,0.0
Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0002,True,spans-passthrough-candidates/sent_0002-7e15cae8,0.35792094615624026,False,False,False,False,True,False,True,False,True,False,0.143,0.0,0.0,1.0,0.0,1.0,0.412,0.667,0.0
Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0003,True,spans-passthrough-candidates/sent_0003-abba01e6,0.38461538461538464,False,False,True,False,False,False,True,False,False,False,0.0,1.0,0.0,0.0,0.462,1.0,0.5,0.5,0.0
Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0001,True,spans-passthrough-candidates/sent_0001-8d2c1f30,0.5052910052910052,False,False,True,False,False,True,True,True,True,False,0.083,1.0,0.0,0.0,0.714,1.0,0.75,1.0,0.0
Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0002,True,spans-passthrough-candidates/sent_0002-e607f1ea,0.4420995670995671,False,False,True,False,False,False,True,True,True,False,0.286,1.0,0.0,0.0,0.125,1.0,0.818,0.75,0.0
Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0003,True,spans-passthrough-candidates/sent_0003-53653fe8,0.5236291486291487,False,False,True,False,False,False,True,True,True,False,0.375,1.0,0.0,0.0,0.429,1.0,0.909,1.0,0.0
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0001,True,spans-passthrough-candidates/sent_0001-87c5e4fd,0.46031746031746024,False,False,True,False,False,False,True,True,True,False,0.143,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0002,True,spans-passthrough-candidates/sent_0002-22157f29,0.23953823953823955,False,False,False,False,False,False,True,True,False,False,0.0,0.0,0.0,0.0,0.429,1.0,0.727,0.0,0.0
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0003,True,spans-passthrough-candidates/sent_0003-7b901a2e,0.3838383838383838,False,False,False,False,True,True,True,False,False,False,0.273,0.0,0.0,1.0,1.0,1.0,0.182,0.0,0.0
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0004,True,spans-passthrough-candidates/sent_0004-a2138cbf,0.42297369833601717,False,False,False,False,False,True,True,True,True,False,0.333,0.0,0.0,0.0,0.778,1.0,0.696,1.0,0.0
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0005,True,spans-passthrough-candidates/sent_0005-35283c36,0.42991452991452994,False,False,True,False,False,False,True,True,True,False,0.0,1.0,0.0,0.0,0.269,1.0,0.6,1.0,0.0
Microsoft/index/accountability-goals/goal-a4-data-governance-and-management/sent_0001,True,spans-passthrough-candidates/sent_0001-ac18f8a4,0.3752723311546841,False,False,False,False,False,True,True,False,True,False,0.083,0.0,0.0,0.0,1.0,1.0,0.294,1.0,0.0
Microsoft/index/accountability-goals/goal-a4-data-governance-and-management/sent_0002,True,spans-passthrough-candidates/sent_0002-0d674ad1,0.47272727272727266,False,False,True,False,False,False,True,True,True,False,0.1,1.0,0.0,0.0,0.455,1.0,0.7,1.0,0.0
Microsoft/index/accountability-goals/goal-a4-data-governance-and-management/sent_0003,True,spans-passthrough-candidates/sent_0003-e978e06f,0.41792929292929293,False,False,True,False,False,True,True,True,False,False,0.125,1.0,0.0,0.0,1.0,1.0,0.636,0.0,0.0
Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0001,True,spans-passthrough-candidates/sent_0001-bb34cd08,0.3817663817663818,False,False,True,False,False,False,True,True,True,False,0.0,1.0,0.0,0.0,0.0,1.0,0.769,0.667,0.0
Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0002,True,spans-passthrough-candidates/sent_0002-dfbb2756,0.37571225071225073,False,False,True,False,False,False,True,True,False,False,0.125,1.0,0.0,0.0,0.0,1.0,0.923,0.333,0.0
Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0003,True,spans-passthrough-candidates/sent_0003-f8db85c1,0.4126984126984127,False,False,True,False,False,True,True,False,False,False,0.143,1.0,0.0,0.0,1.0,1.0,0.571,0.0,0.0
Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0004,True,spans-passthrough-candidates/sent_0004-05ce2cf0,0.29594017094017094,False,False,False,False,False,False,True,False,True,False,0.125,0.0,0.0,0.0,0.0,1.0,0.538,1.0,0.0
Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0005,True,spans-passthrough-candidates/sent_0005-becbbc0b,0.2222222222222222,False,False,False,False,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0001,True,spans-passthrough-candidates/sent_0001-e2476063,0.1111111111111111,False,False,False,False,False,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0002,True,spans-passthrough-candidates/sent_0002-acf317f4,0.36333333333333334,False,False,True,False,False,True,True,False,False,False,0.0,1.0,0.0,0.0,0.75,1.0,0.52,0.0,0.0
Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0003,True,spans-passthrough-candidates/sent_0003-616f6071,0.5333333333333333,False,False,True,False,True,False,True,True,True,False,0.0,1.0,0.0,1.0,0.0,1.0,0.8,1.0,0.0
Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0004,True,spans-passthrough-candidates/sent_0004-5d0e1f1d,0.18518518518518517,False,False,False,False,False,False,True,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.667,0.0,0.0
Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0005,True,spans-passthrough-candidates/sent_0005-65e8546a,0.39913019079685746,False,False,True,False,False,True,True,False,False,False,0.167,1.0,0.0,0.0,0.778,1.0,0.273,0.375,0.0
Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0006,False,,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Microsoft/index/transparency-goals/goal-t2-communication-to-stakeholders/sent_0001,True,spans-passthrough-candidates/sent_0001-09e6c898,0.6552287581699345,False,False,True,False,False,True,True,True,True,True,0.5,1.0,0.0,0.0,0.75,1.0,0.647,1.0,1.0
Microsoft/index/transparency-goals/goal-t2-communication-to-stakeholders/sent_0002,True,spans-passthrough-candidates/sent_0002-dfad8774,0.5074074074074074,False,False,True,False,False,True,True,True,True,False,0.0,1.0,0.0,0.0,0.7,1.0,0.867,1.0,0.0
Microsoft/index/transparency-goals/goal-t2-communication-to-stakeholders/sent_0003,True,spans-passthrough-candidates/sent_0003-baebd990,0.47912992357436796,False,False,True,False,False,True,True,False,True,False,0.333,1.0,0.0,0.0,0.741,1.0,0.238,1.0,0.0
Microsoft/index/transparency-goals/goal-t3-disclosure-of-ai-interaction/sent_0001,True,spans-passthrough-candidates/sent_0001-8283602f,0.3333333333333333,False,False,True,False,False,False,False,True,True,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Microsoft/index/transparency-goals/goal-t3-disclosure-of-ai-interaction/sent_0002,True,spans-passthrough-candidates/sent_0002-613a6d42,0.36587301587301585,False,False,False,False,False,False,True,True,True,False,0.143,0.0,0.0,0.0,0.5,1.0,0.65,1.0,0.0
Microsoft/index/transparency-goals/goal-t3-disclosure-of-ai-interaction/sent_0003,True,spans-passthrough-candidates/sent_0003-b2ce5cee,0.432712215320911,False,False,True,False,True,False,True,True,False,False,0.286,1.0,0.0,1.0,0.0,1.0,0.609,0.0,0.0
Microsoft/index/transparency-goals/goal-t3-disclosure-of-ai-interaction/sent_0004,False,,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Microsoft/index/fairness-goals/goal-f1-quality-of-service/sent_0001,True,spans-passthrough-candidates/sent_0001-26b9d761,0.3102360602360602,False,False,False,False,False,False,True,False,True,False,0.286,0.0,0.0,0.0,0.083,1.0,0.423,1.0,0.0
Microsoft/index/fairness-goals/goal-f1-quality-of-service/sent_0002,True,spans-passthrough-candidates/sent_0002-12fa7564,0.30864197530864196,False,False,True,False,False,False,True,True,False,False,0.0,1.0,0.0,0.0,0.0,1.0,0.778,0.0,0.0
Microsoft/index/fairness-goals/goal-f1-quality-of-service/sent_0003,True,spans-passthrough-candidates/sent_0003-7bcc7268,0.3862433862433863,False,False,True,False,False,True,True,False,False,False,0.0,1.0,0.0,0.0,1.0,1.0,0.476,0.0,0.0
Microsoft/index/fairness-goals/goal-f1-quality-of-service/sent_0004,True,spans-passthrough-candidates/sent_0004-133f5a27,0.30864197530864196,False,False,False,False,True,False,True,True,False,False,0.0,0.0,0.0,1.0,0.0,1.0,0.778,0.0,0.0
Microsoft/index/fairness-goals/goal-f1-quality-of-service/sent_0006,True,spans-passthrough-candidates/sent_0006-68aa2206,0.33394607843137253,False,False,False,False,True,False,True,False,False,False,0.25,0.0,0.0,1.0,0.412,1.0,0.344,0.0,0.0
Microsoft/index/fairness-goals/goal-f1-quality-of-service/sent_0007,True,spans-passthrough-candidates/sent_0007-de813705,0.5185185185185185,False,False,True,False,True,True,True,False,False,False,0.4,1.0,0.0,1.0,1.0,1.0,0.267,0.0,0.0
Microsoft/index/fairness-goals/goal-f1-quality-of-service/sent_0008,False,,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Microsoft/index/fairness-goals/goal-f1-quality-of-service/sent_0009,False,,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
