kept_rule_id	span_id
spans-passthrough-candidates/sent_0001-0c15f1f7	Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0001
spans-passthrough-candidates/sent_0001-a733aa92	Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0001
spans-passthrough-candidates/sent_0002-6f0977d3	Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0002
spans-passthrough-candidates/sent_0002-7a8bc55c	Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0002
spans-passthrough-candidates/sent_0003-954df305	Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0003
spans-passthrough-candidates/sent_0003-8690b0b8	Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0003
spans-passthrough-candidates/sent_0001-9155a42b	Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0001
spans-passthrough-candidates/sent_0001-e07c2e1d	Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0001
spans-passthrough-candidates/sent_0001-42893167	Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0001
spans-passthrough-candidates/sent_0002-505dbe79	Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0002
spans-passthrough-candidates/sent_0003-639cad7a	Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0003
spans-passthrough-candidates/sent_0003-33e24475	Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0003
spans-passthrough-candidates/sent_0002-978daecc	Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0002
spans-passthrough-candidates/sent_0002-572863aa	Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0002
spans-passthrough-candidates/sent_0002-c48b7c1f	Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0002
spans-passthrough-candidates/sent_0002-9b79e721	Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0002
spans-passthrough-candidates/sent_0002-8001b94f	Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0002
spans-passthrough-candidates/sent_0003-63ba2b9b	Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0003
spans-passthrough-candidates/sent_0003-c0fde617	Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0003
spans-passthrough-candidates/sent_0005-613d7a82	Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0005
spans-passthrough-candidates/sent_0005-8f67924d	Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0005
spans-passthrough-candidates/sent_0005-e4d7b496	Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0005
spans-passthrough-candidates/sent_0005-76000748	Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0005
spans-passthrough-candidates/sent_0005-427fe04b	Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0005
spans-passthrough-candidates/sent_0005-427fe04b	Microsoft/index/reliability-safety-goals/goal-rs3-ongoing-monitoring-feedback-and-evaluation/sent_0004
spans-passthrough-candidates/sent_0001-4eb67fac	Microsoft/index/accountability-goals/goal-a4-data-governance-and-management/sent_0001
spans-passthrough-candidates/sent_0001-5ec991b9	Microsoft/index/accountability-goals/goal-a4-data-governance-and-management/sent_0001
spans-passthrough-candidates/sent_0002-45fafdbb	Microsoft/index/accountability-goals/goal-a4-data-governance-and-management/sent_0002
spans-passthrough-candidates/sent_0002-0dd4061d	Microsoft/index/accountability-goals/goal-a4-data-governance-and-management/sent_0002
spans-passthrough-candidates/sent_0003-fc9d899a	Microsoft/index/accountability-goals/goal-a4-data-governance-and-management/sent_0003
spans-passthrough-candidates/sent_0001-c6725628	Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0001
spans-passthrough-candidates/sent_0001-dd5dd49c	Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0001
spans-passthrough-candidates/sent_0002-b95b775c	Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0002
spans-passthrough-candidates/sent_0002-af42c070	Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0002
spans-passthrough-candidates/sent_0002-b8cf4743	Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0002
spans-passthrough-candidates/sent_0002-c5bd3994	Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0002
spans-passthrough-candidates/sent_0002-5cc07596	Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0002
spans-passthrough-candidates/sent_0002-b2b55c39	Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0002
spans-passthrough-candidates/sent_0003-44535e91	Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0003
spans-passthrough-candidates/sent_0003-d24f4a89	Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0003
spans-passthrough-candidates/sent_0004-2a5dc05c	Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0004
spans-passthrough-candidates/sent_0004-a325ccf5	Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0004
spans-passthrough-candidates/sent_0005-8c75977a	Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0005
spans-passthrough-candidates/sent_0005-addd323c	Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0005
spans-passthrough-candidates/sent_0005-addd323c	Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0005
spans-passthrough-candidates/sent_0001-502b4b99	Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0001
spans-passthrough-candidates/sent_0002-6d6fc34e	Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0002
spans-passthrough-candidates/sent_0002-604018f1	Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0002
spans-passthrough-candidates/sent_0002-58bce542	Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0002
spans-passthrough-candidates/sent_0004-69e13343	Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0004
spans-passthrough-candidates/sent_0004-69e13343	Microsoft/index/transparency-goals/goal-t3-disclosure-of-ai-interaction/sent_0004
spans-passthrough-candidates/sent_0004-70b7b54f	Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0004
spans-passthrough-candidates/sent_0005-22ebc471	Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0005
spans-passthrough-candidates/sent_0005-59a20598	Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0005
spans-passthrough-candidates/sent_0005-ec569138	Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0005
spans-passthrough-candidates/sent_0006-27c5fdc7	Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0006
spans-passthrough-candidates/sent_0006-394c46ce	Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0006
spans-passthrough-candidates/sent_0002-d1d12be3	Microsoft/index/transparency-goals/goal-t2-communication-to-stakeholders/sent_0002
spans-passthrough-candidates/sent_0002-69c92afe	Microsoft/index/transparency-goals/goal-t2-communication-to-stakeholders/sent_0002
spans-passthrough-candidates/sent_0002-9f775547	Microsoft/index/transparency-goals/goal-t2-communication-to-stakeholders/sent_0002
spans-passthrough-candidates/sent_0002-44f96ba3	Microsoft/index/transparency-goals/goal-t2-communication-to-stakeholders/sent_0002
spans-passthrough-candidates/sent_0003-bf94201c	Microsoft/index/transparency-goals/goal-t2-communication-to-stakeholders/sent_0003
spans-passthrough-candidates/sent_0003-a4a92a39	Microsoft/index/transparency-goals/goal-t2-communication-to-stakeholders/sent_0003
spans-passthrough-candidates/sent_0002-f012d2a5	Microsoft/index/transparency-goals/goal-t3-disclosure-of-ai-interaction/sent_0002
spans-passthrough-candidates/sent_0004-2d0e8823	Microsoft/index/transparency-goals/goal-t3-disclosure-of-ai-interaction/sent_0004
