duplicate_rule_id	kept_rule_id
spans-passthrough-candidates/sent_0002-608612c1	spans-passthrough-candidates/sent_0002-d439fe66
spans-passthrough-candidates/sent_0002-7bdce7d4	spans-passthrough-candidates/sent_0002-70fcc1c4
spans-passthrough-candidates/sent_0001-bce9c4a4	spans-passthrough-candidates/sent_0001-f1369e50
spans-passthrough-candidates/sent_0002-736fe5b2	spans-passthrough-candidates/sent_0002-9b0fc191
spans-passthrough-candidates/sent_0001-21092f78	spans-passthrough-candidates/sent_0001-dee2ed0a
spans-passthrough-candidates/sent_0001-a6f3bfb3	spans-passthrough-candidates/sent_0001-dee2ed0a
spans-passthrough-candidates/sent_0001-1a0f996c	spans-passthrough-candidates/sent_0001-5009f171
spans-passthrough-candidates/sent_0004-0a450dce	spans-passthrough-candidates/sent_0004-fa6727d1
spans-passthrough-candidates/sent_0001-6f6dffba	spans-passthrough-candidates/sent_0001-767fa926
spans-passthrough-candidates/sent_0001-84898e86	spans-passthrough-candidates/sent_0001-767fa926
spans-passthrough-candidates/sent_0001-d0ef4098	spans-passthrough-candidates/sent_0001-90cfcdf6
spans-passthrough-candidates/sent_0002-5deddc14	spans-passthrough-candidates/sent_0002-3a014ff2
spans-passthrough-candidates/sent_0002-1ebb3cfd	spans-passthrough-candidates/sent_0002-3a014ff2
