span_id,has_prediction,chosen_rule_id,macro_f1,test_correct,hazard_exact,scope.actor_exact,scope.domain_exact,scope.context_exact,conditions_exact,exceptions_exact,requirements_exact,evidence_exact,evidence_signals_exact,hazard_f1,scope.actor_f1,scope.domain_f1,scope.context_f1,conditions_f1,exceptions_f1,requirements_f1,evidence_f1,evidence_signals_f1
Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0001,True,spans-passthrough-candidates/sent_0001-c1eaed19,0.4132996632996633,False,False,True,False,False,False,True,True,True,False,0.0,1.0,0.0,0.0,0.083,1.0,0.636,1.0,0.0
Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0002,True,spans-passthrough-candidates/sent_0002-b8008c43,0.4939874939874939,False,False,True,False,True,False,True,True,True,False,0.143,1.0,0.0,1.0,0.0,1.0,0.636,0.667,0.0
Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0003,True,spans-passthrough-candidates/sent_0003-37ad7112,0.39078822412155745,False,False,True,False,False,False,True,False,False,False,0.0,1.0,0.0,0.0,0.462,1.0,0.556,0.5,0.0
Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0001,True,spans-passthrough-candidates/sent_0001-1f1f233b,0.5285714285714286,False,False,True,False,False,True,True,True,True,False,0.0,1.0,0.0,0.0,0.857,1.0,0.9,1.0,0.0
Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0002,True,spans-passthrough-candidates/sent_0002-ab4fb6d8,0.33585858585858586,False,False,True,False,False,False,True,True,False,False,0.0,1.0,0.0,0.0,0.273,1.0,0.75,0.0,0.0
Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0003,True,spans-passthrough-candidates/sent_0003-71a3cebd,0.563973063973064,False,False,True,False,False,True,True,True,True,False,0.167,1.0,0.0,0.0,1.0,1.0,0.909,1.0,0.0
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0001,True,spans-passthrough-candidates/sent_0001-4f53c071,0.462962962962963,False,False,True,False,False,False,True,True,True,False,0.167,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0002,True,spans-passthrough-candidates/sent_0002-9c5ba869,0.39814814814814814,False,False,True,False,False,False,True,False,True,False,0.0,1.0,0.0,0.0,0.0,1.0,0.583,1.0,0.0
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0003,True,spans-passthrough-candidates/sent_0003-8e09f57b,0.14923747276688454,False,False,False,False,False,False,True,False,False,False,0.167,0.0,0.0,0.0,0.0,1.0,0.176,0.0,0.0
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0004,True,spans-passthrough-candidates/sent_0004-883968a3,0.3521202361782072,False,False,False,False,False,True,True,False,True,False,0.0,0.0,0.0,0.0,0.778,1.0,0.391,1.0,0.0
