k,span_id,score,tp,fp,precision,recall
0,,1.0,0,0,1.0,0.0
1,Microsoft/index/reliability-safety-goals/goal-rs1-reliability-and-safety-guidance/sent_0004,0.6502849002849003,1,0,1.0,0.014084507042253521
2,Microsoft/index/fairness-goals/goal-f2-allocation-of-resources-and-opportunities/sent_0006,0.6388888888888888,2,0,1.0,0.028169014084507043
3,Microsoft/index/transparency-goals/goal-t2-communication-to-stakeholders/sent_0001,0.6226851851851852,3,0,1.0,0.04225352112676056
4,Microsoft/index/reliability-safety-goals/goal-rs2-failures-and-remediations/sent_0004,0.6111111111111112,4,0,1.0,0.056338028169014086
5,Microsoft/index/fairness-goals/goal-f3-minimization-of-stereotyping-demeaning-and-erasing-o/sent_0003,0.5899470899470899,5,0,1.0,0.07042253521126761
6,Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0001,0.5555555555555556,6,0,1.0,0.08450704225352113
7,Microsoft/index/fairness-goals/goal-f3-minimization-of-stereotyping-demeaning-and-erasing-o/sent_0002,0.5555555555555556,7,0,1.0,0.09859154929577464
8,Microsoft/index/reliability-safety-goals/goal-rs1-reliability-and-safety-guidance/sent_0001,0.5476190476190477,8,0,1.0,0.11267605633802817
9,Microsoft/index/reliability-safety-goals/goal-rs3-ongoing-monitoring-feedback-and-evaluation/sent_0006,0.5460317460317461,9,0,1.0,0.1267605633802817
10,Microsoft/index/transparency-goals/goal-t2-communication-to-stakeholders/sent_0002,0.5343915343915344,10,0,1.0,0.14084507042253522
11,Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0001,0.5285714285714286,11,0,1.0,0.15492957746478872
12,Microsoft/index/fairness-goals/goal-f2-allocation-of-resources-and-opportunities/sent_0004,0.5187536743092299,12,0,1.0,0.16901408450704225
13,Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0003,0.5021645021645021,13,0,1.0,0.18309859154929578
14,Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0003,0.5,14,0,1.0,0.19718309859154928
15,Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0002,0.49329805996472664,15,0,1.0,0.2112676056338028
16,Microsoft/index/transparency-goals/goal-t3-disclosure-of-ai-interaction/sent_0002,0.48663324979114453,16,0,1.0,0.22535211267605634
17,Microsoft/index/fairness-goals/goal-f3-minimization-of-stereotyping-demeaning-and-erasing-o/sent_0001,0.4793650793650793,17,0,1.0,0.23943661971830985
18,Microsoft/index/fairness-goals/goal-f2-allocation-of-resources-and-opportunities/sent_0007,0.4774250440917107,18,0,1.0,0.2535211267605634
19,Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0005,0.4729986197377502,19,0,1.0,0.2676056338028169
20,Microsoft/index/fairness-goals/goal-f2-allocation-of-resources-and-opportunities/sent_0003,0.46901709401709407,20,0,1.0,0.28169014084507044
