span_id,text,scope.actor,scope.domain,scope.context,hazard,requirement,exceptions,conditions,is_testable,evidence_signals,evidence,rule_id
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0003,"A covered entity or business associate may not use or disclose protected health information,
except as permitted or required by this subpart or by subpart C of part 160 of this subchapter. (1)
Covered entities: Permitted uses and disclosures. A covered entity is permitted to use or disclose
protected health information as follows:
(i)
To the individual;
(ii)
For treatment, payment, or health care operations, as permitted by and in compliance with §
164.506;
(iii) Incident to a use or disclosure otherwise permitted or required by this subpart, provided that the
covered entity has complied with the applicable requirements of §§ 164.502(b), 164.514(d),
and 164.530(c) with respect to such otherwise permitted or required use or disclosure;
(iv) Except for uses and disclosures prohibited under § 164.502(a)(5)(i), pursuant to and in
compliance with a valid authorization under § 164.508;
45 CFR Part 164 Subpart E (up to date as of 9/29/2025)
Privacy of Individually Identifiable Health Information
45 CFR 164.501 ""Payment"" (2)(vi)(C)",org; business associate,null,regulated,unauthorized PHI disclosure,An org or business associate shall not use or disclose protected health information except as explicitly permitted or required by regulation.,"as permitted or required by 45 CFR 164 Subpart E or 160 Subpart C; disclosure is to the individual; for treatment, payment, or health care operations; incident to an otherwise permitted use or disclosure; pursuant to a valid authorization",processing protected health information,TRUE,log_check; config_check; access_check; attest_check,valid authorization record,1
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0005,"A covered entity is required to disclose protected health
information:
(i)
To an individual, when requested under, and required by § 164.524 or § 164.528; and
(ii)
When required by the Secretary under subpart C of part 160 of this subchapter to investigate or
determine the covered entity's compliance with this subchapter. (3)
Business associates: Permitted uses and disclosures. A business associate may use or disclose
protected health information only as permitted or required by its business associate contract or
other arrangement pursuant to § 164.504(e) or as required by law. The business associate may not
use or disclose protected health information in a manner that would violate the requirements of this
subpart, if done by the covered entity, except for the purposes specified under § 164.504(e)(2)(i)(A)
or (B) if such uses or disclosures are permitted by its contract or other arrangement.",org,null,regulated,Improper denial of PHI access,An org must disclose protected health information to an individual when requested under § 164.524 or § 164.528.,null,upon individual request under § 164.524 or § 164.528,TRUE,log_check; attest_check,null,1
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0005,"A covered entity is required to disclose protected health
information:
(i)
To an individual, when requested under, and required by § 164.524 or § 164.528; and
(ii)
When required by the Secretary under subpart C of part 160 of this subchapter to investigate or
determine the covered entity's compliance with this subchapter. (3)
Business associates: Permitted uses and disclosures. A business associate may use or disclose
protected health information only as permitted or required by its business associate contract or
other arrangement pursuant to § 164.504(e) or as required by law. The business associate may not
use or disclose protected health information in a manner that would violate the requirements of this
subpart, if done by the covered entity, except for the purposes specified under § 164.504(e)(2)(i)(A)
or (B) if such uses or disclosures are permitted by its contract or other arrangement.",org,null,regulated,Non-compliance with regulatory investigation,An org must disclose protected health information when required by the Secretary for a compliance investigation.,null,when required by the Secretary for a compliance investigation,TRUE,attest_check; log_check,null,2
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0005,"A covered entity is required to disclose protected health
information:
(i)
To an individual, when requested under, and required by § 164.524 or § 164.528; and
(ii)
When required by the Secretary under subpart C of part 160 of this subchapter to investigate or
determine the covered entity's compliance with this subchapter. (3)
Business associates: Permitted uses and disclosures. A business associate may use or disclose
protected health information only as permitted or required by its business associate contract or
other arrangement pursuant to § 164.504(e) or as required by law. The business associate may not
use or disclose protected health information in a manner that would violate the requirements of this
subpart, if done by the covered entity, except for the purposes specified under § 164.504(e)(2)(i)(A)
or (B) if such uses or disclosures are permitted by its contract or other arrangement.",business associate,null,regulated,Unauthorized PHI disclosure by a third party,A business associate must only use or disclose protected health information as permitted by its business associate contract or as required by law.,null,null,TRUE,attest_check; log_check; config_check,business associate contract,3
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0005,"A covered entity is required to disclose protected health
information:
(i)
To an individual, when requested under, and required by § 164.524 or § 164.528; and
(ii)
When required by the Secretary under subpart C of part 160 of this subchapter to investigate or
determine the covered entity's compliance with this subchapter. (3)
Business associates: Permitted uses and disclosures. A business associate may use or disclose
protected health information only as permitted or required by its business associate contract or
other arrangement pursuant to § 164.504(e) or as required by law. The business associate may not
use or disclose protected health information in a manner that would violate the requirements of this
subpart, if done by the covered entity, except for the purposes specified under § 164.504(e)(2)(i)(A)
or (B) if such uses or disclosures are permitted by its contract or other arrangement.",business associate,null,regulated,Circumvention of PHI protection rules via a third party,A business associate shall not use or disclose protected health information in a manner that would violate the subpart's requirements if the action were performed by the covered entity.,for purposes specified under § 164.504(e)(2)(i)(A) or (B) if permitted by contract,when using or disclosing protected health information,TRUE,log_check; config_check; attest_check,business associate contract,4
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0006,"(4)
Business associates: Required uses and disclosures. A business associate is required to disclose
protected health information:
(i)
When required by the Secretary under subpart C of part 160 of this subchapter to investigate or
determine the business associate's compliance with this subchapter. (ii)
To the covered entity, individual, or individual's designee, as necessary to satisfy a covered
entity's obligations under § 164.524(c)(2)(ii) and (3)(ii) with respect to an individual's request
for an electronic copy of protected health information. (5)
Prohibited uses and disclosures —
(i)
Use and disclosure of genetic information for underwriting purposes: Notwithstanding any other
provision of this subpart, a health plan, excluding an issuer of a long-term care policy falling
within paragraph (1)(viii) of the definition of health plan, shall not use or disclose protected
health information that is genetic information for underwriting purposes.",business associate,null,regulated,Regulatory non-compliance,A business associate must disclose protected health information when required by the Secretary to investigate or determine the business associate's compliance.,null,when required by the Secretary for a compliance investigation,TRUE,attest_check,null,1
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0006,"(4)
Business associates: Required uses and disclosures. A business associate is required to disclose
protected health information:
(i)
When required by the Secretary under subpart C of part 160 of this subchapter to investigate or
determine the business associate's compliance with this subchapter. (ii)
To the covered entity, individual, or individual's designee, as necessary to satisfy a covered
entity's obligations under § 164.524(c)(2)(ii) and (3)(ii) with respect to an individual's request
for an electronic copy of protected health information. (5)
Prohibited uses and disclosures —
(i)
Use and disclosure of genetic information for underwriting purposes: Notwithstanding any other
provision of this subpart, a health plan, excluding an issuer of a long-term care policy falling
within paragraph (1)(viii) of the definition of health plan, shall not use or disclose protected
health information that is genetic information for underwriting purposes.",business associate,null,regulated,Denial of data access rights,"A business associate must disclose protected health information to the covered entity, individual, or individual's designee to fulfill an individual's request for an electronic copy of their protected health information.",null,upon an individual's request for an electronic copy of their PHI,TRUE,log_check; attest_check,null,2
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0006,"(4)
Business associates: Required uses and disclosures. A business associate is required to disclose
protected health information:
(i)
When required by the Secretary under subpart C of part 160 of this subchapter to investigate or
determine the business associate's compliance with this subchapter. (ii)
To the covered entity, individual, or individual's designee, as necessary to satisfy a covered
entity's obligations under § 164.524(c)(2)(ii) and (3)(ii) with respect to an individual's request
for an electronic copy of protected health information. (5)
Prohibited uses and disclosures —
(i)
Use and disclosure of genetic information for underwriting purposes: Notwithstanding any other
provision of this subpart, a health plan, excluding an issuer of a long-term care policy falling
within paragraph (1)(viii) of the definition of health plan, shall not use or disclose protected
health information that is genetic information for underwriting purposes.",org,null,regulated,Discriminatory use of genetic data,An org shall not use or disclose protected health information that is genetic information for underwriting purposes.,does not apply to an issuer of a long-term care policy,for underwriting purposes,TRUE,data_check; log_check; config_check,null,3
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0008,"(3)
The application of any pre-existing condition exclusion under the plan, coverage, or
policy; and
(4)
Other activities related to the creation, renewal, or replacement of a contract of health
insurance or health benefits. (B)
Underwriting purposes does not include determinations of medical appropriateness where
an individual seeks a benefit under the plan, coverage, or policy. (ii)
Sale of protected health information:
(A)
Except pursuant to and in compliance with § 164.508(a)(4), a covered entity or business
associate may not sell protected health information. (B)
For purposes of this paragraph, sale of protected health information means:
(1)
Except as provided in paragraph (a)(5)(ii)(B)(2) of this section, a disclosure of
protected health information by a covered entity or business associate, if applicable,
where the covered entity or business associate directly or indirectly receives
remuneration from or on behalf of the recipient of the protected health information in
exchange for the protected health information.",org; business associate,null,regulated,unauthorized sale of PHI,An org or business associate shall not sell protected health information.,pursuant to and in compliance with § 164.508(a)(4),receiving remuneration for PHI disclosure,TRUE,log_check; attest_check,null,1
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0010,"(iii) Reproductive health care —
(A)
Prohibition. Subject to paragraphs (a)(5)(iii)(B) and (C) of this section, a covered entity or
business associate may not use or disclose protected health information for any of the
following activities:
(1)
To conduct a criminal, civil, or administrative investigation into any person for the
mere act of seeking, obtaining, providing, or facilitating reproductive health care. (2)
To impose criminal, civil, or administrative liability on any person for the mere act of
seeking, obtaining, providing, or facilitating reproductive health care. (3)
To identify any person for any purpose described in paragraphs (a)(5)(iii)(A)(1) or (2)
of this section.",org; business associate,null,regulated,Misuse of PHI for legal action related to reproductive care,An org or business associate shall not use or disclose protected health information to conduct an investigation into any person for the mere act of engaging in reproductive health care.,subject to paragraphs (a)(5)(iii)(B) and (C) of this section,"for the purpose of conducting a criminal, civil, or administrative investigation into a person for seeking, obtaining, providing, or facilitating reproductive health care",TRUE,log_check; attest_check; config_check,null,1
