span_id,has_prediction,chosen_rule_id,macro_f1,test_correct,hazard_exact,scope.actor_exact,scope.domain_exact,scope.context_exact,conditions_exact,exceptions_exact,requirements_exact,evidence_exact,evidence_signals_exact,hazard_f1,scope.actor_f1,scope.domain_f1,scope.context_f1,conditions_f1,exceptions_f1,requirements_f1,evidence_f1,evidence_signals_f1
EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0001,True,spans-passthrough-candidates/sent_0001-051aaad4,0.5364057239057238,False,False,True,False,False,True,True,True,True,False,0.333,1.0,0.0,0.0,0.812,1.0,0.682,1.0,0.0
EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0002,True,spans-passthrough-candidates/sent_0002-628411df,0.47027972027972026,False,False,True,False,True,False,True,True,False,False,0.25,1.0,0.0,1.0,0.136,1.0,0.846,0.0,0.0
EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0003,True,spans-passthrough-candidates/sent_0003-53980801,0.42207792207792205,False,False,True,False,True,False,True,True,False,False,0.0,1.0,0.0,1.0,0.071,1.0,0.727,0.0,0.0
EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0001,True,spans-passthrough-candidates/sent_0001-7f538651,0.24074074074074078,False,False,False,False,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,1.0,0.167,1.0,0.0
EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0002,True,spans-passthrough-candidates/sent_0002-2c8a99ba,0.5051724137931034,False,False,True,False,False,False,True,True,True,False,0.2,1.0,0.0,0.0,0.45,1.0,0.897,1.0,0.0
EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0003,True,spans-passthrough-candidates/sent_0003-f73b67aa,0.45370370370370366,False,False,True,False,True,False,True,False,False,False,0.25,1.0,0.0,1.0,0.333,1.0,0.5,0.0,0.0
EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0004,True,spans-passthrough-candidates/sent_0004-96fcaf11,0.39722222222222225,False,False,True,False,True,False,False,False,True,False,0.167,1.0,0.0,1.0,0.2,0.0,0.208,1.0,0.0
EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0001,True,spans-passthrough-candidates/sent_0001-dee2ed0a,0.49546880213546884,False,False,True,True,True,False,True,False,False,False,0.111,1.0,1.0,1.0,0.108,1.0,0.24,0.0,0.0
EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0002,True,spans-passthrough-candidates/sent_0002-20b14c55,0.5154094045025417,False,False,True,False,True,False,True,False,True,False,0.111,1.0,0.0,1.0,0.059,1.0,0.469,1.0,0.0
EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0003,True,spans-passthrough-candidates/sent_0003-40273bea,0.43783068783068785,False,False,True,False,False,False,True,False,True,False,0.429,1.0,0.0,0.0,0.333,1.0,0.429,0.75,0.0
EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0004,True,spans-passthrough-candidates/sent_0004-fa6727d1,0.4617283950617284,False,False,False,False,True,True,True,False,True,False,0.222,0.0,0.0,1.0,0.6,1.0,0.333,1.0,0.0
EU_AI_2024_removed/article-12/sent_0001,True,spans-passthrough-candidates/sent_0001-4c3518c1,0.27905982905982907,False,False,False,False,True,False,True,False,False,False,0.083,0.0,0.0,1.0,0.3,1.0,0.128,0.0,0.0
EU_AI_2024_removed/article-12/sent_0002,True,spans-passthrough-candidates/sent_0002-9b0fc191,0.3802469135802469,False,False,False,False,False,True,True,False,True,False,0.222,0.0,0.0,0.0,1.0,1.0,0.2,1.0,0.0
EU_AI_2024_removed/article-12/sent_0003,True,spans-passthrough-candidates/sent_0003-867b1373,0.4372549019607843,False,False,False,False,True,False,True,False,True,False,0.2,0.0,0.0,1.0,0.235,1.0,0.5,1.0,0.0
EU_AI_2024_removed/v-when-appropriate-its-performance-regarding-specific-person/sent_0001,True,spans-passthrough-candidates/sent_0001-27cd0659,0.22764227642276424,False,False,False,False,True,False,True,False,False,False,0.0,0.0,0.0,1.0,0.0,1.0,0.049,0.0,0.0
EU_AI_2024_removed/v-when-appropriate-its-performance-regarding-specific-person/sent_0002,True,spans-passthrough-candidates/sent_0002-a14edeed,0.4884707287933094,False,False,True,False,False,False,True,True,True,False,0.333,1.0,0.0,0.0,0.45,1.0,0.613,1.0,0.0
EU_AI_2024_removed/the-output-of-the-high-risk-ai-system/sent_0001,True,spans-passthrough-candidates/sent_0001-99dca09e,0.2761610817166373,False,False,False,False,False,False,False,True,True,False,0.333,0.0,0.0,0.0,0.259,0.0,0.893,1.0,0.0
EU_AI_2024_removed/the-output-of-the-high-risk-ai-system/sent_0002,True,spans-passthrough-candidates/sent_0002-f527e665,0.4492337164750958,False,False,False,False,False,True,True,True,True,False,0.25,0.0,0.0,0.0,1.0,1.0,0.793,1.0,0.0
EU_AI_2024_removed/the-output-of-the-high-risk-ai-system/sent_0003,True,spans-passthrough-candidates/sent_0003-a294a410,0.43658810325476993,False,False,False,False,False,True,True,True,True,False,0.111,0.0,0.0,0.0,1.0,1.0,0.818,1.0,0.0
EU_AI_2024_removed/the-output-of-the-high-risk-ai-system/sent_0004,False,,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
