sim	a_rule_id	a_req	b_rule_id	b_req
0.9943	spans-passthrough-candidates/sent_0001-9155a42b	Review defined Restricted Uses to determine whether the system meets the definition of any Restricted Use. | Document this in the Impact Assessment. | Follow the requirements for the Restricted Use.	spans-passthrough-candidates/sent_0001-42893167	Review defined Restricted Uses to determine whether the system meets the definition of any Restricted Use. | Document this in the Impact Assessment. | Follow the requirements for the Restricted Use.
0.9877	spans-passthrough-candidates/sent_0002-978daecc	Define and document the model's proposed inputs and analyze the limitations of this representation. | Define and document the model's proposed output and analyze the limitations of this representation. | Define and document the limitations to the generalizability of the resulting model based on the training and testing data that will be used. | Define and document Responsible Release Criteria for this Goal. | Include a concise definition of the problem being solved in the intended use. | Define performance metrics and their Responsible Release Criteria. | Define error types and their Responsible Release Criteria. | Document an evaluation plan for each of the performance metrics and error types.	spans-passthrough-candidates/sent_0002-572863aa	Define and document the model's proposed inputs and analyze the limitations of this representation. | Define and document the model's proposed output and analyze the limitations of this representation. | Define and document the limitations to the generalizability of the resulting model based on the training and testing data that will be used. | Define and document Responsible Release Criteria for this Goal. | Document an evaluation plan for each of the performance metrics and error types.
0.9868	spans-passthrough-candidates/sent_0001-9155a42b	Review defined Restricted Uses to determine whether the system meets the definition of any Restricted Use. | Document this in the Impact Assessment. | Follow the requirements for the Restricted Use.	spans-passthrough-candidates/sent_0001-e07c2e1d	Review defined Restricted Uses to determine whether the system meets the definition of any Restricted Use. | Document in the Impact Assessment if the system meets the definition of any Restricted Use. | Follow the requirements for the Restricted Use.
0.9846	spans-passthrough-candidates/sent_0002-978daecc	Define and document the model's proposed inputs and analyze the limitations of this representation. | Define and document the model's proposed output and analyze the limitations of this representation. | Define and document the limitations to the generalizability of the resulting model based on the training and testing data that will be used. | Define and document Responsible Release Criteria for this Goal. | Include a concise definition of the problem being solved in the intended use. | Define performance metrics and their Responsible Release Criteria. | Define error types and their Responsible Release Criteria. | Document an evaluation plan for each of the performance metrics and error types.	spans-passthrough-candidates/sent_0002-c48b7c1f	Define and document the model's proposed inputs and how well they represent the concepts they are intended to represent; include analysis of the limitations of this representation. | Define and document the model's proposed output and how well it represents the concept it is intended to represent; include analysis of the limitations of this representation. | Define and document the limitations to the generalizability of the resulting model based on the training and testing data that will be used. | Define and document Responsible Release Criteria for this Goal, including a concise definition of the problem being solved in the intended use, performance metrics and their Responsible Release Criteria, and error types and their Responsible Release Criteria. | Document an evaluation plan for each of the performance metrics and error types.
0.9841	spans-passthrough-candidates/sent_0001-4e6ccb60	Identify and prioritize demographic groups that may be at risk of being subject to stereotyping, demeaning, or erasing outputs of the system. | Identify groups defined by a single factor. | Identify groups defined by a combination of factors.	spans-passthrough-candidates/sent_0001-97f4899d	Identify and prioritize demographic groups, including marginalized groups, that may be at risk of being subject to stereotyping, demeaning, or erasing outputs of the system. | Include groups defined by a single factor. | Include groups defined by a combination of factors.
0.9813	spans-passthrough-candidates/sent_0008-5e647c19	use Best Practices for Age, Gender Identity, and Ancestry to help identify demographic groups and methods for collecting demographic information. | work with user researchers to understand variations in demographic groups across intended uses and geographic areas. | work with domain-specific subject matter experts to understand the facts that impact performance of your system and how they vary across identified demographic groups in this domain. | work with members of identified demographic groups to understand risks of and impacts associated with differences between the rates at which resources and opportunities are allocated.	spans-passthrough-candidates/sent_0008-f4ca6f6d	use Best Practices for Age, Gender Identity, and Ancestry to help identify demographic groups and methods for collecting demographic information. | work with user researchers to understand variations in demographic groups across intended uses and geographic areas. | work with domain-specific subject matter experts to understand the facts that impact performance of your system and how they vary across identified demographic groups in this domain. | work with members of identified demographic groups to understand risks of and impacts associated with differences between the rates at which resources and opportunities are allocated.
0.9810	spans-passthrough-candidates/sent_0011-5f01a348	Use Error Analysis to help understand factors that may account for performance levels and differences. | Use one or more techniques available as part of the Interpret ML toolkit to help understand factors that may account for performance levels and differences. | Use the Fairlearn Python toolkit's assessment and mitigation capabilities, if appropriate for the system. | Be prepared to collect additional training data for identified demographic groups.	spans-passthrough-candidates/sent_0011-27181922	Use one or more techniques available as part of the Interpret ML toolkit to help understand factors that may account for performance levels and differences. | Use Error Analysis to help understand factors that may account for performance levels and differences. | Use the Fairlearn Python toolkit's assessment and mitigation capabilities, if appropriate for the system. | Be prepared to collect additional training data for identified demographic groups.
0.9771	spans-passthrough-candidates/sent_0005-addd323c	consult with the reviewers named in the Impact Assessment | develop a plan detailing how the gap will be managed until it can be closed | document that plan	spans-passthrough-candidates/sent_0005-22ebc471	consult with the reviewers named in the Impact Assessment | develop a plan detailing how the gap will be managed until it can be closed | document that plan
0.9759	spans-passthrough-candidates/sent_0005-613d7a82	remove the intended use from customer-facing materials and make current customers aware of the issue | take action to close the identified gap | discontinue the system | revise documentation related to the intended use | publish the revised documentation to customers	spans-passthrough-candidates/sent_0005-76000748	remove the intended use from customer-facing materials and make current customers aware of the issue | take action to close the identified gap | discontinue the system | revise documentation related to the intended use
0.9749	spans-passthrough-candidates/sent_0009-cc2ed59c	work with user researchers to understand variations in demographic groups across intended uses and geographic areas. | work with domain-specific subject matter experts to understand the factors that impact performance of your system and how they vary across identified demographic groups in this domain. | work with members of identified demographic groups to understand the risks of and impacts associated with differences in quality of service.	spans-passthrough-candidates/sent_0009-93640847	work with user researchers to understand variations in demographic groups across intended uses and geographic areas. | work with domain-specific subject matter experts to understand the factors that impact performance of your system and how they vary across identified demographic groups in this domain. | work with members of identified demographic groups to understand the risks of and impacts associated with differences in quality of service.
0.9740	spans-passthrough-candidates/sent_0005-613d7a82	remove the intended use from customer-facing materials and make current customers aware of the issue | take action to close the identified gap | discontinue the system | revise documentation related to the intended use | publish the revised documentation to customers	spans-passthrough-candidates/sent_0005-e4d7b496	remove the intended use from customer-facing materials and make current customers aware of the issue | take action to close the identified gap | discontinue the system | publish the revised documentation to customers
0.9642	spans-passthrough-candidates/sent_0005-0ac21ded	evaluate the system according to the evaluation plan defined in requirement RS1.6 | document the pre-release results of the evaluation | determine and document how often ongoing evaluation should be conducted	spans-passthrough-candidates/sent_0005-a49c9ff9	evaluate the system according to the evaluation plan defined in requirement RS1.6 | document the pre-release results of the evaluation | determine and document how often ongoing evaluation should be conducted
0.9626	spans-passthrough-candidates/sent_0002-04096553	evaluate the updated system in accordance with requirement RS1.6 | add the new intended use to the Impact Assessment | publish updated communication in accordance with requirement RS1.9	spans-passthrough-candidates/sent_0002-2b921134	evaluate the updated system in accordance with requirement RS1.6 | add the new intended use to the Impact Assessment | publish updated communication in accordance with requirement RS1.9 | update customer documentation to include the new use as an unsupported use
0.9617	spans-passthrough-candidates/sent_0001-b42092ce	Identify and prioritize demographic groups, including marginalized groups, that may be at risk of experiencing worse quality of service based on intended uses and geographic areas where the system will be deployed. | Include groups defined by a single factor. | Include groups defined by a combination of factors.	spans-passthrough-candidates/sent_0001-9e0ccb99	Prioritize demographic groups at risk of experiencing worse quality of service. | Identify and prioritize demographic groups, including marginalized groups, that may be at risk of experiencing worse quality of service based on intended uses and geographic areas where the system will be deployed. | Include groups defined by a single factor. | Include groups defined by a combination of factors.
0.9602	spans-passthrough-candidates/sent_0003-f1a77ed8	Define and document the evaluation that you will perform to support this Goal. | For each metric, document any target minimum performance level for all groups. | For each metric, document the target maximum (absolute or relative) performance difference between groups.	spans-passthrough-candidates/sent_0003-90fdbb07	Define and document the evaluation that you will perform to support this Goal. | Document the target minimum performance level for all groups for each metric. | Document the target maximum (absolute or relative) performance difference between groups for each metric.
0.9546	spans-passthrough-candidates/sent_0010-0984545b	Use Analysis Platform to understand the representation of identified demographic groups in data sets for training and evaluating the system. | Document the representation of identified demographic groups in a Datasheet. | Use the Fairlearn Python toolkit's assessment and mitigation capabilities, if appropriate for the system.	spans-passthrough-candidates/sent_0009-d489d30e	document the representation of identified demographic groups in a Datasheet. | use Analysis Platform to understand the representation of identified demographic groups. | use the Fairlearn Python toolkit's assessment and mitigation capabilities, if appropriate for the system. | use Error Analysis to help understand factors that may account for differences between the rates at which resources and opportunities are allocated to the identified demographic groups, if appropriate for the system.
0.9545	spans-passthrough-candidates/sent_0002-978daecc	Define and document the model's proposed inputs and analyze the limitations of this representation. | Define and document the model's proposed output and analyze the limitations of this representation. | Define and document the limitations to the generalizability of the resulting model based on the training and testing data that will be used. | Define and document Responsible Release Criteria for this Goal. | Include a concise definition of the problem being solved in the intended use. | Define performance metrics and their Responsible Release Criteria. | Define error types and their Responsible Release Criteria. | Document an evaluation plan for each of the performance metrics and error types.	spans-passthrough-candidates/sent_0002-8001b94f	Define and document the model's proposed inputs and how well they represent the concepts they are intended to represent. | Include analysis of the limitations of this representation. | Define and document the model's proposed output and how well it represents the concept it is intended to represent. | Define and document limitations to the generalizability of the resulting model based on the training and testing data that will be used. | Define and document Responsible Release Criteria for this Goal. | Include a concise definition of the problem being solved in the intended use. | Include performance metrics and their Responsible Release Criteria. | Include error types and their Responsible Release Criteria. | Document an evaluation plan for each of the performance metrics and error types.
0.9538	spans-passthrough-candidates/sent_0001-4e6ccb60	Identify and prioritize demographic groups that may be at risk of being subject to stereotyping, demeaning, or erasing outputs of the system. | Identify groups defined by a single factor. | Identify groups defined by a combination of factors.	spans-passthrough-candidates/sent_0001-b9d18ee1	Identify and prioritize demographic groups that may be at risk of being subject to stereotyping, demeaning, or erasing outputs of the system. | Include groups defined by a single factor. | Include groups defined by a combination of factors.
0.9498	spans-passthrough-candidates/sent_0005-613d7a82	remove the intended use from customer-facing materials and make current customers aware of the issue | take action to close the identified gap | discontinue the system | revise documentation related to the intended use | publish the revised documentation to customers	spans-passthrough-candidates/sent_0005-8f67924d	remove the intended use from customer-facing materials and make current customers aware of the issue | revise documentation related to the intended use | publish the revised documentation to customers
0.9487	spans-passthrough-candidates/sent_0002-6d6fc34e	design the system including UX to ensure stakeholders understand the system's intended uses | document how the system aids their ability to interpret relevant system responses | document how the system design discourages automation bias | define and document the method to evaluate whether stakeholders can interpret relevant system responses reasonably well.	spans-passthrough-candidates/sent_0002-604018f1	document how the system design supports stakeholders' understanding of intended uses | document how the system aids their ability to interpret relevant system responses | document how the system design discourages automation bias
