span_id,has_prediction,chosen_rule_id,macro_f1,test_correct,hazard_exact,scope.actor_exact,scope.domain_exact,scope.context_exact,conditions_exact,exceptions_exact,requirements_exact,evidence_exact,evidence_signals_exact,hazard_f1,scope.actor_f1,scope.domain_f1,scope.context_f1,conditions_f1,exceptions_f1,requirements_f1,evidence_f1,evidence_signals_f1
EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0001,True,spans-passthrough-candidates/sent_0001-3d895b74,0.5119047619047619,False,False,True,False,False,True,True,False,True,False,0.286,1.0,0.0,0.0,0.75,1.0,0.571,1.0,0.0
EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0002,True,spans-passthrough-candidates/sent_0002-b5d2c01e,0.4993894993894994,False,False,True,False,True,False,True,True,False,False,0.429,1.0,0.0,1.0,0.143,1.0,0.923,0.0,0.0
EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0003,True,spans-passthrough-candidates/sent_0003-53a987af,0.18827160493827164,False,False,False,False,False,False,True,False,False,False,0.111,0.0,0.0,0.0,0.0,1.0,0.583,0.0,0.0
EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0001,True,spans-passthrough-candidates/sent_0001-19fc759c,0.45185185185185184,False,False,False,False,True,False,True,True,True,False,0.4,0.0,0.0,1.0,0.0,1.0,0.667,1.0,0.0
EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0002,True,spans-passthrough-candidates/sent_0002-cb33432f,0.5903363133248191,False,False,True,True,False,False,True,True,True,False,0.2,1.0,1.0,0.0,0.389,1.0,0.724,1.0,0.0
EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0003,True,spans-passthrough-candidates/sent_0003-1c7b922e,0.5678286129266522,False,False,True,False,True,False,True,False,True,False,0.222,1.0,0.0,1.0,0.3,1.0,0.588,1.0,0.0
EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0004,True,spans-passthrough-candidates/sent_0004-f0f7a86b,0.5282407407407407,False,False,True,False,True,False,True,False,True,False,0.0,1.0,0.0,1.0,0.188,1.0,0.567,1.0,0.0
EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0001,True,spans-passthrough-candidates/sent_0001-ee24c2b6,0.5687830687830687,False,False,True,True,True,False,True,True,False,False,0.333,1.0,1.0,1.0,0.167,1.0,0.619,0.0,0.0
EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0002,True,spans-passthrough-candidates/sent_0002-ea3759cf,0.49135802469135803,False,False,True,False,True,False,True,False,True,False,0.222,1.0,0.0,1.0,0.0,1.0,0.2,1.0,0.0
EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0003,True,spans-passthrough-candidates/sent_0003-5b0979b9,0.40939153439153436,False,False,True,False,False,False,True,False,True,False,0.125,1.0,0.0,0.0,0.333,1.0,0.476,0.75,0.0
EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0004,True,spans-passthrough-candidates/sent_0004-938e027c,0.455458089668616,False,False,False,False,True,False,True,False,True,False,0.333,0.0,0.0,1.0,0.45,1.0,0.316,1.0,0.0
EU_AI_2024_removed/article-12/sent_0001,True,spans-passthrough-candidates/sent_0001-bf138157,0.3757343550446999,False,False,False,False,True,True,True,False,False,False,0.0,0.0,0.0,1.0,0.6,1.0,0.448,0.333,0.0
EU_AI_2024_removed/article-12/sent_0002,True,spans-passthrough-candidates/sent_0002-28fded13,0.2329749103942652,False,False,True,False,False,False,True,False,False,False,0.0,1.0,0.0,0.0,0.0,1.0,0.097,0.0,0.0
EU_AI_2024_removed/article-12/sent_0003,True,spans-passthrough-candidates/sent_0003-41ad0cd7,0.41302681992337165,False,False,True,False,True,False,True,False,False,False,0.2,1.0,0.0,1.0,0.0,1.0,0.517,0.0,0.0
