span_id,has_prediction,chosen_rule_id,macro_f1,hazard_exact,scope.actor_exact,scope.domain_exact,scope.context_exact,conditions_exact,exceptions_exact,requirements_exact,evidence_exact,evidence_signals_exact,hazard_f1,scope.actor_f1,scope.domain_f1,scope.context_f1,conditions_f1,exceptions_f1,requirements_f1,evidence_f1,evidence_signals_f1
EU_AI_2024_removed/when-assessing-the-condition-under-paragraph-1-point-b-the-c/sent_0001,False,,0.0,,,,,,,,,,,,,,,,,,
EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0001,True,spans-passthrough-candidates/sent_0001-74757207,0.5171957671957671,False,True,False,False,True,True,False,True,False,0.333,1.0,0.0,0.0,0.75,1.0,0.571,1.0,0.0
EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0002,True,spans-passthrough-candidates/sent_0002-250808fb,0.3808661926308985,False,False,False,True,False,True,False,False,False,0.286,0.0,0.0,1.0,0.154,1.0,0.588,0.0,0.4
EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0003,True,spans-passthrough-candidates/sent_0003-72c236f4,0.2425925925925926,False,False,False,False,False,True,False,False,False,0.1,0.0,0.0,0.0,0.0,1.0,0.583,0.0,0.5
EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0001,True,spans-passthrough-candidates/sent_0001-5abd1480,0.48422035480859005,False,False,False,True,False,True,False,True,False,0.4,0.0,0.0,1.0,0.0,1.0,0.529,1.0,0.429
EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0002,True,spans-passthrough-candidates/sent_0002-764e8798,0.54320987654321,False,True,False,False,False,True,True,True,False,0.5,1.0,0.0,0.0,0.389,1.0,1.0,1.0,0.0
EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0003,True,spans-passthrough-candidates/sent_0003-9a65d83c,0.5308641975308641,False,True,False,True,False,True,False,True,True,0.111,1.0,0.0,1.0,0.0,1.0,0.067,1.0,0.6
EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0004,True,spans-passthrough-candidates/sent_0004-838898b6,0.48267429283763225,False,True,False,True,False,True,False,False,False,0.182,1.0,0.0,1.0,0.211,1.0,0.552,0.0,0.4
EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0001,True,spans-passthrough-candidates/sent_0001-af4060e2,0.5576923076923077,False,True,True,True,False,True,False,False,False,0.25,1.0,1.0,1.0,0.103,1.0,0.167,0.0,0.5
EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0002,True,spans-passthrough-candidates/sent_0002-a9a98020,0.4549534756431308,False,True,False,False,False,True,False,True,False,0.143,1.0,0.0,0.0,0.0,1.0,0.552,1.0,0.4
EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0003,True,spans-passthrough-candidates/sent_0003-aa55a3e4,0.4305555555555556,False,True,False,False,False,True,False,False,False,0.375,1.0,0.0,0.0,0.333,1.0,0.417,0.5,0.25
EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0004,True,spans-passthrough-candidates/sent_0004-7b262c87,0.4917850181008075,False,False,False,True,False,True,False,True,False,0.333,0.0,0.0,1.0,0.474,1.0,0.286,1.0,0.333
EU_AI_2024_removed/article-12/sent_0001,True,spans-passthrough-candidates/sent_0001-860fcf38,0.5831417624521072,False,False,False,True,True,True,False,True,True,0.0,0.0,0.0,1.0,0.8,1.0,0.448,1.0,1.0
EU_AI_2024_removed/article-12/sent_0002,True,spans-passthrough-candidates/sent_0002-b44ba33c,0.3465020576131687,False,False,False,True,False,True,False,False,False,0.2,0.0,0.0,1.0,0.0,1.0,0.519,0.0,0.4
EU_AI_2024_removed/article-12/sent_0003,True,spans-passthrough-candidates/sent_0003-157d81f5,0.4388888888888889,False,False,False,True,False,True,False,True,False,0.2,0.0,0.0,1.0,0.0,1.0,0.5,1.0,0.25
EU_AI_2024_removed/v-when-appropriate-its-performance-regarding-specific-person/sent_0001,True,spans-passthrough-candidates/sent_0001-61f80f2e,0.12162294920915609,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.069,1.0,0.026,0.0,0.0
EU_AI_2024_removed/v-when-appropriate-its-performance-regarding-specific-person/sent_0002,True,spans-passthrough-candidates/sent_0002-8e0ff5e7,0.6094108997334803,False,True,False,True,False,True,True,True,False,0.333,1.0,0.0,1.0,0.538,1.0,0.613,1.0,0.0
EU_AI_2024_removed/the-output-of-the-high-risk-ai-system/sent_0001,True,spans-passthrough-candidates/sent_0001-49441479,0.3493469314725353,False,False,False,False,False,False,True,True,False,0.333,0.0,0.0,0.0,0.348,0.0,0.963,1.0,0.5
EU_AI_2024_removed/the-output-of-the-high-risk-ai-system/sent_0002,True,spans-passthrough-candidates/sent_0002-caf0277c,0.3908496732026144,False,False,False,False,True,True,False,True,False,0.0,0.0,0.0,0.0,1.0,1.0,0.118,1.0,0.4
EU_AI_2024_removed/the-output-of-the-high-risk-ai-system/sent_0003,True,spans-passthrough-candidates/sent_0003-e15eb233,0.4444444444444444,False,False,False,False,True,True,True,True,False,0.182,0.0,0.0,0.0,1.0,1.0,0.818,1.0,0.0
EU_AI_2024_removed/the-output-of-the-high-risk-ai-system/sent_0004,True,spans-passthrough-candidates/sent_0004-1ff28756,0.4851851851851852,False,False,False,False,True,True,True,True,False,0.0,0.0,0.0,0.0,1.0,1.0,0.867,1.0,0.5
