k,span_id,score,tp,fp,precision,recall
0,,1.0,0,0,1.0,0.0
1,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0006,0.6030501089324618,1,0,1.0,0.023255813953488372
2,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-508-uses-and-disclosures-for-which-an-authorization-is-r/sent_0015,0.5925925925925927,2,0,1.0,0.046511627906976744
3,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0010,0.5559163059163059,3,0,1.0,0.06976744186046512
4,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0012,0.5243055555555556,4,0,1.0,0.09302325581395349
5,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-508-uses-and-disclosures-for-which-an-authorization-is-r/sent_0010,0.5165242165242165,5,0,1.0,0.11627906976744186
6,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0005,0.4594202898550725,6,0,1.0,0.13953488372093023
7,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0010,0.4493827160493827,7,0,1.0,0.16279069767441862
8,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0018,0.41820987654320985,8,0,1.0,0.18604651162790697
9,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-508-uses-and-disclosures-for-which-an-authorization-is-r/sent_0002,0.4166666666666667,9,0,1.0,0.20930232558139536
10,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-508-uses-and-disclosures-for-which-an-authorization-is-r/sent_0016,0.41077441077441074,10,0,1.0,0.23255813953488372
11,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0022,0.38431372549019605,11,0,1.0,0.2558139534883721
12,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0004,0.3817460317460317,12,0,1.0,0.27906976744186046
13,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-509-uses-and-disclosures-for-which-an-attestation-is-req/sent_0003,0.379375998888194,13,0,1.0,0.3023255813953488
14,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0017,0.37457912457912457,14,0,1.0,0.32558139534883723
15,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0023,0.3659423365305718,15,0,1.0,0.3488372093023256
16,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-508-uses-and-disclosures-for-which-an-authorization-is-r/sent_0013,0.3503898635477583,16,0,1.0,0.37209302325581395
17,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-509-uses-and-disclosures-for-which-an-attestation-is-req/sent_0002,0.3468660968660968,17,0,1.0,0.3953488372093023
18,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-508-uses-and-disclosures-for-which-an-authorization-is-r/sent_0004,0.34615384615384615,18,0,1.0,0.4186046511627907
19,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0005,0.3414462081128748,19,0,1.0,0.4418604651162791
20,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-509-uses-and-disclosures-for-which-an-attestation-is-req/sent_0004,0.29852408799777225,20,0,1.0,0.46511627906976744
21,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0003,0.2984126984126984,21,0,1.0,0.4883720930232558
22,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0011,0.28148148148148144,22,0,1.0,0.5116279069767442
23,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-509-uses-and-disclosures-for-which-an-attestation-is-req/sent_0001,0.27715754031543505,23,0,1.0,0.5348837209302325
24,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-508-uses-and-disclosures-for-which-an-authorization-is-r/sent_0006,0.2697530864197531,24,0,1.0,0.5581395348837209
25,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0008,0.255050505050505,25,0,1.0,0.5813953488372093
26,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0003,0.24747474747474746,26,0,1.0,0.6046511627906976
27,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-508-uses-and-disclosures-for-which-an-authorization-is-r/sent_0014,0.21336996336996336,27,0,1.0,0.627906976744186
28,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0007,0.2131578947368421,28,0,1.0,0.6511627906976745
29,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0016,0.20326797385620915,29,0,1.0,0.6744186046511628
30,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-508-uses-and-disclosures-for-which-an-authorization-is-r/sent_0005,0.19299835966502632,30,0,1.0,0.6976744186046512
