span_id,has_prediction,chosen_rule_id,macro_f1,test_correct,hazard_f1,scope.actor_f1,scope.domain_f1,scope.context_f1,conditions_f1,exceptions_f1,requirements_f1,evidence_f1,evidence_signals_f1,hazard_exact,scope.actor_exact,scope.domain_exact,scope.context_exact,conditions_exact,exceptions_exact,requirements_exact,evidence_exact,evidence_signals_exact
NIST AI RMF profiles_removed/gv-6-2-003/sent_0002,False,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False
NIST AI RMF profiles_removed/mp-1-1-002/sent_0001,True,spans-passthrough-candidates/sent_0001-72f53a02,0.39153439153439157,True,0.0,1.0,0.0,0.0,0.0,1.0,0.19,1.0,0.333,False,True,False,False,False,True,False,True,False
NIST AI RMF profiles_removed/mp-1-1-002/sent_0002,False,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False
NIST AI RMF profiles_removed/map-2-1/sent_0001,True,spans-passthrough-candidates/sent_0001-c32e71dd,0.4029982363315696,True,0.167,0.0,0.0,0.0,0.0,1.0,0.889,1.0,0.571,False,False,False,False,False,True,True,True,False
NIST AI RMF profiles_removed/map-2-1/sent_0002,True,spans-passthrough-candidates/sent_0002-cbe55c14,0.42703886152162013,True,0.4,1.0,0.0,0.0,0.0,1.0,0.586,0.0,0.857,False,True,False,False,False,True,False,False,True
NIST AI RMF profiles_removed/mp-2-3-002/sent_0001,True,spans-passthrough-candidates/sent_0001-a53cb9c3,0.42830687830687825,True,0.167,0.0,0.0,0.0,0.25,1.0,0.867,1.0,0.571,False,False,False,False,False,True,True,True,False
NIST AI RMF profiles_removed/mp-2-3-002/sent_0002,True,spans-passthrough-candidates/sent_0002-63567c6c,0.4059964726631393,True,0.143,1.0,0.0,0.0,0.0,1.0,0.111,1.0,0.4,False,True,False,False,False,True,False,True,False
NIST AI RMF profiles_removed/mp-2-3-002/sent_0003,True,spans-passthrough-candidates/sent_0003-28353937,0.28518518518518515,True,0.167,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.4,False,False,False,False,False,True,False,True,False
NIST AI RMF profiles_removed/map-4-1/sent_0001,True,spans-passthrough-candidates/sent_0001-2c076bae,0.3817663817663818,True,0.0,1.0,0.0,0.0,0.0,1.0,0.103,1.0,0.333,False,True,False,False,False,True,False,True,False
NIST AI RMF profiles_removed/map-4-1/sent_0002,True,spans-passthrough-candidates/sent_0002-f90bf02a,0.40791826309067686,True,0.0,1.0,0.0,0.0,0.133,1.0,0.138,1.0,0.4,False,True,False,False,False,True,False,True,False
NIST AI RMF profiles_removed/map-4-1/sent_0003,True,spans-passthrough-candidates/sent_0003-b6f5cb0c,0.4444444444444444,True,0.0,0.0,1.0,0.0,0.0,1.0,0.5,1.0,0.5,False,False,True,False,False,True,False,True,False
NIST AI RMF profiles_removed/mp-4-1-010/sent_0001,False,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False
NIST AI RMF profiles_removed/mp-4-1-010/sent_0002,True,spans-passthrough-candidates/sent_0002-146b52ed,0.35802469135802467,True,0.0,1.0,0.0,0.0,0.0,1.0,0.056,1.0,0.167,False,True,False,False,False,True,False,True,False
NIST AI RMF profiles_removed/mp-4-1-010/sent_0003,True,spans-passthrough-candidates/sent_0003-5ccb0c19,0.34444444444444444,True,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.0,0.6,False,True,False,False,False,True,False,False,True
NIST AI RMF profiles_removed/map-5-2/sent_0001,True,spans-passthrough-candidates/sent_0001-9b4d9fac,0.4658730158730159,True,0.143,1.0,0.0,0.0,0.0,1.0,0.65,1.0,0.4,False,True,False,False,False,True,True,True,False
NIST AI RMF profiles_removed/map-5-2/sent_0002,True,spans-passthrough-candidates/sent_0002-dd3d46d2,0.24444444444444446,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.2,False,False,False,False,False,True,False,True,False
NIST AI RMF profiles_removed/map-5-2/sent_0003,False,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False
NIST AI RMF profiles_removed/ms-1-1-006/sent_0001,True,spans-passthrough-candidates/sent_0001-acbf423f,0.2680311890838207,True,0.0,0.0,0.0,0.0,0.0,1.0,0.079,1.0,0.333,False,False,False,False,False,True,False,True,False
NIST AI RMF profiles_removed/ms-1-1-006/sent_0002,True,spans-passthrough-candidates/sent_0002-ed3e773c,0.256006006006006,True,0.0,0.0,0.0,0.0,0.0,1.0,0.054,1.0,0.25,False,False,False,False,False,True,False,True,False
NIST AI RMF profiles_removed/ms-1-1-006/sent_0003,True,spans-passthrough-candidates/sent_0003-c0c38b62,0.5994152046783626,True,1.0,1.0,0.0,0.0,0.333,1.0,0.895,1.0,0.167,True,True,False,False,False,True,True,True,False
NIST AI RMF profiles_removed/measure-2-2/sent_0001,False,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False
NIST AI RMF profiles_removed/measure-2-2/sent_0002,True,spans-passthrough-candidates/sent_0002-f68b8856,0.6061582003610989,True,0.222,1.0,0.0,0.0,0.364,1.0,0.87,1.0,1.0,False,True,False,False,False,True,True,True,True
NIST AI RMF profiles_removed/measure-2-2/sent_0003,False,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False
NIST AI RMF profiles_removed/ms-2-3-004/sent_0001,True,spans-passthrough-candidates/sent_0001-b9ad5f73,0.26443268665490893,True,0.2,0.0,0.0,0.0,0.0,1.0,0.037,1.0,0.143,False,False,False,False,False,True,False,True,False
NIST AI RMF profiles_removed/ms-2-3-004/sent_0002,True,spans-passthrough-candidates/sent_0002-70a06e0c,0.28125,True,0.0,0.0,0.0,0.0,1.0,1.0,0.281,0.0,0.25,False,False,False,False,True,True,False,False,False
NIST AI RMF profiles_removed/ms-2-3-004/sent_0003,False,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False
NIST AI RMF profiles_removed/measure-2-6/sent_0001,True,spans-passthrough-candidates/sent_0001-d7c37f20,0.2807017543859649,True,0.0,0.0,0.0,0.0,0.0,1.0,0.026,1.0,0.5,False,False,False,False,False,True,False,True,False
NIST AI RMF profiles_removed/measure-2-6/sent_0002,True,spans-passthrough-candidates/sent_0002-c720a3d0,0.266794380587484,True,0.167,0.0,0.0,0.0,0.0,1.0,0.034,1.0,0.2,False,False,False,False,False,True,False,True,False
NIST AI RMF profiles_removed/measure-2-6/sent_0003,False,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False
NIST AI RMF profiles_removed/measure-2-7/sent_0001,True,spans-passthrough-candidates/sent_0001-0ba05875,0.2962962962962963,True,0.0,0.0,0.0,0.0,0.0,1.0,0.333,1.0,0.333,False,False,False,False,False,True,False,True,False
NIST AI RMF profiles_removed/measure-2-7/sent_0002,True,spans-passthrough-candidates/sent_0002-3e29b98f,0.3134920634920635,True,0.0,0.0,0.0,0.0,0.0,1.0,0.071,1.0,0.75,False,False,False,False,False,True,False,True,True
NIST AI RMF profiles_removed/measure-2-7/sent_0003,True,spans-passthrough-candidates/sent_0003-db562da1,0.3556878306878307,True,0.125,0.0,0.0,0.0,0.143,1.0,0.333,1.0,0.6,False,False,False,False,False,True,False,True,True
NIST AI RMF profiles_removed/measure-2-7/sent_0004,False,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False
