k,span_id,score,tp,fp,precision,recall
0,,1.0,0,0,1.0,0.0
1,Microsoft/index/reliability-safety-goals/goal-rs1-reliability-and-safety-guidance/sent_0001,0.6825396825396824,1,0,1.0,0.014084507042253521
2,Microsoft/index/transparency-goals/goal-t2-communication-to-stakeholders/sent_0001,0.6226851851851852,2,0,1.0,0.028169014084507043
3,Microsoft/index/fairness-goals/goal-f2-allocation-of-resources-and-opportunities/sent_0005,0.6172839506172839,3,0,1.0,0.04225352112676056
4,Microsoft/index/reliability-safety-goals/goal-rs3-ongoing-monitoring-feedback-and-evaluation/sent_0006,0.5682539682539682,4,0,1.0,0.056338028169014086
5,Microsoft/index/transparency-goals/goal-t3-disclosure-of-ai-interaction/sent_0003,0.5555555555555556,5,0,1.0,0.07042253521126761
6,Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0001,0.5292022792022792,6,0,1.0,0.08450704225352113
7,Microsoft/index/reliability-safety-goals/goal-rs2-failures-and-remediations/sent_0001,0.5261158594491928,7,0,1.0,0.09859154929577464
8,Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0001,0.5126984126984127,8,0,1.0,0.11267605633802817
9,Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0003,0.5033068783068784,9,0,1.0,0.1267605633802817
10,Microsoft/index/reliability-safety-goals/goal-rs2-failures-and-remediations/sent_0004,0.5,10,0,1.0,0.14084507042253522
11,Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0004,0.4975308641975309,11,0,1.0,0.15492957746478872
12,Microsoft/index/fairness-goals/goal-f2-allocation-of-resources-and-opportunities/sent_0003,0.4946581196581196,12,0,1.0,0.16901408450704225
13,Microsoft/index/fairness-goals/goal-f2-allocation-of-resources-and-opportunities/sent_0007,0.4939393939393939,13,0,1.0,0.18309859154929578
14,Microsoft/index/fairness-goals/goal-f2-allocation-of-resources-and-opportunities/sent_0006,0.4930555555555556,14,0,1.0,0.19718309859154928
15,Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0002,0.4904601571268237,15,0,1.0,0.2112676056338028
16,Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0005,0.4838969404186796,16,0,1.0,0.22535211267605634
17,Microsoft/index/transparency-goals/goal-t2-communication-to-stakeholders/sent_0003,0.48293391430646326,17,0,1.0,0.23943661971830985
18,Microsoft/index/accountability-goals/goal-a4-data-governance-and-management/sent_0002,0.48055555555555557,18,0,1.0,0.2535211267605634
19,Microsoft/index/fairness-goals/goal-f3-minimization-of-stereotyping-demeaning-and-erasing-o/sent_0001,0.4793650793650793,19,0,1.0,0.2676056338028169
20,Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0001,0.47619047619047616,20,0,1.0,0.28169014084507044
21,Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0003,0.4529100529100529,21,0,1.0,0.29577464788732394
22,Microsoft/index/fairness-goals/goal-f3-minimization-of-stereotyping-demeaning-and-erasing-o/sent_0002,0.4444444444444444,22,0,1.0,0.30985915492957744
23,Microsoft/index/fairness-goals/goal-f3-minimization-of-stereotyping-demeaning-and-erasing-o/sent_0003,0.43915343915343913,23,0,1.0,0.323943661971831
24,Microsoft/index/fairness-goals/goal-f2-allocation-of-resources-and-opportunities/sent_0001,0.4343297101449275,24,0,1.0,0.3380281690140845
25,Microsoft/index/reliability-safety-goals/goal-rs1-reliability-and-safety-guidance/sent_0006,0.4253968253968254,25,0,1.0,0.352112676056338
26,Microsoft/index/accountability-goals/goal-a4-data-governance-and-management/sent_0003,0.42525252525252527,26,0,1.0,0.36619718309859156
27,Microsoft/index/privacy-security-goals/goal-ps2-security-policy-compliance/sent_0001,0.42424242424242425,27,0,1.0,0.38028169014084506
28,Microsoft/index/transparency-goals/goal-t3-disclosure-of-ai-interaction/sent_0001,0.41794871794871796,28,0,1.0,0.39436619718309857
29,Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0005,0.4121212121212121,29,0,1.0,0.4084507042253521
30,Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0003,0.41111111111111115,30,0,1.0,0.4225352112676056
31,Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0004,0.4074074074074074,31,0,1.0,0.43661971830985913
32,Microsoft/index/inclusiveness-goal/goal-i1-accessibility-standards-compliance/sent_0001,0.40655270655270653,32,0,1.0,0.4507042253521127
33,Microsoft/index/reliability-safety-goals/goal-rs3-ongoing-monitoring-feedback-and-evaluation/sent_0001,0.4,33,0,1.0,0.4647887323943662
34,Microsoft/index/fairness-goals/goal-f2-allocation-of-resources-and-opportunities/sent_0004,0.3990740740740741,34,0,1.0,0.4788732394366197
35,Microsoft/index/fairness-goals/goal-f3-minimization-of-stereotyping-demeaning-and-erasing-o/sent_0005,0.3965744400527009,35,0,1.0,0.49295774647887325
36,Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0001,0.3958333333333333,36,0,1.0,0.5070422535211268
37,Microsoft/index/transparency-goals/goal-t2-communication-to-stakeholders/sent_0002,0.38333333333333336,37,0,1.0,0.5211267605633803
38,Microsoft/index/reliability-safety-goals/goal-rs3-ongoing-monitoring-feedback-and-evaluation/sent_0002,0.37423687423687424,38,0,1.0,0.5352112676056338
39,Microsoft/index/fairness-goals/goal-f3-minimization-of-stereotyping-demeaning-and-erasing-o/sent_0004,0.3611111111111111,39,0,1.0,0.5492957746478874
40,Microsoft/index/transparency-goals/goal-t3-disclosure-of-ai-interaction/sent_0002,0.35578529657477026,40,0,1.0,0.5633802816901409
41,Microsoft/index/fairness-goals/goal-f1-quality-of-service/sent_0007,0.35574229691876746,41,0,1.0,0.5774647887323944
42,Microsoft/index/reliability-safety-goals/goal-rs3-ongoing-monitoring-feedback-and-evaluation/sent_0005,0.341005291005291,42,0,1.0,0.5915492957746479
43,Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0002,0.3386752136752137,43,0,1.0,0.6056338028169014
44,Microsoft/index/reliability-safety-goals/goal-rs2-failures-and-remediations/sent_0003,0.3377777777777778,44,0,1.0,0.6197183098591549
45,Microsoft/index/fairness-goals/goal-f1-quality-of-service/sent_0004,0.33641975308641975,45,0,1.0,0.6338028169014085
46,Microsoft/index/fairness-goals/goal-f2-allocation-of-resources-and-opportunities/sent_0002,0.3353535353535354,46,0,1.0,0.647887323943662
47,Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0002,0.32702020202020204,47,0,1.0,0.6619718309859155
48,Microsoft/index/reliability-safety-goals/goal-rs1-reliability-and-safety-guidance/sent_0002,0.31635802469135804,48,0,1.0,0.676056338028169
49,Microsoft/index/fairness-goals/goal-f1-quality-of-service/sent_0001,0.31261022927689597,49,0,1.0,0.6901408450704225
50,Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0003,0.3111111111111111,50,0,1.0,0.704225352112676
51,Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0004,0.29594017094017094,51,0,1.0,0.7183098591549296
52,Microsoft/index/transparency-goals/goal-t3-disclosure-of-ai-interaction/sent_0004,0.29365079365079366,52,0,1.0,0.7323943661971831
53,Microsoft/index/accountability-goals/goal-a4-data-governance-and-management/sent_0001,0.29193899782135074,53,0,1.0,0.7464788732394366
54,Microsoft/index/fairness-goals/goal-f1-quality-of-service/sent_0006,0.2818342151675485,54,0,1.0,0.7605633802816901
55,Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0002,0.2808641975308642,55,0,1.0,0.7746478873239436
56,Microsoft/index/reliability-safety-goals/goal-rs3-ongoing-monitoring-feedback-and-evaluation/sent_0003,0.2713675213675214,56,0,1.0,0.7887323943661971
57,Microsoft/index/reliability-safety-goals/goal-rs2-failures-and-remediations/sent_0002,0.2668566001899335,57,0,1.0,0.8028169014084507
58,Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0003,0.25555555555555554,58,0,1.0,0.8169014084507042
59,Microsoft/index/reliability-safety-goals/goal-rs1-reliability-and-safety-guidance/sent_0005,0.2518518518518518,59,0,1.0,0.8309859154929577
60,Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0002,0.25,60,0,1.0,0.8450704225352113
61,Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0005,0.22666666666666668,61,0,1.0,0.8591549295774648
62,Microsoft/index/reliability-safety-goals/goal-rs3-ongoing-monitoring-feedback-and-evaluation/sent_0004,0.22630718954248363,62,0,1.0,0.8732394366197183
63,Microsoft/index/reliability-safety-goals/goal-rs1-reliability-and-safety-guidance/sent_0003,0.2175925925925926,63,0,1.0,0.8873239436619719
64,Microsoft/index/fairness-goals/goal-f1-quality-of-service/sent_0002,0.18759018759018758,64,0,1.0,0.9014084507042254
65,Microsoft/index/fairness-goals/goal-f1-quality-of-service/sent_0003,0.1611111111111111,65,0,1.0,0.9154929577464789
66,Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0001,0.1212121212121212,66,0,1.0,0.9295774647887324
67,Microsoft/index/reliability-and-safety-guidance/sent_0004,0.0,67,0,1.0,0.9436619718309859
68,Microsoft/index/reliability-and-safety-guidance/sent_0005,0.0,67,1,0.9852941176470589,0.9436619718309859
69,Microsoft/index/reliability-and-safety-guidance/goal-rs1-reliability-and-safety-guidance/sent_0007,0.0,68,1,0.9855072463768116,0.9577464788732394
