sim	a_rule_id	a_req	b_rule_id	b_req
0.9461	spans-candidates-filtered/sent_0001-d5d20eff	Developer and provider shall identify and document the novel risks introduced by use of general-purpose foundation models for health-care related outputs or when integrated into health-care applications, products or services.	spans-candidates-filtered/sent_0001-2c798d5b	Developer and provider shall implement and record mitigation measures for each identified risk introduced by such uses of general-purpose foundation models.
0.8723	spans-candidates-filtered/sent_0002-383d1be3	Developers and providers shall identify, mitigate, and document measures addressing system-wide bias in the LMM prior to deployment.	spans-candidates-filtered/sent_0002-9521c80d	Developers and providers shall detect, mitigate, and document measures to prevent manipulation and automation bias in the LMM prior to deployment.
0.8559	spans-candidates-filtered/sent_0001-4067bf88	Deployer shall implement measures to detect and mitigate bias in the LMM when deploying an LMM.	spans-candidates-filtered/sent_0001-18929606	Deployer shall implement measures to mitigate automation bias and prevent skills degradation among users when deploying an LMM.
0.7989	spans-candidates-filtered/sent_0001-c6b515f5	Deployer shall implement measures to mitigate inaccurate or false responses when deploying an LMM.	spans-candidates-filtered/sent_0001-4067bf88	Deployer shall implement measures to detect and mitigate bias in the LMM when deploying an LMM.
0.7939	spans-candidates-filtered/sent_0001-4067bf88	Deployer shall implement measures to detect and mitigate bias in the LMM when deploying an LMM.	spans-candidates-filtered/sent_0003-34829d2c	deployer must use information from developers or providers to decide not to deploy an LMM or application in settings where such biases, contextual mismatch, avoidable errors, or other potential risks are present.
0.7761	spans-candidates-filtered/sent_0001-47ee0d7a	provider must implement measures to identify and mitigate the risks associated with use of large multi-modal models (LMMs) in health care.	spans-candidates-filtered/sent_0018-7a54a323	provider shall be subject to AI regulatory assessments when their use of a large multiservice model (LMM) changes its purpose or function or when a general-purpose foundation model is adapted for use in health care or medicine by the provider.
0.7746	spans-candidates-filtered/sent_0001-c6b515f5	Deployer shall implement measures to mitigate inaccurate or false responses when deploying an LMM.	spans-candidates-filtered/sent_0001-18929606	Deployer shall implement measures to mitigate automation bias and prevent skills degradation among users when deploying an LMM.
0.7718	spans-candidates-filtered/sent_0001-c6b515f5	Deployer shall implement measures to mitigate inaccurate or false responses when deploying an LMM.	spans-candidates-filtered/sent_0003-52108a55	deployer must assess and implement measures to avoid or mitigate risks associated with the use of an LMM or application and retain records of mitigation actions taken.
0.7681	spans-candidates-filtered/sent_0001-9ee2aacf	developer must implement measures to identify and mitigate the risks associated with use of large multi-modal models (LMMs) in health care.	spans-candidates-filtered/sent_0018-71d893da	developer shall be subject to AI regulatory assessments when they agree to a provider adapting a general-purpose foundation model for use in health care or medicine.
0.7638	spans-candidates-filtered/sent_0001-18929606	Deployer shall implement measures to mitigate automation bias and prevent skills degradation among users when deploying an LMM.	spans-candidates-filtered/sent_0003-34829d2c	deployer must use information from developers or providers to decide not to deploy an LMM or application in settings where such biases, contextual mismatch, avoidable errors, or other potential risks are present.
