unit_id,span_id,kind,page,section,section_path,text,prev_sentence,next_sentence,window_text,pdf_name,doc_id
1,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0001,sentence,1,§ 164.502 Uses and disclosures of protected health information: General rules.,Subpart E—Privacy of Individually Identifiable Health Information / § 164.502 Uses and disclosures of protected health information: General rules.,"[65 FR 82802, Dec. 28, 2000, as amended at 67 FR 53266, Aug. 14, 2002; 68 FR 8381, Feb. 20, 2003; 74 FR 42769, Aug. 24, 2009;
78 FR 5695, Jan. 25, 2013]
§ 164.502 Uses and disclosures of protected health information: General rules.",,"(C)
Social security number;
(D)
Payment history;
(E)
Account number; and
(F)
Name and address of the health care provider and/or health plan.","[TARGET] [65 FR 82802, Dec. 28, 2000, as amended at 67 FR 53266, Aug. 14, 2002; 68 FR 8381, Feb. 20, 2003; 74 FR 42769, Aug. 24, 2009;
78 FR 5695, Jan. 25, 2013]
§ 164.502 Uses and disclosures of protected health information: General rules. [NEXT] (C)
Social security number;
(D)
Payment history;
(E)
Account number; and
(F)
Name and address of the health care provider and/or health plan.",HIPAA_removed,HIPAA_removed
2,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0002,sentence,1,§ 164.502 Uses and disclosures of protected health information: General rules.,Subpart E—Privacy of Individually Identifiable Health Information / § 164.502 Uses and disclosures of protected health information: General rules.,"(C)
Social security number;
(D)
Payment history;
(E)
Account number; and
(F)
Name and address of the health care provider and/or health plan.","[65 FR 82802, Dec. 28, 2000, as amended at 67 FR 53266, Aug. 14, 2002; 68 FR 8381, Feb. 20, 2003; 74 FR 42769, Aug. 24, 2009;
78 FR 5695, Jan. 25, 2013]
§ 164.502 Uses and disclosures of protected health information: General rules.","Psychotherapy notes means notes recorded (in any medium) by a health care provider who is a mental health
professional documenting or analyzing the contents of conversation during a private counseling session
or a group, joint, or family counseling session and that are separated from the rest of the individual's
medical record.","[PREV] [65 FR 82802, Dec. 28, 2000, as amended at 67 FR 53266, Aug. 14, 2002; 68 FR 8381, Feb. 20, 2003; 74 FR 42769, Aug. 24, 2009;
78 FR 5695, Jan. 25, 2013]
§ 164.502 Uses and disclosures of protected health information: General rules. [TARGET] (C)
Social security number;
(D)
Payment history;
(E)
Account number; and
(F)
Name and address of the health care provider and/or health plan. [NEXT] Psychotherapy notes means notes recorded (in any medium) by a health care provider who is a mental health
professional documenting or analyzing the contents of conversation during a private counseling session
or a group, joint, or family counseling session and that are separated from the rest of the individual's
medical record.",HIPAA_removed,HIPAA_removed
3,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0003,sentence,1,§ 164.502 Uses and disclosures of protected health information: General rules.,Subpart E—Privacy of Individually Identifiable Health Information / § 164.502 Uses and disclosures of protected health information: General rules.,"Psychotherapy notes means notes recorded (in any medium) by a health care provider who is a mental health
professional documenting or analyzing the contents of conversation during a private counseling session
or a group, joint, or family counseling session and that are separated from the rest of the individual's
medical record.","(C)
Social security number;
(D)
Payment history;
(E)
Account number; and
(F)
Name and address of the health care provider and/or health plan.","Psychotherapy notes excludes medication prescription and monitoring, counseling
session start and stop times, the modalities and frequencies of treatment furnished, results of clinical
tests, and any summary of the following items: Diagnosis, functional status, the treatment plan,
symptoms, prognosis, and progress to date.","[PREV] (C)
Social security number;
(D)
Payment history;
(E)
Account number; and
(F)
Name and address of the health care provider and/or health plan. [TARGET] Psychotherapy notes means notes recorded (in any medium) by a health care provider who is a mental health
professional documenting or analyzing the contents of conversation during a private counseling session
or a group, joint, or family counseling session and that are separated from the rest of the individual's
medical record. [NEXT] Psychotherapy notes excludes medication prescription and monitoring, counseling
session start and stop times, the modalities and frequencies of treatment furnished, results of clinical
tests, and any summary of the following items: Diagnosis, functional status, the treatment plan,
symptoms, prognosis, and progress to date.",HIPAA_removed,HIPAA_removed
4,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0004,sentence,1,§ 164.502 Uses and disclosures of protected health information: General rules.,Subpart E—Privacy of Individually Identifiable Health Information / § 164.502 Uses and disclosures of protected health information: General rules.,"Psychotherapy notes excludes medication prescription and monitoring, counseling
session start and stop times, the modalities and frequencies of treatment furnished, results of clinical
tests, and any summary of the following items: Diagnosis, functional status, the treatment plan,
symptoms, prognosis, and progress to date.","Psychotherapy notes means notes recorded (in any medium) by a health care provider who is a mental health
professional documenting or analyzing the contents of conversation during a private counseling session
or a group, joint, or family counseling session and that are separated from the rest of the individual's
medical record.","Public health authority means an agency or authority of the United States, a State, a territory, a political
subdivision of a State or territory, or an Indian tribe, or a person or entity acting under a grant of authority
from or contract with such public agency, including the employees or agents of such public agency or its
contractors or persons or entities to whom it has granted authority, that is responsible for public health
matters as part of its official mandate.","[PREV] Psychotherapy notes means notes recorded (in any medium) by a health care provider who is a mental health
professional documenting or analyzing the contents of conversation during a private counseling session
or a group, joint, or family counseling session and that are separated from the rest of the individual's
medical record. [TARGET] Psychotherapy notes excludes medication prescription and monitoring, counseling
session start and stop times, the modalities and frequencies of treatment furnished, results of clinical
tests, and any summary of the following items: Diagnosis, functional status, the treatment plan,
symptoms, prognosis, and progress to date. [NEXT] Public health authority means an agency or authority of the United States, a State, a territory, a political
subdivision of a State or territory, or an Indian tribe, or a person or entity acting under a grant of authority
from or contract with such public agency, including the employees or agents of such public agency or its
contractors or persons or entities to whom it has granted authority, that is responsible for public health
matters as part of its official mandate.",HIPAA_removed,HIPAA_removed
5,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0005,sentence,1,§ 164.502 Uses and disclosures of protected health information: General rules.,Subpart E—Privacy of Individually Identifiable Health Information / § 164.502 Uses and disclosures of protected health information: General rules.,"Public health authority means an agency or authority of the United States, a State, a territory, a political
subdivision of a State or territory, or an Indian tribe, or a person or entity acting under a grant of authority
from or contract with such public agency, including the employees or agents of such public agency or its
contractors or persons or entities to whom it has granted authority, that is responsible for public health
matters as part of its official mandate.","Psychotherapy notes excludes medication prescription and monitoring, counseling
session start and stop times, the modalities and frequencies of treatment furnished, results of clinical
tests, and any summary of the following items: Diagnosis, functional status, the treatment plan,
symptoms, prognosis, and progress to date.","Research means a systematic investigation, including research development, testing, and evaluation, designed
to develop or contribute to generalizable knowledge.","[PREV] Psychotherapy notes excludes medication prescription and monitoring, counseling
session start and stop times, the modalities and frequencies of treatment furnished, results of clinical
tests, and any summary of the following items: Diagnosis, functional status, the treatment plan,
symptoms, prognosis, and progress to date. [TARGET] Public health authority means an agency or authority of the United States, a State, a territory, a political
subdivision of a State or territory, or an Indian tribe, or a person or entity acting under a grant of authority
from or contract with such public agency, including the employees or agents of such public agency or its
contractors or persons or entities to whom it has granted authority, that is responsible for public health
matters as part of its official mandate. [NEXT] Research means a systematic investigation, including research development, testing, and evaluation, designed
to develop or contribute to generalizable knowledge.",HIPAA_removed,HIPAA_removed
6,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0006,sentence,1,§ 164.502 Uses and disclosures of protected health information: General rules.,Subpart E—Privacy of Individually Identifiable Health Information / § 164.502 Uses and disclosures of protected health information: General rules.,"Research means a systematic investigation, including research development, testing, and evaluation, designed
to develop or contribute to generalizable knowledge.","Public health authority means an agency or authority of the United States, a State, a territory, a political
subdivision of a State or territory, or an Indian tribe, or a person or entity acting under a grant of authority
from or contract with such public agency, including the employees or agents of such public agency or its
contractors or persons or entities to whom it has granted authority, that is responsible for public health
matters as part of its official mandate.","Treatment means the provision, coordination, or management of health care and related services by one or
more health care providers, including the coordination or management of health care by a health care
provider with a third party; consultation between health care providers relating to a patient; or the referral
of a patient for health care from one health care provider to another.","[PREV] Public health authority means an agency or authority of the United States, a State, a territory, a political
subdivision of a State or territory, or an Indian tribe, or a person or entity acting under a grant of authority
from or contract with such public agency, including the employees or agents of such public agency or its
contractors or persons or entities to whom it has granted authority, that is responsible for public health
matters as part of its official mandate. [TARGET] Research means a systematic investigation, including research development, testing, and evaluation, designed
to develop or contribute to generalizable knowledge. [NEXT] Treatment means the provision, coordination, or management of health care and related services by one or
more health care providers, including the coordination or management of health care by a health care
provider with a third party; consultation between health care providers relating to a patient; or the referral
of a patient for health care from one health care provider to another.",HIPAA_removed,HIPAA_removed
7,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0007,sentence,1,§ 164.502 Uses and disclosures of protected health information: General rules.,Subpart E—Privacy of Individually Identifiable Health Information / § 164.502 Uses and disclosures of protected health information: General rules.,"Treatment means the provision, coordination, or management of health care and related services by one or
more health care providers, including the coordination or management of health care by a health care
provider with a third party; consultation between health care providers relating to a patient; or the referral
of a patient for health care from one health care provider to another.","Research means a systematic investigation, including research development, testing, and evaluation, designed
to develop or contribute to generalizable knowledge.","(a)
Standard.","[PREV] Research means a systematic investigation, including research development, testing, and evaluation, designed
to develop or contribute to generalizable knowledge. [TARGET] Treatment means the provision, coordination, or management of health care and related services by one or
more health care providers, including the coordination or management of health care by a health care
provider with a third party; consultation between health care providers relating to a patient; or the referral
of a patient for health care from one health care provider to another. [NEXT] (a)
Standard.",HIPAA_removed,HIPAA_removed
8,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0008,sentence,1,§ 164.502 Uses and disclosures of protected health information: General rules.,Subpart E—Privacy of Individually Identifiable Health Information / § 164.502 Uses and disclosures of protected health information: General rules.,"(a)
Standard.","Treatment means the provision, coordination, or management of health care and related services by one or
more health care providers, including the coordination or management of health care by a health care
provider with a third party; consultation between health care providers relating to a patient; or the referral
of a patient for health care from one health care provider to another.","A covered entity or business associate may not use or disclose protected health information,
except as permitted or required by this subpart or by subpart C of part 160 of this subchapter.","[PREV] Treatment means the provision, coordination, or management of health care and related services by one or
more health care providers, including the coordination or management of health care by a health care
provider with a third party; consultation between health care providers relating to a patient; or the referral
of a patient for health care from one health care provider to another. [TARGET] (a)
Standard. [NEXT] A covered entity or business associate may not use or disclose protected health information,
except as permitted or required by this subpart or by subpart C of part 160 of this subchapter.",HIPAA_removed,HIPAA_removed
9,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0009,sentence,1,§ 164.502 Uses and disclosures of protected health information: General rules.,Subpart E—Privacy of Individually Identifiable Health Information / § 164.502 Uses and disclosures of protected health information: General rules.,"A covered entity or business associate may not use or disclose protected health information,
except as permitted or required by this subpart or by subpart C of part 160 of this subchapter.","(a)
Standard.","(1)
Covered entities: Permitted uses and disclosures.","[PREV] (a)
Standard. [TARGET] A covered entity or business associate may not use or disclose protected health information,
except as permitted or required by this subpart or by subpart C of part 160 of this subchapter. [NEXT] (1)
Covered entities: Permitted uses and disclosures.",HIPAA_removed,HIPAA_removed
10,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0010,sentence,1,§ 164.502 Uses and disclosures of protected health information: General rules.,Subpart E—Privacy of Individually Identifiable Health Information / § 164.502 Uses and disclosures of protected health information: General rules.,"(1)
Covered entities: Permitted uses and disclosures.","A covered entity or business associate may not use or disclose protected health information,
except as permitted or required by this subpart or by subpart C of part 160 of this subchapter.","A covered entity is permitted to use or disclose
protected health information as follows:
(i)
To the individual;
(ii)
For treatment, payment, or health care operations, as permitted by and in compliance with §
164.506;
(iii) Incident to a use or disclosure otherwise permitted or required by this subpart, provided that the
covered entity has complied with the applicable requirements of §§ 164.502(b), 164.514(d),
and 164.530(c) with respect to such otherwise permitted or required use or disclosure;
(iv) Except for uses and disclosures prohibited under § 164.502(a)(5)(i), pursuant to and in
compliance with a valid authorization under § 164.508;
45 CFR Part 164 Subpart E (up to date as of 9/29/2025)
Privacy of Individually Identifiable Health Information
45 CFR 164.501 ""Payment"" (2)(vi)(C)","[PREV] A covered entity or business associate may not use or disclose protected health information,
except as permitted or required by this subpart or by subpart C of part 160 of this subchapter. [TARGET] (1)
Covered entities: Permitted uses and disclosures. [NEXT] A covered entity is permitted to use or disclose
protected health information as follows:
(i)
To the individual;
(ii)
For treatment, payment, or health care operations, as permitted by and in compliance with §
164.506;
(iii) Incident to a use or disclosure otherwise permitted or required by this subpart, provided that the
covered entity has complied with the applicable requirements of §§ 164.502(b), 164.514(d),
and 164.530(c) with respect to such otherwise permitted or required use or disclosure;
(iv) Except for uses and disclosures prohibited under § 164.502(a)(5)(i), pursuant to and in
compliance with a valid authorization under § 164.508;
45 CFR Part 164 Subpart E (up to date as of 9/29/2025)
Privacy of Individually Identifiable Health Information
45 CFR 164.501 ""Payment"" (2)(vi)(C)",HIPAA_removed,HIPAA_removed
