k,span_id,score,tp,fp,precision,recall
0,,1.0,0,0,1.0,0.0
1,Microsoft/index/fairness-goals/goal-f2-allocation-of-resources-and-opportunities/sent_0006,0.6696696696696697,1,0,1.0,0.014084507042253521
2,Microsoft/index/fairness-goals/goal-f2-allocation-of-resources-and-opportunities/sent_0007,0.570131421744325,2,0,1.0,0.028169014084507043
3,Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0001,0.5634920634920635,3,0,1.0,0.04225352112676056
4,Microsoft/index/fairness-goals/goal-f3-minimization-of-stereotyping-demeaning-and-erasing-o/sent_0003,0.5523809523809524,4,0,1.0,0.056338028169014086
5,Microsoft/index/fairness-goals/goal-f3-minimization-of-stereotyping-demeaning-and-erasing-o/sent_0001,0.5270655270655271,5,0,1.0,0.07042253521126761
6,Microsoft/index/fairness-goals/goal-f3-minimization-of-stereotyping-demeaning-and-erasing-o/sent_0002,0.5178571428571428,6,0,1.0,0.08450704225352113
7,Microsoft/index/inclusiveness-goal/goal-i1-accessibility-standards-compliance/sent_0001,0.5055555555555555,7,0,1.0,0.09859154929577464
8,Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0001,0.4873829873829874,8,0,1.0,0.11267605633802817
9,Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0001,0.4871794871794872,9,0,1.0,0.1267605633802817
10,Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0001,0.4748677248677249,10,0,1.0,0.14084507042253522
11,Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0003,0.4722222222222222,11,0,1.0,0.15492957746478872
12,Microsoft/index/transparency-goals/goal-t2-communication-to-stakeholders/sent_0002,0.44256223436551306,12,0,1.0,0.16901408450704225
13,Microsoft/index/fairness-goals/goal-f1-quality-of-service/sent_0001,0.44074074074074077,13,0,1.0,0.18309859154929578
14,Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0003,0.43253968253968256,14,0,1.0,0.19718309859154928
15,Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0003,0.4311490978157645,15,0,1.0,0.2112676056338028
16,Microsoft/index/reliability-safety-goals/goal-rs1-reliability-and-safety-guidance/sent_0001,0.41938178780284047,16,0,1.0,0.22535211267605634
17,Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0002,0.408179012345679,17,0,1.0,0.23943661971830985
18,Microsoft/index/reliability-safety-goals/goal-rs1-reliability-and-safety-guidance/sent_0006,0.40740740740740744,18,0,1.0,0.2535211267605634
19,Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0005,0.39087301587301587,19,0,1.0,0.2676056338028169
20,Microsoft/index/fairness-goals/goal-f3-minimization-of-stereotyping-demeaning-and-erasing-o/sent_0005,0.3905982905982906,20,0,1.0,0.28169014084507044
21,Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0003,0.38920634920634917,21,0,1.0,0.29577464788732394
22,Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0002,0.3859649122807018,22,0,1.0,0.30985915492957744
23,Microsoft/index/reliability-safety-goals/goal-rs3-ongoing-monitoring-feedback-and-evaluation/sent_0003,0.3859649122807018,23,0,1.0,0.323943661971831
24,Microsoft/index/reliability-safety-goals/goal-rs1-reliability-and-safety-guidance/sent_0005,0.37962962962962965,24,0,1.0,0.3380281690140845
25,Microsoft/index/reliability-safety-goals/goal-rs3-ongoing-monitoring-feedback-and-evaluation/sent_0001,0.3791208791208791,25,0,1.0,0.352112676056338
26,Microsoft/index/fairness-goals/goal-f2-allocation-of-resources-and-opportunities/sent_0002,0.37681159420289856,26,0,1.0,0.36619718309859156
27,Microsoft/index/fairness-goals/goal-f1-quality-of-service/sent_0003,0.37606837606837606,27,0,1.0,0.38028169014084506
28,Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0006,0.3719806763285024,28,0,1.0,0.39436619718309857
29,Microsoft/index/transparency-goals/goal-t3-disclosure-of-ai-interaction/sent_0004,0.36296296296296293,29,0,1.0,0.4084507042253521
30,Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0005,0.3580246913580247,30,0,1.0,0.4225352112676056
